Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
4060,19.0,2.0,3.0,8.0
4061,10.0,3.0,7.0,7.0
4062,1.0,107.0,15.0,112.0
4063,9.0,8.0,5.0,18.0
4064,3.0,6.0,34.0,295.0
4065,2.0,3.0,1.0,10.0
4066,1037.0,58.0,66.0,507.0
4067,1.0,1.0,2.0,5.0
4068,0.0,0.0,0.0,1.0
4069,0.0,35.0,30.0,154.0
4070,18.0,1.0,11.0,18.0
4071,2.0,2.0,1.0,6.0
4072,3.0,3.0,2.0,10.0
4073,1.0,0.0,3.0,3.0
4074,35.0,13.0,12.0,49.0
4075,82.0,19.0,59.0,220.0
4076,4.0,17.0,7.0,28.0
4077,1.0,0.0,1.0,5.0
4078,6.0,7.0,4.0,20.0
4079,671.0,82.0,271.0,1908.0
4080,1.0,0.0,0.0,2.0
4081,10.0,1.0,0.0,4.0
4082,1.0,0.0,0.0,3.0
4083,5.0,15.0,9.0,46.0
4084,0.0,1.0,2.0,2.0
4085,1.0,0.0,1.0,3.0
4086,21.0,12.0,12.0,68.0
4087,0.0,4.0,1.0,3.0
4088,10.0,18.0,16.0,78.0
4089,0.0,1.0,3.0,14.0
4090,7.0,0.0,1.0,6.0
4091,2.0,2.0,1.0,4.0
4092,19.0,21.0,28.0,69.0
4093,5.0,7.0,13.0,59.0
4094,1.0,0.0,0.0,2.0
4095,16.0,8.0,6.0,21.0
4096,3.0,1.0,0.0,3.0
4097,0.0,0.0,2.0,3.0
4098,15.0,4.0,9.0,31.0
4099,26.0,26.0,38.0,166.0
4100,28.0,21.0,82.0,403.0
4101,37.0,61.0,68.0,245.0
4102,545.0,55.0,57.0,408.0
4103,5.0,1.0,14.0,28.0
4901,3.0,4.0,2.0,4.0
4902,2195.0,201.0,199.0,1920.0
4903,385.0,30.0,14.0,152.0
4904,,,,
5001,6.0,2.0,2.0,8.0
5002,6.0,9.0,15.0,73.0
5005,0.0,0.0,0.0,1.0
5007,1.0,0.0,3.0,4.0
5008,0.0,1.0,1.0,5.0
5010,0.0,0.0,4.0,3.0
5012,0.0,1.0,2.0,2.0
5013,2.0,0.0,8.0,15.0
5014,17.0,40.0,39.0,220.0
5015,1.0,0.0,0.0,2.0
5016,10.0,30.0,26.0,267.0
5017,0.0,1.0,0.0,2.0
5018,0.0,0.0,0.0,1.0
5019,33.0,118.0,282.0,2164.0
5021,2.0,21.0,20.0,102.0
5022,4.0,11.0,13.0,63.0
5023,4.0,3.0,1.0,1.0
5024,0.0,1.0,1.0,5.0
5025,0.0,0.0,0.0,1.0
5026,1.0,0.0,1.0,7.0
5027,6.0,2.0,2.0,8.0
5029,2.0,0.0,3.0,3.0
5030,0.0,0.0,0.0,0.0
5033,5.0,1.0,1.0,2.0
5034,1.0,0.0,0.0,0.0
5035,3.0,0.0,0.0,3.0
5036,0.0,0.0,2.0,2.0
5037,0.0,1.0,3.0,4.0
5038,1.0,0.0,2.0,1.0
5039,0.0,0.0,1.0,2.0
5040,2.0,0.0,0.0,2.0
5041,1.0,3.0,15.0,34.0
5042,6.0,0.0,5.0,2.0
5043,0.0,0.0,1.0,2.0
5044,5.0,1.0,1.0,5.0
5045,0.0,0.0,0.0,3.0
5046,0.0,0.0,0.0,2.0
5047,29.0,22.0,31.0,145.0
5048,0.0,0.0,2.0,4.0
5049,2.0,2.0,2.0,9.0
5051,0.0,0.0,4.0,3.0
5052,0.0,0.0,0.0,2.0
5053,0.0,0.0,0.0,3.0
5054,1.0,3.0,16.0,34.0
5055,0.0,0.0,4.0,13.0
5056,1.0,0.0,1.0,0.0
5057,8.0,13.0,18.0,91.0
5058,0.0,1.0,0.0,1.0
5059,1.0,0.0,0.0,3.0
5060,2.0,0.0,2.0,2.0
5061,0.0,6.0,7.0,18.0
5062,0.0,0.0,0.0,3.0
5063,0.0,0.0,0.0,1.0
5064,2.0,0.0,1.0,1.0
5065,1.0,6.0,2.0,11.0
5066,0.0,1.0,6.0,12.0
5067,0.0,1.0,1.0,2.0
5069,1.0,0.0,0.0,4.0
5070,0.0,0.0,0.0,1.0
5072,4.0,0.0,0.0,4.0
5073,2.0,1.0,2.0,4.0
5074,5.0,3.0,16.0,25.0
5075,0.0,0.0,0.0,4.0
5076,1.0,1.0,6.0,11.0
5077,2.0,0.0,2.0,3.0
5078,0.0,1.0,3.0,3.0
5079,0.0,0.0,0.0,0.0
5080,1.0,0.0,0.0,1.0
5081,0.0,0.0,0.0,2.0
5082,2.0,1.0,6.0,12.0
5083,1.0,0.0,0.0,3.0
5084,0.0,0.0,1.0,1.0
5085,0.0,0.0,1.0,1.0
5086,0.0,0.0,0.0,1.0
5087,1.0,1.0,1.0,3.0
5088,0.0,0.0,0.0,1.0
5089,2.0,0.0,3.0,9.0
5090,2.0,0.0,0.0,2.0
5092,0.0,2.0,3.0,8.0
5093,1.0,1.0,5.0,9.0
5094,0.0,0.0,0.0,4.0
5095,2.0,0.0,3.0,13.0
5096,0.0,0.0,0.0,1.0
5097,1.0,2.0,11.0,5.0
5099,4.0,3.0,2.0,6.0
5100,1.0,0.0,3.0,6.0
5101,0.0,0.0,3.0,4.0
5102,4.0,5.0,26.0,31.0
5103,0.0,0.0,0.0,1.0
5104,0.0,0.0,0.0,1.0
5105,1.0,1.0,3.0,23.0
5106,0.0,0.0,0.0,0.0
5107,0.0,0.0,0.0,1.0
5108,0.0,1.0,1.0,1.0
5109,1.0,0.0,5.0,4.0
5110,7.0,0.0,7.0,15.0
5112,0.0,0.0,1.0,1.0
5113,0.0,0.0,1.0,1.0
5114,7.0,4.0,4.0,28.0
5115,4.0,2.0,10.0,22.0
5116,0.0,0.0,0.0,3.0
5117,1.0,0.0,4.0,4.0
5118,1.0,0.0,1.0,1.0
5119,0.0,0.0,0.0,1.0
5120,1.0,0.0,0.0,2.0
5121,3.0,3.0,1.0,14.0
5122,0.0,0.0,1.0,1.0
5123,0.0,1.0,0.0,0.0
5124,0.0,0.0,0.0,1.0
5125,1.0,0.0,0.0,2.0
5126,0.0,0.0,0.0,1.0
5127,3.0,2.0,4.0,12.0
5128,0.0,1.0,2.0,9.0
5129,0.0,1.0,0.0,1.0
5130,1.0,0.0,1.0,2.0
5131,0.0,0.0,0.0,1.0
5132,2.0,3.0,7.0,25.0
5133,0.0,0.0,0.0,1.0
5134,1.0,0.0,0.0,0.0
5135,4.0,5.0,5.0,14.0
5136,1.0,1.0,2.0,4.0
5138,2.0,4.0,0.0,14.0
5139,1.0,0.0,0.0,2.0
5140,5.0,0.0,1.0,3.0
5141,0.0,0.0,1.0,2.0
5142,2.0,0.0,1.0,1.0
5143,0.0,0.0,0.0,3.0
5144,1.0,0.0,0.0,1.0
5145,0.0,0.0,0.0,1.0
5147,0.0,0.0,2.0,2.0
5148,0.0,0.0,0.0,0.0
5149,0.0,0.0,2.0,2.0
5151,0.0,0.0,0.0,3.0
5152,15.0,2.0,3.0,17.0
5153,0.0,0.0,0.0,2.0
5154,0.0,0.0,1.0,1.0
5155,1.0,0.0,1.0,3.0
5156,2.0,0.0,4.0,7.0
5157,0.0,0.0,2.0,1.0
5158,0.0,1.0,3.0,10.0
5159,2.0,0.0,2.0,3.0
5160,0.0,0.0,6.0,3.0
5161,3.0,4.0,4.0,16.0
5162,0.0,0.0,0.0,2.0
5163,3.0,6.0,15.0,45.0
5164,0.0,0.0,0.0,1.0
5165,2.0,0.0,4.0,17.0
5166,0.0,0.0,4.0,5.0
5167,1.0,1.0,5.0,2.0
5168,6.0,26.0,55.0,128.0
5169,1.0,1.0,0.0,4.0
5170,0.0,0.0,1.0,2.0
5171,0.0,0.0,0.0,2.0
5172,4.0,1.0,1.0,4.0
5173,3.0,0.0,0.0,0.0
5174,1.0,0.0,0.0,5.0
5175,0.0,4.0,1.0,4.0
5176,1.0,1.0,1.0,9.0
5177,3.0,1.0,1.0,4.0
5178,2.0,2.0,1.0,10.0
5179,2.0,1.0,5.0,5.0
5180,0.0,0.0,0.0,1.0
5181,0.0,0.0,0.0,1.0
5182,3.0,5.0,8.0,17.0
5183,2.0,0.0,2.0,3.0
5184,1.0,0.0,5.0,8.0
5185,1.0,0.0,1.0,2.0
5186,6.0,7.0,21.0,73.0
5187,4.0,13.0,16.0,67.0
5188,0.0,0.0,0.0,1.0
