Codigo Municipio,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares
21006,2.0,
19024,,
29013,,
17006,,
29014,,
42023,,
50026,,
28010,2.0,
08004,,
44020,,
02010,1.0,
25023,2.0,
46036,,
18904,,
03017,,
46037,,
12901,,1.0
22024,,
18018,,
04015,,
25024,,
09013,,
43012,,
16019,,
03018,1.0,1.0
22025,,
09014,,
31010,1.0,1.0
12012,,
20906,,
20007,,
19027,,
46017,3.0,1.0
05012,,
34009,,
50027,,
28011,,
17007,,
15002,,
31013,,
43013,,
08005,2.0,1.0
09016,,
20008,,
33003,1.0,
32002,1.0,
48003,4.0,
48004,,
43906,,
43014,1.0,1.0
34010,,1.0
39002,1.0,
01002,3.0,
34011,,
47009,,
44024,,
40017,,
37029,,
28012,,
13017,,
31014,,
49009,,
46038,,
20009,1.0,
44025,2.0,
31015,1.0,
07005,,
23005,3.0,2.0
50028,,
17008,,
25027,,
19031,,
26013,,
22027,1.0,
26014,1.0,1.0
19032,1.0,
09017,,
39003,,
50029,,
46039,1.0,1.0
20010,,
19033,,
19034,,
22028,1.0,
31016,,
04016,,
27003,1.0,
46040,,
29015,2.0,6.0
35003,,
24005,,
34012,1.0,
22029,,
20011,,
31017,,
01049,,1.0
40018,,
50030,1.0,
14006,1.0,
31018,,
45014,1.0,
37030,,
31019,1.0,
37031,,
21007,1.0,1.0
38004,,
22032,,
41011,1.0,
40019,,
31020,,
48005,,
31025,,
20012,,
01003,,
31021,,
42024,,
09018,2.0,1.0
50031,,
50032,,
09019,,
16020,,
15003,,
31023,1.0,2.0
28013,3.0,1.0
31024,,
31022,,
48006,,
19036,,
12013,,
37032,,
31026,,
46041,,
09020,,
09021,,
09022,,
19037,1.0,
25029,,
19038,,
31027,,
36001,,
43016,1.0,
04017,,
43015,,
17009,1.0,
16905,1.0,
31028,,
37033,,
49010,,
30009,1.0,
29016,,
29017,2.0,1.0
45015,1.0,
37034,,
34015,,
40020,,
09023,,
42025,2.0,
11006,3.0,1.0
49011,,
16022,,
44026,,
31029,1.0,
29018,,
50033,,
24006,,
48093,,
31030,,
22035,,
05013,,
13903,,
29019,,
39004,,
13018,,
05014,2.0,1.0
18020,,
42026,,
09024,,
44027,,
08006,8.0,
08007,2.0,
26015,,
26016,,
15004,,
12014,,
31031,,
20013,1.0,1.0
05015,,
40021,,
05016,1.0,1.0
42027,,
13019,,
13020,1.0,
28014,3.0,
24007,,
49012,,
22036,,
19039,,
17010,,
12015,,
08008,,
44028,,
43017,,
08009,4.0,
45016,1.0,
39005,,
31032,,
22037,,
16024,,
49013,,
31033,,
07901,,
31034,,
38005,1.0,
09025,,
44029,,
50034,1.0,
23006,1.0,
23007,1.0,
09026,,
19040,,
31035,,
17011,,
37035,,
18021,2.0,1.0
01006,,
40022,,
04018,1.0,
19041,,
26017,,
26018,1.0,1.0
43018,,
32003,1.0,
39006,,
21008,,
38006,1.0,
49014,,
23008,,
49015,,
01037,,
16025,,
48009,,
20055,1.0,1.0
48914,,
09027,,
01008,1.0,
35004,1.0,2.0
39007,,
25031,,
29020,1.0,
48010,,
48011,1.0,1.0
13021,,
31036,,
47010,,
10021,1.0,
19042,,
06012,1.0,
23905,,
10023,,
28015,,
10022,,
21009,,
31037,,
26019,,
25032,,
07006,1.0,
31038,1.0,
12016,,
31039,,
48023,,
15005,,
35005,1.0,
08010,2.0,
25033,,
25034,1.0,
50035,,
48008,,
01004,1.0,1.0
35006,2.0,
15006,1.0,
43019,1.0,
50036,1.0,
25036,,
49016,,
01009,1.0,
03019,1.0,
20014,,
20903,,
39008,3.0,
24008,3.0,4.0
34017,1.0,1.0
49017,,
29021,,
06013,,
16026,,
37037,,
19043,,
09029,,
47011,,
18022,1.0,
20015,,
28016,,
50037,,
50038,,
31040,,
19044,,
48091,,
46003,,
12001,,
48070,,
19045,,
31058,,
26020,,
42028,,
09030,,
34018,,
34019,,
26021,2.0,
05017,,
05018,,
25037,,
09032,,
08011,,
05019,7.0,8.0
33004,5.0,1.0
08012,1.0,
17012,,
08013,,
32004,,
01010,1.0,
21010,1.0,
31041,,
22039,1.0,
40024,,
02011,,
12017,,
49018,,
46044,,
34020,,
31042,,
44031,,
22040,,
22041,,
20017,1.0,2.0
22042,,
41012,1.0,
41013,1.0,
26022,,
20018,1.0,2.0
06014,2.0,
50039,,
12018,,
31043,,
19046,2.0,
45017,1.0,
37038,,
04019,2.0,
06015,6.0,9.0
08015,9.0,2.0
26023,,
44032,,
08904,,
41014,,
50040,,
22043,,
14007,4.0,1.0
23009,1.0,4.0
08016,1.0,
44033,,
50041,,
47012,,
09033,,
19047,,
23010,,
22044,,
36003,,2.0
25039,,
31044,,
48012,1.0,
25040,3.0,1.0
02012,1.0,
09034,1.0,
24009,,
50042,,
22045,,
27004,,
08017,,
20904,,
02014,,
13022,,
22046,,
48090,2.0,
03020,,
02013,,
08018,1.0,
34022,1.0,
32005,,
22047,,
32006,1.0,
07007,,
03021,,
43020,,
17015,8.0,1.0
15007,,
26024,,
24010,5.0,
37039,1.0,
44034,,
01011,,
23011,,
32007,,3.0
10024,,
26026,,
26025,,
19048,,
09035,,
19049,,
09036,,
34024,,
16027,1.0,
48013,6.0,1.0
27901,,
31901,,
42029,1.0,
31045,1.0,
32008,2.0,1.0
37040,,
09037,,
09038,,
09039,,
37041,,
31046,,1.0
22048,4.0,1.0
11007,,
25041,3.0,
43021,,
08252,1.0,
50043,,
40025,,
22049,,
22050,,
42030,,
22051,,
06016,,
08019,222.0,35.0
34025,,
39009,1.0,
39010,,
37042,,
16029,,
47013,,
49019,,
45018,,
05021,1.0,
32009,,
42031,,
50044,,
39011,,
45019,1.0,
31047,,
31048,,
24011,,
38007,,
25042,,
12020,,
44035,,
05022,1.0,
10025,,
02015,,
27005,,
48014,3.0,
09041,,
19050,,
09043,,
09044,,
24012,,
11008,3.0,1.0
36002,,
05023,,
37044,,
34027,1.0,
47014,,
01013,,
46046,1.0,
46045,,
31049,,
40026,,
48015,1.0,
17016,,
09045,,
34028,,
09046,,
16030,,
