Codigo Municipio,Superficie Km2,Densidad Poblacion
04009,15.52,8.31
04010,16.39,41.18
04011,26.24,142.26
04012,5.87,34.75
04013,295.72,678.86
04014,30.83,6.39
04015,20.1,6.52
04016,99.73,33.64
04017,66.14,70.83
04018,7.72,40.54
04019,94.52,2.63
04020,38.02,8.34
04021,26.36,8.31
04022,46.72,20.85
04023,38.83,3.4
04024,16.62,272.32
04026,6.4,9.22
04027,31.97,8.23
04028,11.34,21.08
04029,185.81,68.39
04030,66.93,17.6
04031,78.95,44.93
04032,95.46,85.72
04033,29.24,3.93
04034,31.99,5.31
04035,263.76,55.44
04036,13.55,21.25
04037,196.47,7.64
04038,140.73,29.15
04041,66.84,8.08
04043,81.26,8.17
04044,23.12,93.43
04045,133.96,14.76
04046,91.16,11.32
04047,87.67,34.31
04048,34.9,86.05
04049,7.77,1270.91
04050,229.49,4.82
04051,19.02,25.81
04052,20.93,858.77
04053,318.21,62.05
04054,19.19,22.72
04055,33.48,13.8
04056,21.71,9.07
04057,92.81,17.14
04058,28.24,14.09
04059,138.14,10.78
04060,123.2,4.74
04061,100.72,7.66
04062,43.82,124.35
04063,225.57,5.48
04064,71.54,101.44
04065,80.76,6.01
04066,599.77,52.45
04067,32.41,17.31
04068,33.6,5.65
04069,23.44,266.98
04070,234.71,9.44
04071,26.49,16.46
04072,52.61,20.24
04073,45.48,8.51
04074,46.06,89.95
04075,94.85,109.04
04076,56.6,28.9
04077,26.92,11.33
04078,36.4,40.88
04079,59.65,1655.07
04080,19.97,10.17
04081,34.87,13.68
04082,50.25,5.79
04083,166.28,12.26
04084,27.64,13.75
04085,16.13,27.53
04086,249.16,9.92
04087,10.09,19.52
04088,280.38,13.86
04089,44.06,22.61
04090,94.6,3.69
04091,15.72,23.66
04092,67.73,52.09
04093,107.96,36.05
04094,39.17,6.64
04095,38.67,21.1
04096,25.47,14.49
04097,66.45,3.54
04098,441.32,4.41
04099,282.54,23.08
04100,57.59,307.35
04101,20.62,292.87
04102,64.34,425.83
04103,71.67,40.39
04901,85.35,6.61
04902,226.13,371.49
04903,23.87,380.65
04904,31.59,93.67
05001,31.42,6.24
05002,58.64,47.02
05005,17.1,10.06
05007,8.48,13.33
05008,24.25,9.03
05010,17.15,8.57
05012,15.02,8.52
05013,27.08,34.82
05014,193.55,33.24
05015,14.97,4.48
05016,45.71,172.41
05017,12.84,6.39
05018,10.23,2.54
05019,230.7,251.19
05021,12.68,181.23
05022,153.9,12.82
05023,20.03,9.04
05024,32.2,5.68
05025,19.86,3.88
05026,17.31,11.27
05027,16.69,20.01
05029,19.78,4.55
05030,9.01,5.44
05033,39.6,4.57
05034,12.99,1.08
05035,22.95,4.4
05036,22.09,5.3
05037,74.37,3.11
05038,55.06,2.38
05039,18.35,2.29
05040,30.76,2.05
05041,55.34,22.24
05042,11.8,13.56
05043,17.97,3.78
05044,110.07,2.33
05045,19.17,4.17
05046,6.67,5.85
05047,213.47,23.65
05048,14.37,6.96
05049,40.5,10.54
05051,14.16,11.58
05052,22.14,3.75
05053,18.36,3.7
05054,39.24,36.24
05055,11.99,53.88
05056,12.7,7.4
05057,137.47,23.61
05058,31.4,2.23
05059,14.17,5.79
05060,20.31,5.12
05061,10.8,31.57
05062,18.44,8.57
05063,4.84,5.99
05064,26.85,3.99
05065,31.92,15.48
05066,19.17,26.81
05067,15.45,4.4
05069,14.75,4.88
05070,11.48,2.61
05072,19.4,5.62
05073,43.04,6.67
05074,36.42,20.15
05075,24.44,4.5
05076,13.11,44.93
05077,9.81,16.0
05078,20.01,4.8
05079,20.47,3.08
05080,43.27,0.83
05081,18.19,2.31
05082,29.18,19.74
05083,17.19,8.55
05084,15.13,3.97
05085,15.45,2.72
05086,19.05,3.88
05087,10.63,15.9
05088,11.59,2.24
05089,38.33,13.62
05090,22.15,3.21
05092,19.38,8.05
05093,48.4,9.01
05094,21.53,6.08
05095,35.08,7.58
05096,12.5,6.4
05097,46.52,10.64
05099,47.32,10.16
05100,23.27,12.08
05101,52.3,5.32
05102,80.51,26.87
05103,17.22,3.48
05104,9.88,3.14
05105,52.92,7.01
05106,11.87,2.19
05107,18.61,2.42
05108,15.02,2.66
05109,24.45,19.1
05110,33.52,24.31
05112,19.54,5.58
