Codigo Municipio,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros
10024,17.0,18.0,35.0
26026,54.0,49.0,103.0
26025,3.0,0.0,3.0
19048,,,
09035,2.0,11.0,13.0
19049,3.0,2.0,5.0
09036,,,
34024,6.0,1.0,7.0
16027,81.0,75.0,156.0
48013,3485.0,3668.0,7153.0
27901,57.0,43.0,101.0
31901,1788.0,1604.0,3392.0
42029,9.0,3.0,12.0
31045,28.0,24.0,51.0
32008,654.0,680.0,1334.0
37040,1.0,2.0,4.0
09037,2.0,1.0,3.0
09038,14.0,8.0,22.0
09039,10.0,8.0,17.0
37041,,,
31046,1.0,2.0,3.0
22048,1115.0,1023.0,2138.0
11007,457.0,424.0,880.0
25041,116.0,72.0,187.0
43021,41.0,38.0,80.0
08252,1473.0,1522.0,2995.0
50043,20.0,8.0,28.0
40025,20.0,14.0,34.0
22049,,2.0,2.0
22050,1.0,1.0,3.0
42030,,3.0,3.0
22051,2.0,4.0,6.0
06016,13.0,22.0,36.0
08019,167230.0,171425.0,338655.0
34025,1.0,,1.0
39009,157.0,142.0,298.0
39010,12.0,14.0,26.0
37042,,,
16029,2.0,,2.0
47013,1.0,,1.0
49019,6.0,5.0,11.0
45018,67.0,76.0,143.0
05021,156.0,136.0,291.0
32009,929.0,1067.0,1996.0
42031,,,
50044,27.0,19.0,45.0
39011,79.0,96.0,175.0
45019,573.0,484.0,1057.0
31047,3.0,4.0,7.0
31048,1.0,3.0,4.0
24011,3.0,3.0,6.0
38007,127.0,151.0,278.0
25042,12.0,7.0,18.0
12020,19.0,18.0,37.0
44035,4.0,3.0,7.0
05022,93.0,107.0,200.0
10025,,,
02015,84.0,74.0,158.0
27005,100.0,83.0,182.0
48014,31.0,34.0,65.0
09041,1.0,1.0,2.0
19050,1.0,,1.0
09043,2.0,1.0,3.0
09044,,2.0,2.0
24012,7.0,6.0,14.0
11008,1032.0,903.0,1935.0
36002,63.0,50.0,113.0
05023,3.0,4.0,7.0
37044,12.0,10.0,22.0
34027,31.0,35.0,67.0
47014,2.0,,2.0
01013,25.0,21.0,46.0
46046,155.0,137.0,292.0
46045,77.0,77.0,154.0
31049,12.0,15.0,27.0
40026,6.0,10.0,16.0
48015,955.0,1014.0,1970.0
17016,53.0,51.0,104.0
09045,8.0,5.0,13.0
34028,1.0,1.0,2.0
09046,1.0,,1.0
16030,,,
25044,13.0,13.0,26.0
37045,1.0,1.0,2.0
43022,144.0,110.0,254.0
06017,,0.0,0.0
28017,71.0,67.0,138.0
25045,4.0,3.0,7.0
04020,8.0,10.0,17.0
04021,10.0,10.0,20.0
42032,5.0,5.0,10.0
42033,,,
18023,1219.0,949.0,2169.0
31050,274.0,352.0,626.0
44036,1.0,1.0,2.0
32010,17.0,12.0,29.0
16031,1.0,1.0,2.0
32011,150.0,137.0,287.0
21011,118.0,127.0,245.0
18024,8.0,9.0,17.0
18025,3.0,3.0,6.0
23012,519.0,140.0,660.0
20019,805.0,635.0,1440.0
05024,3.0,,3.0
05025,,1.0,1.0
44037,17.0,19.0,36.0
27006,85.0,59.0,144.0
34029,6.0,14.0,20.0
28018,376.0,429.0,805.0
47015,22.0,20.0,42.0
04022,265.0,268.0,533.0
48092,20.0,31.0,50.0
23902,35.0,16.0,51.0
23014,23.0,34.0,57.0
27007,77.0,52.0,129.0
08020,249.0,296.0,546.0
17013,434.0,390.0,824.0
31137,3.0,4.0,7.0
31051,16.0,15.0,31.0
04023,1.0,1.0,2.0
20020,2.0,1.0,3.0
37046,401.0,419.0,820.0
12022,7.0,13.0,20.0
14008,15.0,36.0,51.0
31052,7.0,4.0,10.0
20021,13.0,10.0,23.0
09047,1.0,2.0,4.0
50045,76.0,64.0,140.0
37047,10.0,13.0,23.0
46047,27.0,22.0,48.0
25046,32.0,17.0,49.0
16032,9.0,12.0,20.0
25170,12.0,10.0,22.0
17018,38.0,36.0,74.0
25047,78.0,41.0,120.0
25048,179.0,176.0,355.0
43023,28.0,22.0,50.0
25049,2.0,3.0,5.0
44039,9.0,5.0,14.0
08021,1.0,3.0,4.0
25050,628.0,359.0,987.0
46048,324.0,291.0,615.0
46049,6.0,12.0,19.0
43024,128.0,127.0,256.0
25051,149.0,137.0,286.0
25052,249.0,232.0,481.0
14009,32.0,31.0,62.0
23015,32.0,21.0,53.0
16033,66.0,65.0,131.0
34031,2.0,1.0,3.0
50046,14.0,7.0,21.0
33005,26.0,31.0,57.0
44038,1.0,2.0,3.0
28019,69.0,67.0,136.0
16034,6.0,3.0,9.0
09048,177.0,137.0,314.0
22052,127.0,66.0,193.0
49020,2.0,2.0,4.0
45020,123.0,99.0,222.0
10026,19.0,12.0,31.0
24014,785.0,590.0,1375.0
22053,105.0,97.0,203.0
41015,110.0,99.0,210.0
29022,14.0,16.0,30.0
47016,2.0,3.0,5.0
12024,1.0,3.0,4.0
12025,4.0,5.0,9.0
46050,1.0,1.0,2.0
46051,836.0,639.0,1475.0
04024,191.0,169.0,360.0
29023,1386.0,1456.0,2842.0
29024,19.0,16.0,35.0
29025,9574.0,10355.0,19929.0
18027,20.0,33.0,53.0
18028,181.0,26.0,207.0
11901,98.0,94.0,192.0
29026,143.0,132.0,274.0
18029,86.0,69.0,156.0
14010,46.0,35.0,81.0
29027,61.0,69.0,130.0
11009,10.0,11.0,20.0
29028,47.0,41.0,89.0
29029,15.0,20.0,35.0
12026,76.0,62.0,137.0
03022,5.0,7.0,12.0
22054,180.0,200.0,380.0
23016,39.0,13.0,52.0
25053,86.0,42.0,128.0
49021,742.0,826.0,1567.0
24015,62.0,50.0,112.0
46052,10.0,10.0,20.0
49022,8.0,8.0,16.0
03023,62.0,51.0,114.0
46053,9.0,18.0,27.0
03024,289.0,279.0,568.0
46054,811.0,740.0,1550.0
03025,186.0,187.0,373.0
03026,239.0,225.0,464.0
03027,29.0,22.0,51.0
46055,110.0,117.0,227.0
03028,37.0,43.0,80.0
46056,7.0,12.0,19.0
12027,3086.0,2674.0,5760.0
12028,1753.0,1794.0,3548.0
46057,41.0,38.0,79.0
46904,36.0,21.0,57.0
03030,272.0,282.0,554.0
03031,11480.0,10616.0,22097.0
30010,1346.0,1014.0,2359.0
46060,437.0,432.0,869.0
46059,51.0,62.0,113.0
46058,71.0,72.0,143.0
43025,32.0,21.0,53.0
03032,1.0,,1.0
03033,23.0,20.0,43.0
46061,14.0,18.0,32.0
46062,409.0,310.0,719.0
03029,130.0,126.0,256.0
03034,842.0,850.0,1692.0
03035,24.0,24.0,49.0
03036,,4.0,4.0
03037,56.0,58.0,114.0
03038,14.0,20.0,35.0
03039,9.0,12.0,21.0
03040,53.0,71.0,123.0
46063,90.0,95.0,185.0
46064,19.0,18.0,37.0
46065,36.0,38.0,74.0
46066,46.0,63.0,109.0
46067,88.0,89.0,177.0
03041,2349.0,2273.0,4623.0
43026,200.0,107.0,307.0
46068,9.0,11.0,20.0
46069,10.0,5.0,15.0
03042,1451.0,1475.0,2926.0
04026,1.0,1.0,2.0
04027,16.0,16.0,32.0
12029,152.0,114.0,266.0
10027,1.0,1.0,2.0
06018,5.0,9.0,14.0
04028,6.0,3.0,9.0
24016,10.0,8.0,18.0
31250,158.0,165.0,323.0
48016,187.0,244.0,431.0
01014,17.0,14.0,32.0
22246,1.0,4.0,5.0
20022,4.0,15.0,19.0
42034,,1.0,1.0
22055,20.0,20.0,40.0
09050,,,
31053,35.0,40.0,75.0
26027,2.0,4.0,6.0
47017,,,
47018,1.0,2.0,3.0
18030,71.0,43.0,114.0
40028,3.0,2.0,5.0
05026,3.0,11.0,14.0
24017,2.0,2.0,4.0
24018,2.0,5.0,7.0
40029,1.0,1.0,2.0
50047,1.0,1.0,2.0
08022,1354.0,1120.0,2474.0
20074,444.0,423.0,867.0
26028,2.0,2.0,4.0
26029,1.0,,1.0
44040,13.0,6.0,19.0
15008,240.0,284.0,524.0
31905,204.0,209.0,413.0
04029,1036.0,806.0,1842.0
05027,16.0,19.0,35.0
06019,16.0,18.0,34.0
42035,31.0,38.0,70.0
24019,1.0,5.0,6.0
09051,1.0,1.0,2.0
37049,1.0,1.0,2.0
48017,682.0,660.0,1342.0
49023,30.0,26.0,56.0
40030,20.0,20.0,40.0
01016,26.0,31.0,57.0
19051,,2.0,2.0
40031,42.0,40.0,83.0
05029,1.0,,1.0
48018,124.0,52.0,176.0
31902,396.0,392.0,789.0
31903,980.0,904.0,1884.0
48019,181.0,177.0,358.0
20023,9.0,19.0,28.0
21012,1.0,2.0,3.0
37050,,,
37051,,,
10028,9.0,8.0,17.0
05030,,,
47019,7.0,6.0,14.0
50048,,,
28021,60.0,56.0,115.0
31054,41.0,31.0,72.0
10029,4.0,4.0,9.0
09052,,,
28020,17.0,21.0,38.0
34032,,2.0,2.0
17019,132.0,153.0,285.0
17020,141.0,143.0,284.0
35007,62.0,54.0,116.0
15009,543.0,600.0,1142.0
31055,10.0,8.0,17.0
46070,998.0,1047.0,2045.0
16035,6.0,11.0,18.0
12021,231.0,238.0,469.0
17021,16.0,14.0,30.0
26030,1.0,1.0,2.0
44041,4.0,2.0,6.0
03043,93.0,90.0,182.0
46071,5.0,11.0,16.0
31253,4.0,,4.0
20024,21.0,20.0,41.0
50901,5.0,2.0,7.0
22057,21.0,43.0,64.0
02016,8.0,13.0,21.0
06020,9.0,10.0,19.0
22058,18.0,16.0,34.0
22059,138.0,107.0,245.0
03044,659.0,521.0,1181.0
08023,243.0,240.0,482.0
50050,2.0,1.0,4.0
48020,16828.0,18095.0,34923.0
33006,26.0,35.0,60.0
22060,90.0,34.0,124.0
22061,964.0,570.0,1534.0
07008,406.0,411.0,818.0
25055,6.0,3.0,9.0
50051,21.0,25.0,46.0
22062,,1.0,1.0
43027,14.0,5.0,19.0
43028,109.0,120.0,229.0
17022,1245.0,972.0,2217.0
22063,11.0,10.0,20.0
50052,2.0,1.0,3.0
17234,21.0,20.0,41.0
31056,8.0,12.0,20.0
42036,,,
30011,434.0,292.0,726.0
43029,18.0,18.0,36.0
44042,5.0,7.0,12.0
32012,26.0,22.0,48.0
17023,4034.0,3394.0,7428.0
05033,,,
05034,,,
05035,1.0,,1.0
14011,12.0,11.0,23.0
22064,4.0,4.0,8.0
44043,0.0,,0.0
42037,,,
37052,,1.0,1.0
34033,,,
17029,14.0,19.0,33.0
34035,3.0,2.0,5.0
34034,,,
28022,2481.0,3473.0,5954.0
33007,10.0,30.0,39.0
28023,659.0,600.0,1260.0
26031,8.0,7.0,14.0
47020,2.0,3.0,5.0
32013,233.0,212.0,445.0
24020,11.0,5.0,16.0
46072,100.0,105.0,205.0
40032,136.0,129.0,265.0
47021,4.0,4.0,8.0
47022,,,
19052,,,
37054,3.0,9.0,12.0
06021,3.0,8.0,11.0
47023,126.0,115.0,241.0
37055,3.0,2.0,5.0
02017,13.0,12.0,25.0
05036,,1.0,1.0
10030,17.0,13.0,30.0
05037,2.0,3.0,5.0
15010,22.0,29.0,51.0
15011,339.0,382.0,721.0
32014,58.0,55.0,113.0
13023,757.0,557.0,1314.0
47024,17.0,17.0,35.0
46073,112.0,82.0,195.0
41016,229.0,241.0,470.0
21013,452.0,466.0,919.0
32015,29.0,31.0,59.0
22066,109.0,92.0,201.0
03045,77.0,81.0,158.0
17024,28.0,15.0,43.0
22067,5.0,1.0,6.0
21014,448.0,514.0,962.0
43030,62.0,47.0,109.0
02018,90.0,77.0,167.0
16036,1.0,1.0,2.0
05038,1.0,,1.0
02019,42.0,52.0,94.0
46074,120.0,132.0,252.0
24021,57.0,44.0,101.0
15012,75.0,80.0,155.0
50053,55.0,58.0,113.0
22068,,1.0,1.0
50054,,1.0,1.0
25057,8.0,10.0,18.0
17025,163.0,139.0,302.0
44044,8.0,9.0,17.0
29030,25.0,26.0,51.0
25058,442.0,362.0,804.0
43031,120.0,124.0,243.0
50055,351.0,267.0,619.0
42038,,,
41017,596.0,706.0,1302.0
11010,55.0,78.0,133.0
42039,4.0,1.0,5.0
45021,277.0,242.0,520.0
17026,27.0,25.0,52.0
08024,57.0,50.0,106.0
24022,4.0,8.0,12.0
12032,3562.0,2969.0,6531.0
12031,307.0,309.0,616.0
11011,28.0,26.0,53.0
25059,129.0,140.0,269.0
43032,30.0,14.0,44.0
43033,76.0,68.0,144.0
10031,2.0,2.0,4.0
50056,17.0,17.0,34.0
37056,11.0,9.0,20.0
27008,34.0,40.0,74.0
49024,25.0,18.0,43.0
37057,0.0,2.0,2.0
25056,11.0,6.0,17.0
09054,,,
05039,,,
43034,56.0,43.0,99.0
47025,1.0,2.0,3.0
34036,5.0,6.0,11.0
28024,14.0,7.0,21.0
09055,,,
13024,23.0,24.0,47.0
24023,8.0,11.0,19.0
50057,44.0,49.0,93.0
28025,43.0,22.0,65.0
17027,201.0,144.0,345.0
41018,577.0,489.0,1066.0
38008,409.0,527.0,936.0
38009,413.0,484.0,897.0
49025,5.0,6.0,11.0
49026,0.0,1.0,1.0
40033,6.0,9.0,15.0
26032,,,
19053,197.0,191.0,389.0
49027,2.0,0.0,2.0
49028,1.0,1.0,2.0
37058,,,
26033,5.0,5.0,10.0
15013,255.0,291.0,546.0
26034,51.0,43.0,94.0
09056,851.0,686.0,1538.0
44045,40.0,20.0,60.0
22069,17.0,25.0,42.0
10032,12.0,6.0,18.0
08025,91.0,80.0,171.0
08026,6.0,11.0,18.0
28026,1117.0,1180.0,2297.0
17028,7.0,9.0,15.0
42041,,,
50058,,2.0,2.0
18032,32.0,31.0,62.0
16038,,0.0,0.0
19054,7.0,8.0,15.0
16039,48.0,24.0,72.0
16040,3.0,0.0,3.0
37059,,4.0,4.0
45022,15.0,7.0,22.0
37060,5.0,7.0,12.0
34037,12.0,13.0,25.0
38010,236.0,224.0,459.0
16041,12.0,15.0,27.0
44046,4.0,1.0,5.0
36004,153.0,163.0,316.0
46075,5.0,2.0,7.0
46076,64.0,46.0,111.0
09057,6.0,5.0,11.0
07009,83.0,85.0,168.0
42042,1.0,,1.0
28027,242.0,226.0,468.0
14012,99.0,89.0,188.0
19055,6.0,2.0,8.0
50059,49.0,44.0,94.0
05040,3.0,1.0,4.0
50060,11.0,18.0,29.0
30012,645.0,582.0,1226.0
09058,16.0,12.0,28.0
07010,359.0,401.0,761.0
46077,446.0,398.0,844.0
31057,108.0,97.0,205.0
44047,8.0,6.0,15.0
27902,856.0,580.0,1436.0
50061,23.0,6.0,29.0
49029,9.0,8.0,17.0
50062,135.0,128.0,263.0
42043,260.0,266.0,526.0
24024,11.0,13.0,24.0
29031,43.0,47.0,90.0
05041,67.0,70.0,138.0
09059,8762.0,8618.0,17381.0
31059,4.0,2.0,6.0
41019,231.0,218.0,449.0
45023,106.0,121.0,227.0
06022,62.0,45.0,106.0
46078,2149.0,2127.0,4276.0
31060,1472.0,1420.0,2892.0
24025,3.0,2.0,5.0
45024,73.0,54.0,126.0
03046,621.0,598.0,1219.0
18033,13.0,8.0,21.0
19057,1.0,3.0,4.0
28028,155.0,141.0,296.0
50063,2.0,,2.0
47026,9.0,2.0,11.0
34038,5.0,5.0,10.0
49030,0.0,,0.0
24026,9.0,10.0,19.0
34039,,,
09060,10.0,,10.0
31061,5.0,1.0,6.0
48021,37.0,40.0,77.0
43035,13.0,7.0,21.0
37061,9.0,22.0,31.0
40034,5.0,5.0,10.0
15014,70.0,84.0,154.0
25060,1.0,2.0,3.0
15015,52.0,44.0,96.0
17031,25.0,23.0,48.0
12033,326.0,303.0,628.0
17030,87.0,65.0,152.0
31062,102.0,89.0,191.0
28029,40.0,39.0,79.0
19058,518.0,575.0,1092.0
08027,30.0,24.0,54.0
50064,17.0,10.0,27.0
45025,210.0,149.0,359.0
40035,7.0,6.0,14.0
49031,6.0,4.0,10.0
45026,13.0,16.0,29.0
10033,2.0,5.0,7.0
24027,29.0,31.0,60.0
09061,5.0,3.0,8.0
37063,,1.0,1.0
06023,23.0,45.0,68.0
37065,2.0,6.0,8.0
06024,1.0,1.0,2.0
10034,3.0,1.0,4.0
37062,1.0,1.0,2.0
45027,32.0,19.0,51.0
13025,4.0,6.0,10.0
13026,13.0,9.0,22.0
05042,5.0,3.0,8.0
41020,161.0,186.0,347.0
05043,,1.0,1.0
05044,1.0,1.0,2.0
21015,26.0,10.0,37.0
26035,,,
39012,184.0,227.0,411.0
09062,1.0,1.0,2.0
39013,68.0,17.0,85.0
47027,95.0,84.0,180.0
47028,2.0,0.0,2.0
40036,46.0,43.0,89.0
10035,88.0,67.0,155.0
05045,2.0,2.0,4.0
25061,1.0,7.0,9.0
50065,,,
14013,343.0,354.0,697.0
44048,1.0,1.0,2.0
43036,58.0,55.0,113.0
23017,21.0,23.0,43.0
33008,82.0,117.0,199.0
33009,34.0,39.0,73.0
31063,2.0,5.0,7.0
42044,,,
42045,25.0,18.0,43.0
08028,42.0,62.0,104.0
08029,154.0,184.0,339.0
28030,300.0,248.0,548.0
37067,107.0,120.0,227.0
10036,3.0,1.0,4.0
47029,3.0,2.0,5.0
24028,4.0,5.0,9.0
24029,10.0,15.0,25.0
37068,9.0,4.0,14.0
08030,352.0,438.0,790.0
39014,11.0,18.0,29.0
24030,302.0,254.0,557.0
10037,1684.0,2206.0,3890.0
10038,,,
18034,17.0,16.0,33.0
10039,5.0,8.0,13.0
28031,271.0,182.0,453.0
17032,476.0,450.0,927.0
18035,122.0,79.0,201.0
11012,1657.0,1956.0,3613.0
31064,261.0,144.0,405.0
50066,164.0,196.0,360.0
18036,139.0,159.0,298.0
21016,10.0,9.0,19.0
40037,,,
44049,63.0,43.0,106.0
08031,452.0,297.0,749.0
43037,2430.0,2388.0,4818.0
26036,2356.0,2159.0,4515.0
34041,6.0,4.0,10.0
18114,15.0,18.0,33.0
44050,407.0,362.0,770.0
06025,96.0,92.0,188.0
44051,371.0,368.0,739.0
21017,30.0,44.0,74.0
30013,878.0,709.0,1587.0
42046,4.0,1.0,5.0
50067,2292.0,1974.0,4266.0
50068,292.0,222.0,514.0
50069,,1.0,1.0
36005,278.0,277.0,555.0
22072,7.0,8.0,15.0
08034,13.0,18.0,31.0
17033,280.0,333.0,613.0
08033,1153.0,970.0,2124.0
08032,211.0,271.0,483.0
08035,2162.0,1961.0,4123.0
06026,4.0,7.0,11.0
45028,180.0,170.0,349.0
09064,50.0,65.0,115.0
45029,1.0,6.0,8.0
18037,9.0,11.0,20.0
12034,198.0,174.0,372.0
08037,116.0,75.0,191.0
46079,24.0,28.0,52.0
03049,1614.0,1384.0,2999.0
03048,1175.0,947.0,2122.0
08038,105.0,99.0,203.0
50070,2.0,5.0,7.0
44052,,,
17034,1370.0,1325.0,2695.0
08036,3.0,2.0,5.0
03047,6323.0,6058.0,12381.0
42048,,1.0,1.0
37069,19.0,46.0,65.0
37070,14.0,13.0,27.0
07011,8502.0,9392.0,17894.0
32016,42.0,32.0,74.0
37071,2.0,2.0,4.0
13027,125.0,84.0,209.0
37072,4.0,2.0,6.0
34042,2.0,4.0,6.0
45030,18.0,13.0,32.0
37073,17.0,11.0,28.0
24031,6.0,3.0,10.0
10040,1.0,8.0,9.0
06027,22.0,18.0,40.0
49032,7.0,7.0,14.0
39015,21.0,33.0,54.0
44053,1.0,5.0,6.0
25062,28.0,26.0,54.0
45031,234.0,206.0,440.0
44054,3.0,8.0,12.0
45032,46.0,23.0,69.0
39016,1161.0,1224.0,2385.0
44055,17.0,14.0,31.0
15016,236.0,192.0,428.0
43903,368.0,308.0,675.0
28032,488.0,478.0,966.0
49033,43.0,40.0,83.0
41021,652.0,759.0,1411.0
36006,424.0,358.0,782.0
23018,47.0,23.0,69.0
15017,1124.0,1179.0,2303.0
43038,3840.0,3834.0,7675.0
10041,19.0,12.0,30.0
44056,46.0,34.0,80.0
17035,14.0,13.0,27.0
41022,101.0,81.0,182.0
06028,29.0,47.0,76.0
07012,166.0,158.0,324.0
47030,57.0,51.0,108.0
24032,2.0,4.0,6.0
17036,74.0,77.0,151.0
17037,5.0,10.0,15.0
03050,2797.0,2940.0,5736.0
01017,47.0,55.0,102.0
16042,68.0,80.0,148.0
50071,6.0,5.0,11.0
09065,7.0,6.0,13.0
23019,112.0,31.0,143.0
37074,8.0,6.0,14.0
10042,,,
19059,6.0,1.0,7.0
45033,7.0,10.0,17.0
06029,10.0,15.0,25.0
19060,8.0,2.0,11.0
21018,37.0,44.0,82.0
47031,7.0,7.0,14.0
29032,241.0,226.0,467.0
16043,1.0,5.0,6.0
16044,1.0,0.0,1.0
08039,23.0,26.0,49.0
19061,5.0,3.0,8.0
17038,24.0,19.0,43.0
22074,19.0,24.0,43.0
13028,1013.0,697.0,1710.0
03051,10.0,10.0,20.0
37077,1.0,4.0,5.0
40039,39.0,22.0,61.0
24033,,,
36007,38.0,47.0,86.0
10043,15.0,6.0,21.0
28033,532.0,518.0,1050.0
21019,10.0,10.0,20.0
09066,,,
24034,191.0,182.0,372.0
39027,44.0,74.0,119.0
39017,26.0,17.0,43.0
47032,2.0,3.0,5.0
22075,6.0,4.0,10.0
46080,95.0,74.0,169.0
07013,967.0,918.0,1885.0
16901,40.0,37.0,77.0
30014,114.0,111.0,225.0
18038,31.0,17.0,48.0
17039,158.0,142.0,301.0
26037,14.0,10.0,24.0
45034,142.0,128.0,270.0
22076,6.0,16.0,22.0
47033,24.0,28.0,53.0
16045,21.0,16.0,38.0
05046,,,
26038,3.0,0.0,3.0
46081,943.0,800.0,1743.0
33010,28.0,40.0,68.0
22077,,,
38011,1903.0,2104.0,4007.0
37078,20.0,18.0,39.0
05047,144.0,155.0,298.0
42049,3.0,,3.0
24036,6.0,7.0,13.0
25063,2.0,2.0,4.0
23020,152.0,11.0,163.0
28034,36.0,32.0,68.0
17040,8.0,21.0,30.0
08040,765.0,832.0,1598.0
46082,247.0,267.0,514.0
12036,50.0,38.0,88.0
22078,29.0,30.0,59.0
36008,561.0,495.0,1056.0
33012,421.0,427.0,848.0
33011,297.0,321.0,619.0
09067,26.0,20.0,46.0
18039,223.0,218.0,441.0
37079,2.0,1.0,4.0
29033,208.0,202.0,410.0
29034,185.0,176.0,361.0
47034,1.0,,1.0
26039,1.0,1.0,2.0
04030,21.0,23.0,44.0
43907,280.0,267.0,546.0
08041,2111.0,1498.0,3609.0
08042,92.0,83.0,175.0
19064,3.0,2.0,5.0
09068,,,
37080,5.0,4.0,9.0
37081,8.0,21.0,29.0
40040,411.0,369.0,780.0
17041,30.0,28.0,58.0
19065,11.0,9.0,20.0
37082,24.0,19.0,43.0
37083,,1.0,1.0
44059,43.0,27.0,71.0
41023,522.0,396.0,918.0
40041,94.0,89.0,183.0
05048,,,
04031,549.0,535.0,1085.0
08043,171.0,194.0,365.0
03052,20.0,22.0,42.0
44060,1.0,0.0,1.0
13029,4.0,3.0,7.0
44061,3.0,4.0,7.0
16046,5.0,3.0,9.0
16047,22.0,14.0,36.0
41901,22.0,15.0,38.0
44062,,,
42050,,,
16048,23.0,18.0,40.0
10044,27.0,25.0,51.0
18040,66.0,63.0,129.0
26040,14.0,8.0,22.0
16049,3.0,1.0,4.0
10045,1.0,9.0,10.0
21020,3.0,6.0,9.0
16050,29.0,15.0,44.0
16051,8.0,4.0,12.0
16052,117.0,82.0,199.0
14014,46.0,33.0,79.0
29035,20.0,19.0,39.0
36009,200.0,227.0,427.0
49034,11.0,13.0,24.0
19066,1.0,5.0,6.0
44063,11.0,5.0,16.0
16053,19.0,16.0,35.0
49035,3.0,5.0,8.0
43039,1.0,2.0,3.0
31065,310.0,228.0,537.0
43040,13.0,9.0,22.0
07014,1748.0,1679.0,3427.0
22079,5.0,49.0,54.0
15018,19.0,14.0,33.0
22080,27.0,25.0,52.0
08044,224.0,208.0,432.0
18042,27.0,23.0,51.0
06030,,,
34045,,,
17042,80.0,47.0,127.0
08045,1.0,2.0,3.0
42051,,,
28035,193.0,199.0,392.0
42052,,,
13030,5.0,3.0,8.0
18043,25.0,22.0,47.0
30015,1589.0,1396.0,2985.0
33013,5.0,9.0,14.0
09070,1.0,2.0,3.0
49036,22.0,17.0,39.0
10046,,1.0,1.0
37085,246.0,260.0,507.0
32018,63.0,56.0,118.0
32017,180.0,161.0,341.0
27009,53.0,67.0,120.0
32019,990.0,1123.0,2114.0
15019,1141.0,1243.0,2384.0
49037,1.0,3.0,4.0
04032,653.0,539.0,1192.0
16055,26.0,10.0,35.0
40043,196.0,182.0,378.0
23021,7.0,7.0,14.0
10047,13.0,13.0,26.0
14015,70.0,31.0,100.0
46083,1163.0,975.0,2138.0
31066,52.0,50.0,102.0
31067,131.0,98.0,230.0
09071,0.0,,0.0
09072,7.0,15.0,22.0
02020,34.0,28.0,61.0
46084,87.0,65.0,152.0
23901,58.0,15.0,74.0
08046,840.0,886.0,1726.0
26041,8.0,4.0,12.0
16056,22.0,17.0,39.0
14016,22.0,14.0,36.0
09073,30.0,47.0,77.0
09074,54.0,39.0,93.0
05049,3.0,7.0,11.0
34046,2.0,1.0,3.0
09075,4.0,3.0,7.0
45035,16.0,15.0,31.0
08047,154.0,147.0,301.0
19067,1.0,,1.0
50072,5.0,8.0,13.0
50073,547.0,386.0,933.0
15901,165.0,125.0,290.0
46085,800.0,740.0,1540.0
14017,187.0,207.0,394.0
08048,66.0,55.0,121.0
45036,27.0,29.0,56.0
24037,5.0,6.0,11.0
41024,530.0,533.0,1064.0
06031,5.0,7.0,12.0
15020,69.0,100.0,168.0
23024,263.0,230.0,493.0
47035,4.0,2.0,6.0
37086,0.0,1.0,1.0
45037,87.0,72.0,159.0
14018,29.0,33.0,62.0
24038,128.0,123.0,251.0
15021,237.0,228.0,465.0
45038,228.0,210.0,438.0
37087,31.0,38.0,69.0
37088,2.0,5.0,7.0
40044,2.0,6.0,8.0
10048,12.0,9.0,21.0
06032,,2.0,2.0
16057,1.0,2.0,3.0
42053,,,
16058,1.0,2.0,3.0
42054,,,
29036,42.0,27.0,69.0
33014,239.0,249.0,488.0
05051,3.0,1.0,4.0
09076,,,
45039,14.0,3.0,17.0
46086,4.0,4.0,8.0
13031,52.0,56.0,108.0
41025,48.0,63.0,111.0
34047,75.0,97.0,172.0
24039,70.0,79.0,149.0
13032,4.0,5.0,9.0
24040,9.0,9.0,18.0
30016,17504.0,12940.0,30444.0
29037,20.0,13.0,34.0
29038,1114.0,1063.0,2177.0
21021,2077.0,1734.0,3811.0
32020,91.0,83.0,175.0
39018,176.0,183.0,358.0
24041,14.0,11.0,24.0
19070,20.0,13.0,33.0
29039,185.0,141.0,325.0
37089,2.0,2.0,4.0
26042,195.0,133.0,328.0
10049,52.0,59.0,111.0
45040,258.0,206.0,465.0
10050,64.0,38.0,102.0
19071,966.0,947.0,1914.0
29040,196.0,168.0,363.0
42055,2.0,,2.0
29041,868.0,827.0,1696.0
10051,7.0,10.0,17.0
41026,191.0,163.0,354.0
45041,507.0,468.0,975.0
28036,120.0,138.0,258.0
46087,7.0,4.0,11.0
46088,8.0,9.0,16.0
16060,40.0,29.0,70.0
10052,6.0,7.0,12.0
10053,,,
06033,21.0,24.0,44.0
16061,143.0,89.0,232.0
16062,,,
16063,14.0,9.0,23.0
16064,58.0,34.0,92.0
02021,60.0,55.0,115.0
02022,4.0,4.0,8.0
16065,30.0,69.0,98.0
10056,5.0,7.0,12.0
10057,1.0,3.0,4.0
06034,4.0,4.0,8.0
19073,,,
02023,22.0,18.0,40.0
10054,3.0,3.0,7.0
37090,,1.0,1.0
10055,4.0,9.0,13.0
05052,,1.0,1.0
45042,7.0,10.0,17.0
49038,0.0,2.0,2.0
49039,30.0,18.0,47.0
02024,391.0,272.0,663.0
16066,228.0,199.0,426.0
05053,,,
47036,16.0,10.0,27.0
10058,143.0,111.0,254.0
05054,47.0,60.0,107.0
22081,8.0,11.0,19.0
09077,,,
09078,,1.0,1.0
31068,281.0,234.0,515.0
44064,2.0,2.0,4.0
31069,22.0,20.0,42.0
