Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
44071,25,45
17048,580,675
25070,35,40
08064,*,175
43042,145,135
08065,75,70
08066,55,75
44067,*,*
44068,25,105
46092,*,25
22086,15,20
22087,*,10
09083,*,*
34048,*,10
06035,25,70
41027,175,130
09082,5,5
24042,*,10
19078,*,*
42056,*,*
50078,*,20
22088,*,20
41028,55,95
41029,270,535
41030,*,15
18045,90,65
16068,15,10
37096,*,20
40046,*,15
42058,*,10
16070,*,*
45043,60,85
16072,*,25
41031,35,50
23026,235,210
12041,*,*
16071,*,*
22089,20,40
31071,*,*
19079,*,*
42057,5,20
37097,*,*
34049,*,50
47037,10,15
32022,40,55
32021,*,20
18046,80,215
24043,*,10
34050,*,30
47038,*,20
49040,10,10
09084,*,15
24044,*,15
09085,25,45
34051,10,15
09088,*,*
34052,*,25
09086,30,45
09090,*,10
33016,910,945
47039,10,30
32023,35,170
04033,*,10
40047,*,*
27010,280,685
14019,270,390
47040,*,*
24046,25,80
24047,*,105
47041,*,10
49041,*,60
09091,60,115
40048,*,*
47042,*,10
34053,10,30
47043,15,40
49042,10,30
47044,15,30
47045,*,60
24049,25,80
33017,185,340
47046,*,15
40049,*,*
40051,*,*
24050,*,15
39020,1465,1985
27011,125,380
49043,25,30
47047,*,40
26044,*,*
06036,260,475
46093,60,115
46094,520,1160
12042,30,130
43043,185,180
36010,130,115
03055,195,300
02025,315,295
46095,35,50
12043,20,65
25071,*,*
09063,15,55
09093,*,20
45045,85,75
23027,15,25
41032,180,195
23028,255,330
49044,*,*
24051,20,70
24052,*,20
45046,130,185
09094,*,*
05057,135,190
24053,*,50
10061,70,135
15022,310,270
10062,*,*
40052,10,10
45047,130,200
44074,45,70
15023,275,355
30017,480,820
47048,10,25
09095,*,*
44075,35,35
32024,185,425
44076,125,215
17189,55,80
26045,*,*
17049,180,220
31193,20,125
19080,*,5
19081,*,*
18047,170,365
26046,70,110
28037,30,125
02026,55,40
32025,*,55
08067,170,490
19082,*,*
42059,*,*
37098,*,25
05058,*,15
42060,*,*
15024,140,245
28038,150,340
08268,*,35
46096,*,20
08266,2355,2430
36011,25,60
15025,80,50
37099,*,*
49046,10,45
49047,5,10
37100,*,*
10063,*,*
40053,*,10
40054,*,15
09098,15,60
49048,*,*
44077,*,*
37101,*,20
45048,30,25
09100,*,*
21023,40,60
37102,*,30
27012,*,115
34055,*,35
08068,340,435
25072,240,435
28039,*,*
50079,15,30
45049,10,30
34056,140,155
16073,5,25
12044,25,25
26047,50,140
50080,*,*
25073,40,95
17050,30,50
47049,*,10
27013,85,120
37103,15,40
15026,*,*
50081,*,60
51001,1820,2040
30018,385,455
34057,*,60
34058,*,35
37114,*,5
22094,5,10
05067,*,15
32029,*,80
27016,415,925
40065,45,70
28051,50,150
18059,140,260
19103,15,25
06042,*,*
46107,55,185
46106,80,70
19104,*,*
46108,*,55
04036,*,15
12052,45,95
46109,280,425
22095,*,*
11015,2000,2605
23029,*,75
12053,60,95
16023,20,30
19106,*,15
13038,45,70
23030,35,55
19105,115,110
18061,45,55
22096,25,30
02029,85,180
28052,210,280
11016,850,555
50092,30,40
04037,90,125
46111,890,555
50093,*,*
12055,*,*
12056,*,40
24065,80,185
45056,80,175
21030,25,70
45057,10,15
46112,30,25
16081,*,*
18062,175,515
09101,*,*
26048,*,*
42061,30,*
28040,495,705
16074,*,*
30019,940,900
39021,*,30
19086,60,130
47050,145,190
42062,*,*
47051,*,35
42063,*,*
26049,10,25
18048,95,95
05059,*,15
09102,*,*
10064,40,120
37104,*,*
09103,*,35
09104,*,*
40055,*,10
39022,55,135
24054,20,75
24055,35,65
50082,*,*
50083,*,5
19087,*,*
12045,15,60
31072,235,240
37106,*,30
12046,*,10
31074,25,20
42064,*,15
31075,5,*
19088,*,*
45050,*,25
09105,*,5
19089,*,*
26050,15,5
42065,*,*
05060,*,10
34059,*,50
17051,*,45
47052,290,290
24056,125,240
13034,1840,2045
37107,510,915
07015,1580,1250
25074,10,15
31076,180,115
50084,*,15
25075,15,20
26051,20,15
33018,150,245
04034,*,15
45051,55,75
28041,245,290
19090,*,*
45052,170,205
34060,*,20
40056,*,*
49050,30,30
40057,85,85
37108,*,10
03056,505,535
50085,*,25
44080,15,35
40058,5,65
50086,5,5
06037,*,85
46097,45,*
47053,*,*
47054,*,75
19091,*,*
09108,*,20
18049,25,45
18050,45,55
19092,25,30
25076,*,15
29042,680,785
15027,65,60
17054,*,25
32026,100,150
05061,15,5
39023,250,395
25077,35,60
05062,10,25
10065,*,20
05063,*,*
40059,*,*
28046,275,450
28047,1235,2025
34061,10,20
08069,225,305
43045,5,25
08070,20,35
29043,140,215
37109,*,20
28043,505,480
28042,75,35
28045,890,1435
28044,275,300
18051,60,40
17055,20,10
33019,90,270
22090,*,15
25163,15,20
29044,*,70
39024,125,165
29045,185,300
25161,*,70
40060,*,10
09109,105,75
19095,*,*
19096,*,*
43046,*,25
03057,*,20
24057,55,40
34062,*,35
19097,*,*
11014,840,1075
14020,*,20
10066,*,15
07016,140,185
43047,105,150
41033,145,170
05064,*,15
45053,405,730
50087,*,*
09110,*,*
49052,5,25
19098,*,*
08071,20,5
44082,10,10
46098,65,150
08072,540,755
43048,55,125
24058,*,40
25078,130,115
47055,*,15
15028,60,50
17057,60,90
14021,8725,11575
06038,*,45
37110,10,*
34063,*,15
26052,25,20
19099,25,40
31077,270,380
26053,10,25
49053,35,65
27014,*,565
10067,520,535
41034,755,850
41035,*,50
15029,310,590
26054,*,25
08073,1395,2550
17056,65,140
43049,80,30
06039,85,130
41036,110,140
28048,*,20
26055,*,*
45054,215,265
40061,*,20
13035,25,55
39025,330,385
47056,*,25
49054,45,60
41037,75,205
02027,*,30
06040,40,25
21024,25,20
32027,70,140
21025,95,245
21026,*,15
31078,100,230
44084,*,10
12048,10,25
18053,30,80
29046,105,180
46099,40,55
18054,*,40
13036,25,45
24059,25,55
09112,*,10
15030,6390,9565
33020,300,590
39026,60,150
44085,*,20
42068,*,20
28049,2370,2950
27015,45,565
07017,40,115
12049,*,25
50088,*,25
49055,*,15
46100,*,10
02028,*,10
36012,*,270
42069,70,155
09113,35,50
36013,*,250
12050,60,155
03058,340,375
13037,20,50
40902,10,10
36014,45,115
43050,155,200
24060,*,55
17058,10,20
05065,15,65
44086,20,85
03059,740,1205
06041,25,10
37112,*,15
44087,*,*
17901,60,75
10068,45,35
24061,40,115
32028,*,115
50089,440,610
44088,*,10
28050,285,245
50090,*,45
08074,445,695
25079,10,55
42070,*,*
34066,*,15
24062,*,20
24063,*,40
47057,15,20
40062,*,*
19102,5,*
09114,*,5
49056,*,40
24064,60,70
44089,*,*
49057,*,15
09115,5,20
37113,20,55
42071,*,25
49058,*,25
44090,*,15
33021,325,355
49059,*,10
40063,440,560
16078,1215,1815
47058,*,30
50091,*,10
45055,90,125
41903,180,340
44092,*,10
42073,*,*
09117,*,*
16079,*,*
29047,70,15
44093,*,*
40905,*,20
09119,*,*
29049,70,200
04035,560,445
29048,55,80
18912,85,100
05066,15,35
44094,*,10
12051,20,70
18056,135,270
18057,170,375
46105,785,950
15031,835,970
10069,30,25
21027,*,*
21028,*,10
21029,55,85
43051,440,375
36015,240,255
47059,*,5
15032,150,500
29050,*,30
26056,40,30
28053,355,505
13039,385,695
46113,110,95
04038,215,295
17060,*,*
50094,60,130
26057,*,*
18063,30,25
17061,25,30
03061,*,70
03062,*,*
20029,145,210
33022,*,*
34067,*,10
34068,*,*
18064,*,15
18066,*,115
10070,45,65
43901,430,445
03063,1865,2095
48901,170,290
10071,*,10
31079,*,10
24066,*,55
42075,*,*
07018,35,65
42076,*,45
31080,25,40
05903,*,25
18067,40,35
18068,70,85
48026,40,75
37115,*,15
15033,50,170
18069,15,40
03064,305,220
46114,*,25
40068,*,10
45058,15,25
06043,20,50
06044,1405,1275
31081,15,35
31221,105,110
40069,*,10
05069,*,10
20069,6790,9750
05070,*,10
14022,125,170
37116,*,*
37117,35,75
46115,*,20
41038,2835,3525
14023,85,165
45059,95,85
08075,340,455
36016,85,135
19107,*,20
18070,*,15
34069,*,100
43053,*,15
15034,225,*
48027,925,945
18071,205,260
19108,*,*
40070,10,10
42078,65,70
48028,55,50
31083,*,5
41039,1105,1255
31086,620,800
20030,745,1005
07026,1915,1715
50095,695,865
37118,*,10
04902,4885,4615
44096,10,15
48031,15,20
01021,60,35
02030,90,100
03065,6885,9275
01022,50,70
03066,1390,2295
20031,*,15
20033,55,35
20032,300,410
31087,10,10
46116,785,925
10072,*,50
48032,175,205
01023,40,35
19109,*,*
50096,*,*
46117,20,20
37120,*,10
37119,*,15
50098,*,*
40071,*,10
37121,15,45
37122,10,15
47060,*,25
14024,110,100
21031,*,70
37123,*,30
24067,35,65
40072,*,15
09120,*,*
26058,*,30
37124,*,35
31089,10,*
46118,75,255
16082,15,20
04041,*,*
46119,30,35
49061,*,15
39028,200,280
26059,75,105
32030,40,55
06045,25,*
50099,135,245
48902,605,1100
31090,*,10
24068,*,25
48033,*,20
31091,15,25
50100,*,25
48034,320,705
20067,1060,1295
20066,*,*
01046,*,70
48079,30,30
31092,20,85
45060,*,15
21032,*,125
17062,520,630
39029,*,55
45061,140,175
40073,25,55
45062,40,105
19110,*,*
23031,15,20
40074,20,35
19111,*,10
50101,55,55
24069,*,*
40075,10,25
42079,*,*
19112,*,*
07019,60,*
28054,310,740
44097,*,10
44099,*,25
10073,15,40
37125,*,25
18072,*,40
32031,*,90
47061,*,20
20034,40,105
31094,5,5
12057,15,45
37126,*,10
49062,*,10
12058,*,*
06046,35,40
06047,15,45
06048,15,55
08076,360,820
41040,430,460
31095,*,*
37127,15,25
42080,*,20
14025,90,115
42081,*,15
23032,*,*
11017,50,70
14026,55,50
40076,375,555
17063,15,*
37128,*,20
34070,10,25
09122,*,*
19113,35,40
05072,*,10
09124,45,240
34071,*,35
09123,*,*
45063,25,25
40077,75,50
19114,*,*
25081,10,50
43054,125,225
08077,1535,2090
22099,30,45
17064,25,25
17065,20,20
07020,290,305
25082,40,20
31096,*,20
08078,*,65
45064,165,195
19115,*,*
22102,*,15
22103,55,45
25088,10,10
08079,10,30
25085,*,20
31097,430,630
07021,*,*
41041,580,480
42082,*,*
09125,25,50
29051,2710,2565
44100,*,10
31098,85,105
25086,35,30
25087,*,10
46120,20,35
26060,*,15
22105,5,15
36017,840,1870
45065,*,20
28055,45,105
19116,*,*
46121,*,*
31099,*,*
31082,25,80
31084,100,85
31085,35,25
48029,365,390
48030,35,40
31100,*,25
31101,55,70
26061,75,130
31093,25,30
20035,30,35
31102,*,*
31103,*,5
50102,70,135
24070,105,120
03067,*,10
22106,*,10
31104,20,85
43055,85,160
03068,*,*
22107,*,20
12059,30,15
17005,30,25
29052,*,*
49063,*,35
49064,*,80
50104,15,30
25089,*,20
38012,*,100
43056,80,95
46122,60,155
46123,70,90
50105,*,25
50106,*,5
43057,*,*
07022,925,1120
04043,*,35
15035,335,445
02031,*,20
06049,45,55
49065,80,50
13040,25,45
14027,320,375
18074,*,10
49066,15,40
49067,*,45
07023,320,150
49068,*,55
44101,*,*
15036,1535,1995
08134,80,70
08080,*,*
25908,*,35
43058,*,15
17066,1350,1425
43059,*,15
12060,*,20
49069,15,20
50107,25,50
04044,75,155
03069,310,185
04045,50,75
35008,120,260
22109,10,35
15037,325,200
31105,50,100
17067,25,45
43060,90,70
05073,*,30
25092,10,*
37129,10,35
08082,100,45
08081,35,45
46126,190,210
17068,20,35
24071,25,20
27017,30,100
08083,90,115
47062,*,25
50108,*,*
47063,10,10
26062,10,15
25093,35,70
03077,120,145
04046,25,30
18076,35,50
44102,*,*
49071,35,100
08084,40,75
27018,75,555
46128,75,120
46127,60,255
17069,40,60
19117,70,60
13041,*,35
46124,50,65
17070,*,*
17071,50,120
31106,100,60
47064,*,*
09127,*,*
05074,25,55
08085,85,125
22110,40,105
26063,15,15
25094,20,20
22111,*,35
17902,130,135
12061,30,50
36018,135,330
43061,*,10
37130,10,20
07024,760,360
03070,105,175
44103,20,10
07025,20,65
17073,145,90
36019,40,65
44105,*,15
46125,*,30
44106,15,25
17074,30,55
30020,170,470
48906,20,40
27019,475,465
44107,*,25
15038,105,410
37131,*,20
22112,925,830
50109,*,10
23033,95,80
33023,45,270
09128,*,*
08086,845,795
50110,25,*
34072,5,20
42083,*,*
06050,120,355
37132,*,35
43062,20,30
18078,25,40
50111,*,20
16083,*,10
40078,20,25
16084,*,*
09129,*,10
44108,10,85
05075,*,*
28056,40,50
37133,*,*
10075,*,10
09130,*,5
09131,15,20
37134,*,25
40079,15,15
42084,*,*
40080,*,5
49075,*,15
49076,*,25
24073,20,80
09132,10,15
09133,*,*
49077,*,15
28057,95,60
34073,10,10
47065,35,90
05076,25,45
09134,10,45
44109,*,10
49078,*,25
29053,205,135
27020,125,565
34074,65,35
38013,40,235
16085,10,25
48035,25,25
40081,*,15
19118,*,*
13042,35,85
38014,50,45
19119,*,*
50113,50,60
50114,10,20
44110,*,10
29054,3845,3195
28058,4555,6355
06051,50,165
13043,*,*
26064,130,165
47066,50,115
45066,400,470
02032,*,10
23034,120,150
30021,470,635
06052,185,300
16086,60,115
29055,70,95
37135,70,120
40082,*,10
06053,10,30
06054,335,175
13044,85,180
40083,*,*
40084,*,10
05077,*,15
28059,205,305
47067,10,15
49079,*,10
14028,*,15
12063,*,*
14029,185,255
14030,450,460
18079,155,225
02033,140,110
02034,60,125
42085,*,5
09135,*,*
42086,*,*
42087,5,*
09136,*,15
37136,*,35
21033,*,30
19120,*,*
49080,15,70
09137,10,*
19121,25,25
16087,10,25
16088,10,10
37137,*,15
09138,*,10
42088,*,15
19122,*,10
42089,*,10
19123,*,*
09139,*,15
16904,30,25
09140,*,*
19124,35,40
47068,*,*
40086,40,70
42090,*,25
40087,*,10
40088,10,30
37138,*,20
46129,35,70
16089,10,40
44111,10,20
44112,15,35
41042,210,195
05078,5,10
12064,*,*
37139,15,20
24074,*,30
50115,135,265
50116,*,20
06055,85,110
42092,*,15
34076,25,60
37140,45,85
49082,15,35
44113,*,15
34077,10,30
49081,90,80
40089,10,30
49083,*,15
40091,10,10
44114,10,45
09141,15,35
49084,15,35
42093,*,10
14031,*,50
40092,5,*
28060,40,70
23035,30,50
16091,*,*
22113,35,55
25096,65,100
25097,*,10
31107,110,140
31108,80,145
16092,25,10
18905,600,655
20038,15,25
04047,110,115
08090,10,20
03072,15,30
12065,10,5
20037,5,10
19125,*,5
37141,*,15
28061,965,1115
19126,50,60
31109,115,105
21034,70,75
09143,*,*
26065,*,10
48036,770,950
48037,30,35
35009,245,1095
49085,100,130
18082,20,45
43063,30,90
26066,15,10
37142,45,55
37143,*,30
37144,*,35
10076,50,30
04048,100,170
09144,*,*
40093,*,5
05079,*,10
37145,10,10
47069,*,15
05080,*,10
37146,*,15
49086,*,25
49087,*,30
08087,30,20
26067,*,*
31110,*,10
50117,*,30
31111,*,25
50118,60,100
44115,10,15
19127,*,15
45067,75,175
48038,60,65
49088,*,20
43064,115,195
46131,2655,3340
16093,*,20
38015,85,150
38016,50,185
48039,20,10
31112,*,*
06056,10,25
43065,*,35
10077,15,30
37147,10,10
37148,*,70
40094,15,20
45068,*,*
37149,*,*
31113,10,15
44116,10,*
28062,*,40
05081,*,*
10079,40,65
10078,20,40
10080,15,35
28063,*,*
10081,*,10
43066,*,20
31114,*,20
06057,*,40
24076,75,65
31115,15,30
42094,25,25
08088,565,770
17075,15,30
17076,*,20
17077,55,70
41043,*,15
06058,115,95
10082,*,70
04049,245,255
10083,*,*
28064,*,15
16094,*,10
19129,*,*
11018,70,70
10084,20,90
03071,240,635
48040,30,80
47070,*,*
46902,10,20
29056,30,130
48041,40,50
08089,1205,1340
46130,40,25
25098,*,20
05082,*,45
20907,*,10
44117,20,30
37150,*,*
12067,25,20
08091,145,295
50119,30,85
41044,330,440
49090,*,*
05083,*,15
29057,20,40
23037,10,*
31116,*,*
46132,65,125
17078,55,*
41045,125,175
04050,50,55
47071,15,65
45069,90,80
48046,485,895
46133,*,80
28065,3890,4860
20039,110,110
48044,2625,3400
21035,275,350
33024,7630,10420
05085,*,*
05084,*,20
41046,105,155
46134,120,95
25912,35,100
05086,*,20
26068,5,*
44118,15,25
41047,355,350
43067,20,45
02035,80,140
17079,2740,3545
08092,160,265
08093,*,*
22114,*,15
48047,*,5
18083,15,*
43068,20,55
46135,545,575
46136,130,245
50120,*,*
31117,30,40
18084,180,210
42095,50,160
25099,110,125
02036,*,*
37151,10,20
42096,*,50
17080,*,20
37152,20,30
32033,*,45
40095,20,65
36021,455,565
31118,*,30
18085,20,35
18086,*,45
24077,*,30
48042,50,115
10085,*,*
24078,20,45
03073,*,30
48043,180,285
42097,*,*
25100,15,45
05087,*,15
50121,15,25
33025,330,780
24079,20,135
33026,340,720
22115,20,30
16095,*,15
16096,55,15
24080,*,25
40097,15,20
18087,6475,9180
21036,*,5
08094,110,125
25101,25,80
38017,1195,1155
21037,*,15
13045,*,35
33027,30,90
05088,*,*
08095,*,*
46137,10,40
49091,*,15
03074,45,305
06059,45,105
25102,75,65
10086,10,*
14032,25,25
08096,1590,2375
49092,*,15
25103,*,25
25105,20,20
25104,*,15
22116,130,190
26069,*,55
43069,5,30
22117,125,285
26070,10,35
11019,40,90
44119,*,25
09148,*,*
34079,135,115
28066,675,590
09149,*,*
50122,*,*
50123,10,10
36022,495,595
18088,45,55
19130,2005,2445
44120,*,20
41048,105,80
14033,65,35
28067,125,290
13046,10,50
10087,35,125
45070,55,90
28068,400,520
46138,25,25
46139,305,265
18089,580,920
37154,5,20
18906,*,*
08097,60,75
18093,235,375
17081,10,20
38018,75,225
36023,520,550
46140,25,20
03076,540,490
23038,245,130
45071,45,105
08099,30,65
34080,215,310
06060,165,320
29058,*,100
49093,*,35
23039,75,90
34081,*,10
44121,*,10
32034,55,75
18094,80,90
48045,155,360
31119,*,*
31120,25,25
18095,90,80
38019,550,655
43070,10,30
37155,*,*
10088,*,10
10089,25,50
10090,*,70
10091,10,25
14034,*,20
37156,360,230
41049,230,325
17082,30,70
38020,550,410
25109,15,55
25903,*,25
31121,*,20
05089,*,*
25110,105,255
27022,170,505
25111,*,15
09151,35,20
09152,15,15
27023,*,160
08100,180,265
39030,85,170
22119,55,95
24081,*,25
05090,*,15
06061,40,95
09154,10,10
01056,10,20
35010,115,295
26071,435,600
09155,*,*
39031,50,190
06062,*,*
02037,790,1470
16097,*,20
19132,*,*
19133,25,*
12068,*,10
26072,20,30
13047,325,290
45072,25,30
10092,10,*
37157,*,10
37158,*,25
37159,*,15
39032,45,110
34082,*,10
38021,100,*
49094,*,40
20040,590,820
10093,25,20
05092,10,10
20041,25,35
05093,*,45
26073,10,5
41050,320,350
10094,*,20
50124,35,60
34083,65,245
42098,*,*
34084,*,15
06063,140,200
02038,25,25
19134,*,*
39033,*,45
05094,*,25
10095,10,*
45073,15,40
47073,*,25
16098,45,40
10096,160,190
26074,*,10
19135,10,*
10097,*,*
23041,20,*
06064,15,50
21038,50,60
05095,*,*
06065,15,*
06066,*,105
06067,70,100
12069,*,*
02039,85,75
46141,*,20
05096,*,*
44122,65,75
19136,*,*
49095,*,40
10098,15,45
21039,10,10
23042,*,20
21040,*,160
37160,25,65
44123,*,*
45074,*,40
42100,*,*
14035,405,500
06068,15,20
16099,*,25
13048,*,15
16100,25,75
31256,*,25
28069,*,*
19138,*,30
16101,*,20
10099,25,45
19139,*,15
20036,835,765
03078,*,85
16102,80,75
40099,5,*
40100,15,45
45075,*,20
40101,25,40
09159,*,10
16103,*,35
09160,*,*
16104,*,*
19142,20,20
34086,*,15
09162,*,15
09164,*,*
09163,*,40
05097,30,50
28070,15,10
05099,10,65
13049,35,45
37161,*,15
16106,120,105
37162,15,30
28071,*,10
19143,75,85
09166,*,35
45076,25,35
26075,20,60
26076,10,15
06069,145,125
14036,60,100
05100,*,10
26077,*,*
34087,*,*
47074,*,10
09167,*,10
23043,30,25
26078,10,*
09168,*,20
43071,40,130
19145,*,*
09169,*,15
24082,30,40
08101,3835,7415
08162,65,70
17083,130,105
37163,*,*
02040,20,40
09170,*,15
28072,365,380
05102,65,115
05101,*,40
05103,*,10
10100,35,25
05106,*,*
05104,*,10
05105,30,55
22122,*,*
44124,*,10
22908,15,10
31122,120,345
45077,25,35
04051,*,25
10101,*,10
18096,*,10
16107,*,25
23044,230,320
21041,2620,4070
16108,*,*
18097,50,50
04052,600,620
04053,490,655
26079,75,40
19146,*,*
16109,*,*
09172,*,15
19147,*,20
37164,15,25
09173,*,10
16110,*,15
09174,55,95
45078,50,55
16111,10,10
19148,*,*
22124,*,25
40103,*,10
23045,70,90
44125,*,*
22125,1740,1955
18098,305,490
16112,55,150
18099,55,40
18100,330,270
18101,500,415
19150,*,*
41051,35,*
09175,*,25
19151,*,75
28073,405,580
29059,155,145
09176,*,*
05107,*,10
34088,15,20
10102,*,20
31124,*,20
20042,120,120
48048,50,45
50125,*,30
09177,60,65
03079,1015,895
33028,*,*
22126,*,10
09178,*,*
23046,85,135
38022,915,880
20043,60,70
31259,15,40
26080,20,45
09179,*,10
09180,*,30
44126,25,35
45079,*,40
48094,110,195
22127,30,25
08102,1610,1360
29060,*,*
24083,35,45
31125,5,15
20044,15,15
22128,10,25
36901,195,765
45080,*,*
19152,*,40
33029,*,55
04054,*,20
33030,*,75
45081,1095,900
18102,195,395
50126,95,90
31126,*,40
07027,965,1110
27024,*,300
35011,655,595
16113,240,335
19153,*,*
04055,20,*
19154,*,10
31127,10,5
32035,45,85
15039,60,110
23047,65,110
37165,*,*
19155,*,10
20045,1260,3245
01901,130,130
20046,55,45
01027,20,50
31904,60,105
31128,50,50
22129,20,45
09181,*,50
47075,255,375
21042,650,555
41902,120,185
25115,80,105
17084,25,60
48049,20,25
29061,55,115
50128,*,*
34089,*,40
09182,*,15
18103,*,40
20047,25,45
37166,15,15
40104,10,15
31129,*,30
31130,15,25
48910,120,145
25112,15,20
25113,75,95
25114,5,15
31131,60,70
31132,5,15
24084,*,10
31133,*,*
14037,130,215
18105,210,175
29062,30,35
23048,15,25
48050,10,10
44127,15,*
23049,95,30
21043,45,110
22130,390,700
03080,60,110
19156,85,95
23050,2795,4275
17085,20,35
46142,35,20
26081,*,*
49096,*,15
23051,85,90
12070,20,95
50129,*,5
46144,*,70
10103,25,35
10104,210,185
09183,*,*
09184,*,*
10105,145,205
10106,*,*
50130,30,25
44128,*,5
22131,*,10
44129,*,*
50131,*,35
31134,*,30
03082,1230,2030
31135,*,*
18107,35,30
11020,4725,5685
06070,325,380
18108,25,70
12071,100,80
10107,55,30
18109,*,15
03083,290,260
23052,20,30
11021,385,255
29063,*,*
19157,*,*
24086,*,65
23053,300,435
17086,245,95
08103,25,35
44130,*,*
02041,15,20
44131,*,*
25910,*,*
50132,25,35
40105,*,*
40106,10,*
29064,*,35
17087,25,20
30022,880,880
18111,65,155
05108,*,*
25118,25,40
25119,145,190
09189,*,25
09190,10,*
09191,*,*
09192,*,*
31136,25,45
49097,*,*
18112,*,20
37167,*,10
29065,30,10
48022,140,255
48907,15,20
01019,10,15
01020,*,25
40107,*,25
01028,80,90
13050,15,35
22133,15,10
18115,90,145
10108,*,15
45082,30,105
34091,*,25
50133,*,10
01030,*,15
01031,160,85
44132,*,*
24087,*,170
26082,*,15
40108,*,15
47076,795,955
24088,40,145
16115,*,*
16116,*,*
37168,30,35
26083,*,30
23040,30,50
31138,40,70
36024,860,1630
22135,10,40
22136,35,90
36025,*,*
39034,*,45
31139,*,35
22137,35,95
27026,120,450
01032,45,65
16117,30,60
48051,*,25
05109,15,70
42103,20,90
50134,*,10
47077,*,40
33031,845,1330
40109,*,15
18116,125,365
34092,*,35
01902,25,110
18117,*,25
41052,215,160
31140,20,15
05110,25,85
44133,*,*
06071,*,10
22139,*,15
31141,10,25
01033,65,50
15041,290,760
26084,515,420
39035,460,585
32038,*,*
04056,*,*
48052,35,70
31142,20,125
31143,5,10
20048,10,15
31144,35,80
37169,*,15
23054,*,*
20902,355,640
22141,20,15
22142,10,25
22143,*,*
22144,10,20
40110,*,35
40111,*,*
40112,225,195
01036,580,625
04057,50,130
48053,80,70
33032,310,485
15040,180,275
50135,*,25
45083,40,35
32039,40,75
31145,15,25
20049,220,190
20050,15,10
31146,*,5
41053,725,1225
50136,30,140
50138,*,10
50137,65,150
18119,115,*
19159,*,10
16118,40,105
37170,45,85
26086,*,*
34094,*,10
37171,20,40
28074,3720,4585
16119,*,20
31147,*,5
31148,*,*
20051,230,420
20052,50,70
01058,40,90
20068,10,10
48054,930,1335
32040,55,160
31149,85,125
26087,20,15
48057,175,350
31908,75,80
48055,95,190
48056,35,65
33033,220,570
18120,*,20
24089,3840,4925
31150,10,25
21044,930,520
31151,5,*
31152,30,105
09194,95,200
25121,35,45
31153,75,200
02042,*,70
50139,20,40
01034,15,25
26088,*,*
48081,110,120
31154,5,30
20053,195,330
02043,30,90
30023,95,170
44135,*,10
42105,*,*
44136,*,5
31155,*,*
39036,60,65
39037,60,175
02044,40,50
04058,*,30
45084,95,75
39038,60,95
23055,1415,1750
21045,20,15
44137,20,25
37172,30,65
11022,820,1910
25122,85,175
50140,*,5
50141,*,5
20054,20,35
31156,20,30
08104,55,65
17088,25,55
25123,*,20
25124,10,25
08105,255,545
17089,430,395
24092,25,125
17090,65,45
17091,40,45
17092,300,245
33035,455,630
46154,25,45
33036,595,970
09195,*,*
47079,*,*
38024,985,815
05113,*,*
13904,50,20
25125,10,60
46155,30,45
25126,45,35
44141,10,20
25120,4175,4875
06073,20,45
06074,225,145
17093,65,65
25127,10,45
03085,*,*
08107,490,880
08108,330,375
25128,*,20
08106,315,370
46147,1025,1050
17094,90,175
43072,*,10
25129,*,30
46152,*,5
46153,25,35
46151,40,30
46156,30,145
43073,*,15
43074,95,105
17095,1710,1435
07028,55,90
46157,120,150
12074,40,20
07029,220,230
17096,20,40
07030,115,50
07031,1205,2170
08109,10,40
46150,85,170
22149,*,45
32041,30,40
50142,*,*
32042,50,170
06072,35,80
18121,*,*
31157,210,195
28075,225,310
26089,4585,5560
10109,100,120
48903,125,90
18122,610,1200
34903,15,55
34096,*,*
45085,105,85
47078,*,15
50143,25,85
50144,*,*
31158,15,25
23056,150,125
22150,*,65
41054,20,40
41055,415,465
19160,70,80
30024,2635,3790
03084,35,40
46148,50,85
30025,195,275
46149,25,50
40113,25,55
49098,*,20
49099,*,5
10110,175,210
05112,*,5
22151,*,*
44138,10,15
42106,*,*
27027,100,130
15042,95,100
28076,20,45
28901,35,55
49100,10,35
04059,*,135
04060,*,65
04061,*,60
14038,1945,1505
50146,*,15
12072,60,40
21046,180,35
50147,25,35
13051,10,35
24090,*,55
45086,15,*
12073,10,15
49101,*,25
39039,*,90
50148,*,50
50149,*,*
27028,3500,3885
18123,10,15
41056,190,145
18124,*,35
31159,25,75
37173,45,180
26091,*,25
50150,25,50
50151,30,85
19161,*,10
22905,15,20
23057,*,30
14039,45,115
31160,*,*
24091,25,45
19162,*,15
31248,10,40
19163,*,*
04062,260,215
46158,40,100
32043,130,180
37175,20,45
29066,15,25
37174,20,140
17102,25,45
17103,180,375
28078,*,*
49102,*,25
40115,*,15
17097,25,10
28079,72960,105625
49103,*,35
45087,455,670
10111,60,120
05114,40,145
09196,*,20
10112,55,110
09197,*,20
02045,150,255
37176,*,*
10113,75,105
41057,*,*
50152,110,205
05115,35,50
06075,*,25
50153,20,75
45088,75,155
42107,*,15
24093,*,40
34098,40,75
06076,*,25
09198,*,20
49104,*,*
02046,25,50
17098,10,45
25133,55,115
44142,*,*
37177,20,25
50154,10,15
49105,10,10
41058,795,995
41059,1270,1315
28080,2215,2895
10114,20,45
16121,*,15
19165,*,15
42108,*,*
29067,14115,18975
19166,*,15
13052,240,470
19167,*,5
