Codigo Municipio,Uso Industrial,Uso Residelcial,Uso Terciario,Otros Usos
03109,684,1949,312,1
03110,86,596,7,5
03111,931,3236,252,4
03112,172,1166,19,5
03113,1050,14127,478,89
03114,555,1530,61,2
03115,70,285,7,1
03116,372,1051,48,3
03117,100,458,10,1
03118,649,9885,460,5
03119,7061,11085,774,17
03120,911,6003,258,11
03121,10653,42517,1627,383
03122,16007,26073,2495,6
03123,1899,5188,701,6
03124,67,451,8,1
03125,61,422,11,2
03127,152,642,16,1
03128,2138,11405,957,8
03129,359,1466,41,1
03130,16,62,4,1
03131,30,235,13,2
03132,256,707,16,2
03133,39902,118291,3702,323
03134,22,162,7,2
03135,75,233,10,1
03136,124,665,19,5
03137,76,444,14,2
03138,1367,3654,164,115
03139,10558,24128,2518,261
03140,9050,18012,2006,10
03901,180,2823,112,39
03902,6181,21069,877,15
03903,1254,3261,235,4
03904,438,1055,35,3
04001,277,820,29,1
04002,174,694,8,4
04003,3594,11380,859,35
04004,67,353,8,2
04005,197,488,13,6
04006,2096,5650,290,5
04007,171,577,20,6
04008,92,277,5,1
04009,59,144,7,3
04010,64,308,12,6
04011,802,1927,86,0
04012,13,116,7,2
04013,51364,94849,9823,128
04014,9,103,3,2
04015,25,81,7,1
04016,547,1263,96,4
04017,88,1004,35,1
04018,33,187,5,1
04019,131,257,10,1
04020,27,192,7,1
04021,43,148,4,0
04022,83,540,31,2
04023,16,132,3,1
04024,988,1859,127,2
04026,67,67,2,2
04027,55,131,6,4
04028,25,178,11,2
04029,2116,6727,385,11
04030,237,845,24,9
04031,172,1800,44,2
04032,1602,5067,204,10
04033,43,130,5,3
04034,36,174,3,1
04035,4319,8221,206,4
04036,47,190,11,1
04037,259,950,25,1
04038,377,1872,57,9
04041,81,537,8,6
04043,194,554,8,1
04044,389,983,21,1
04045,359,1314,29,5
04046,285,1104,18,3
04047,446,1399,78,5
04048,205,1294,25,2
04049,3015,6523,443,12
04050,236,786,23,1
04051,52,278,9,5
04052,2035,6485,346,2
04053,3905,8747,492,7
04054,59,251,7,2
04055,89,362,11,6
04056,37,141,6,1
04057,133,1132,42,4
04058,34,256,4,1
04059,195,1295,34,25
04060,82,418,12,4
04061,78,530,8,1
04062,1395,2806,162,5
04063,120,957,20,2
04064,3264,9003,629,7
04065,2,559,0,0
04066,3173,12080,823,12
04067,220,637,13,7
04068,65,153,5,6
04069,1291,3047,255,1
04070,336,1567,25,2
04071,52,335,10,4
04072,80,274,4,2
04073,86,614,10,0
04074,395,1886,45,3
04075,2377,6357,305,172
04076,198,902,22,2
04077,105,251,9,5
04078,156,750,28,4
04079,29667,56292,4316,27
04080,38,126,6,7
04081,74,304,19,4
04082,46,202,8,23
04083,199,1474,29,2
04084,112,300,4,1
04085,59,381,8,1
04086,282,1057,66,17
04087,30,152,6,1
04088,374,1867,35,1
04089,124,618,21,1
04090,50,279,12,4
04091,190,275,14,8
04092,380,1780,50,5
04093,891,2633,77,1
04094,66,94,7,4
04095,95,504,15,9
04096,48,239,7,1
04097,156,301,8,6
04098,201,1185,22,1
04099,569,3936,113,11
04100,6640,19537,819,164
04101,1745,2325,116,3
04102,4405,10550,529,234
04103,283,1112,44,1
04901,48,204,5,387
04902,21145,37985,2137,132
04903,502,2598,112,1
04904,N/A - resultado no disponible,N/A - resultado no disponible,N/A - resultado no disponible,N/A - resultado no disponible
05001,159,276,9,1
05002,872,4382,126,32
05005,87,149,5,1
05007,146,155,3,1
05008,52,153,6,1
05010,293,275,7,11
05012,366,182,5,6
05013,294,1165,21,8
05014,1403,6003,356,19
05015,195,159,4,1
05016,2886,4673,430,4
05017,99,109,3,0
05018,138,101,1,0
05019,25061,33411,2871,123
05021,882,2278,151,6
05022,889,2159,133,3
05023,62,155,3,1
05024,384,579,9,27
05025,254,185,3,1
05026,94,143,5,1
05027,142,234,5,1
05029,57,105,3,1
05030,72,80,1,4
05033,178,180,6,0
05034,14,16,1,1
05035,75,236,7,3
05036,71,147,2,1
05037,614,696,13,7
05038,282,330,12,1
05039,118,69,5,0
05040,192,99,4,0
05041,537,1595,28,5
05042,58,111,5,1
05043,48,96,3,0
05044,290,465,7,4
05045,50,87,3,1
05046,15,28,1,0
05047,1696,4653,244,6
05048,45,110,4,0
05049,153,361,7,2
05051,318,263,4,1
05052,128,154,3,1
05053,394,147,2,6
05054,678,1950,55,1
05055,220,1023,12,7
05056,56,79,1,2
05057,625,2921,83,4
05058,181,170,4,2
05059,139,133,4,15
05060,52,88,2,2
05061,235,293,18,7
05062,102,163,6,0
05063,139,53,1,0
05064,38,85,4,0
05065,179,380,13,1
05066,102,672,18,5
05067,149,111,3,0
05069,57,54,4,1
05070,18,30,3,1
05072,30,73,4,2
05073,121,310,10,1
05074,185,555,27,1
05075,102,188,5,1
05076,337,359,8,2
05077,54,114,4,0
05078,52,119,3,1
05079,486,186,6,5
05080,158,151,1,1
05081,147,70,2,1
05082,195,792,17,4
05083,299,160,7,1
05084,266,187,1,4
05085,159,83,2,1
05086,74,90,4,2
05087,83,122,8,2
05088,87,55,4,3
05089,219,617,18,3
05090,49,108,2,1
05092,114,157,5,0
05093,255,1448,14,7
05094,155,171,5,1
05095,121,495,12,1
05096,234,155,3,0
05097,497,655,9,2
05099,120,389,10,1
05100,130,399,10,5
05101,302,467,17,1
05102,488,2254,54,9
05103,152,128,4,3
05104,84,50,2,1
05105,158,374,21,1
05106,100,65,3,3
05107,245,154,4,0
05108,260,171,2,0
05109,108,294,9,2
05110,305,948,28,2
05112,448,267,4,37
05113,180,193,6,1
05114,290,1018,35,3
05115,253,2448,46,1
05116,215,162,3,2
05117,67,167,6,2
05118,118,157,5,1
05119,145,103,5,0
05120,108,55,1,1
05121,166,244,10,1
05122,265,275,6,0
05123,176,136,4,1
05124,271,321,2,2
05125,95,84,2,1
05126,172,148,2,1
05127,315,1047,29,32
05128,162,440,13,1
05129,295,185,6,1
05130,187,138,3,1
05131,230,217,4,2
05132,232,1110,37,2
05133,82,111,5,1
05134,15,70,2,1
05135,592,525,19,2
05136,223,200,7,1
05138,389,306,8,0
05139,105,83,5,1
05140,28,52,3,0
05141,147,95,4,0
05142,76,118,5,0
05143,263,193,5,4
05144,209,185,6,1
05145,245,109,5,1
05147,174,192,10,0
05148,178,160,3,1
05149,85,112,3,0
05151,279,209,5,1
05152,252,494,25,2
05153,376,285,3,0
05154,97,90,5,1
05155,151,127,4,2
05156,66,697,8,3
05157,307,643,6,2
05158,542,730,9,2
05159,582,327,2,6
05160,355,522,5,4
05161,288,1510,36,5
05162,208,237,5,3
05163,957,3731,78,12
05164,97,94,2,1
05165,190,548,23,2
05166,429,491,11,0
05167,223,538,9,3
05168,1899,4597,160,16
05169,388,431,7,0
05170,266,194,5,2
05171,257,135,2,1
05172,158,177,5,4
05173,92,130,1,2
05174,43,82,3,1
05175,145,173,7,1
05176,360,302,9,2
05177,77,182,3,2
05178,84,295,14,11
05179,115,234,11,2
05180,68,75,4,1
05181,110,185,2,1
05182,406,1420,28,12
05183,68,143,8,1
05184,267,714,21,3
05185,169,182,5,1
05186,1167,1944,139,2
05187,734,2488,99,9
05188,161,103,2,9
05189,161,733,10,1
05190,78,67,2,1
05191,275,232,4,3
05192,303,282,8,0
05193,103,277,10,2
05194,77,129,4,4
05195,574,345,6,0
05196,53,69,7,0
05197,103,70,3,0
05198,77,113,4,0
05199,156,136,2,1
05200,114,82,2,3
05201,369,749,15,5
05204,174,626,21,1
05205,203,92,3,0
05206,92,68,3,0
05207,151,913,12,0
05208,31,59,4,1
05209,139,162,2,2
05210,109,121,5,3
05211,390,620,8,2
05212,441,528,14,3
05213,227,199,3,2
05214,186,122,1,1
05215,292,298,6,12
05216,233,306,9,2
05217,136,149,3,1
05218,181,293,3,1
05219,37,61,3,1
05220,181,404,35,2
05221,116,538,19,10
05222,198,444,5,4
05224,161,96,5,1
05225,313,453,15,4
05226,398,195,3,1
05227,230,1260,29,5
05228,453,209,2,1
05229,76,104,1,2
05230,82,92,6,2
05231,46,131,3,1
05232,166,134,7,8
05233,278,559,11,1
05234,65,38,3,2
05235,45,124,2,0
05236,613,524,10,12
05237,288,237,8,11
05238,833,921,29,1
05239,224,344,68,3
05240,1320,4359,314,21
05241,1295,4442,146,3
05242,82,326,9,1
05243,443,205,6,0
05244,219,133,7,0
05245,234,318,3,1
05246,213,164,5,1
05247,1010,494,19,9
05249,365,268,6,3
05251,442,304,2,4
05252,170,88,4,1
05253,72,124,3,1
05254,107,215,7,3
05256,115,149,3,1
05257,166,292,5,3
05258,46,184,5,1
05259,58,98,3,2
05260,264,286,5,1
05261,76,83,3,0
05262,110,475,9,1
05263,233,338,4,2
05264,65,65,5,0
05265,103,80,3,1
05266,276,212,2,4
05267,220,249,6,1
05901,538,619,14,4
05902,211,366,8,4
05903,341,415,4,2
05904,647,655,14,58
05905,214,510,9,0
06001,56,449,12,1
06002,1147,2188,88,3
06003,202,687,12,1
06004,131,1004,45,1
06005,134,801,29,3
06006,483,3322,108,10
06007,190,1042,48,2
06008,49,412,12,2
06009,39,207,8,7
06010,105,728,28,4
06011,7173,16171,926,7
06012,478,1605,72,4
06013,81,190,9,1
06014,962,4854,209,9
06015,34647,71345,6468,173
06016,245,2150,75,1
06017,92,174,10,1
06018,87,835,21,5
06019,424,1488,48,5
06020,249,1112,32,1
06021,168,670,23,3
06022,405,1957,62,1
06023,523,3189,96,31
06024,250,942,28,0
06025,434,2313,86,2
06026,100,648,20,1
06027,82,432,33,1
06028,755,3003,102,2
06029,207,863,29,1
06030,64,178,7,3
06031,5,320,32,0
06032,15,46,3,1
06033,335,1148,24,1
06034,93,210,9,6
06035,558,1124,29,1
06036,809,4366,134,5
06037,191,972,38,2
06038,121,578,20,1
06039,425,1362,34,6
06040,121,518,24,1
06041,72,241,6,1
06042,186,663,14,1
06043,75,662,12,2
06044,8858,18993,1385,13
06045,103,322,12,1
06046,89,713,16,3
06047,141,540,7,2
06048,461,752,19,3
06049,227,916,52,1
06050,555,2775,170,3
06051,418,1326,29,1
06052,674,2409,136,1
06053,84,499,19,8
06054,1471,3088,218,4
06055,259,1470,39,3
06056,140,420,10,1
06057,201,490,14,2
06058,190,1197,39,2
06059,406,1528,48,4
06060,697,3223,158,2
06061,115,838,14,2
06062,164,571,13,1
06063,995,2267,72,2
06064,152,867,10,2
06065,85,285,12,1
06066,302,1072,41,1
06067,259,1422,62,3
06068,70,297,13,1
06069,319,2123,81,6
06070,899,4902,237,5
06071,37,166,14,2
06072,212,1281,42,2
06073,138,516,20,1
06074,750,2847,179,8
06075,217,579,11,1
06076,111,699,16,2
06077,82,355,18,1
06078,145,403,12,1
06079,67,338,10,1
06080,203,1225,42,2
06081,353,889,19,2
06082,35,214,8,2
06083,11608,26974,2389,37
06084,142,660,13,2
06085,519,2303,97,5
06086,244,954,32,4
06087,501,1690,77,1
06088,1508,7993,446,8
06089,123,388,17,1
06090,137,563,14,2
06091,705,2816,74,5
06092,120,444,13,3
06093,411,2912,103,2
06094,362,946,30,1
06095,1053,5585,208,4
06096,112,247,5,0
06097,513,1950,49,3
06098,79,296,10,0
06099,149,647,28,2
06100,353,1174,21,1
06101,69,406,11,2
06102,350,1010,21,2
06103,338,2618,96,2
06104,134,455,14,2
06105,277,692,23,2
06106,118,286,12,1
06107,198,1001,30,4
06108,154,1623,47,4
06109,312,2604,56,3
06110,51,193,7,6
06111,51,268,8,4
06112,133,424,15,1
06113,661,1744,86,2
06114,88,139,7,1
06115,96,861,23,1
06116,278,1134,41,2
06117,188,1147,28,1
06118,127,235,4,2
06119,83,372,20,1
06120,453,1796,62,2
06121,807,1959,108,5
06122,1007,4049,154,1
06123,1143,3012,145,3
06124,246,1202,33,1
06125,640,1639,38,3
06126,272,1232,36,3
06127,719,2240,55,2
06128,609,2264,125,24
06129,81,359,9,1
06130,124,249,10,2
06131,95,681,25,1
06132,63,554,11,1
06133,293,837,43,1
06134,128,362,13,1
06135,138,649,13,13
06136,293,1015,30,2
06137,346,949,37,0
06138,125,682,14,2
06139,125,513,16,2
06140,95,474,11,1
06141,366,1294,33,1
06142,63,239,5,1
06143,330,1607,90,2
06144,118,509,16,4
06145,141,629,16,2
06146,107,1217,16,1
06147,102,352,8,2
06148,202,600,28,1
06149,1929,5836,313,2
06150,171,605,22,2
06151,136,729,18,3
06152,298,736,28,0
06153,3991,12862,843,24
06154,225,1562,52,2
06155,210,1223,37,1
06156,72,764,30,3
06157,205,595,9,1
06158,2889,7783,679,19
06159,464,1411,52,2
06160,402,2382,68,3
06161,132,525,15,4
06162,449,1802,44,2
06901,232,1272,37,1
06902,66,867,21,0
06903,N/A - resultado no disponible,N/A - resultado no disponible,N/A - resultado no disponible,N/A - resultado no disponible
07001,693,2847,99,35
07002,2367,6413,592,64
07003,2985,11623,3975,132
07004,556,1640,47,14
07005,3748,8990,1170,331
07006,1163,5212,241,15
07007,108,594,27,7
07008,937,2552,200,72
07009,59,427,13,1
07010,462,3154,85,2
07011,12040,32346,9781,124
07012,240,1486,21,0
07013,2647,6128,238,83
07014,2318,7761,864,242
07015,5274,16480,2899,126
07016,752,1907,79,13
07017,88,836,8,1
07018,40,743,19,1
07019,33,147,19,3
07020,434,2209,93,4
07021,94,346,18,3
07022,2784,9419,922,238
07023,803,2126,185,57
07024,765,5567,663,26
07025,54,603,12,6
07026,14059,23079,5067,34
07027,6750,14214,1268,58
07028,85,743,16,1
07029,563,2140,98,8
07030,191,1344,15,11
07031,4906,17261,1127,113
07032,6059,13569,1599,203
07033,10689,25131,2852,1490
07034,116,580,17,3
07035,310,1055,27,1
07036,3256,12388,644,77
07037,1256,6846,350,31
07038,176,1040,20,2
07039,988,3591,415,38
07040,102445,171527,30257,1331
07041,336,1597,31,4
07042,2935,9343,1604,99
07043,847,1976,78,3
07044,1778,5189,230,38
07045,123,763,30,0
07046,3164,10953,1747,46
07047,154,895,20,1
07048,2810,12641,3053,386
07049,361,1306,21,2
07050,242,3490,291,41
07051,1493,4340,1390,85
07052,1006,4503,416,47
07053,137,832,10,22
07054,5473,16010,1946,839
07055,2179,7283,622,62
07056,1107,3275,124,103
07057,1814,14436,1544,385
07058,492,2514,63,6
07059,1930,4058,240,34
07060,611,2248,79,24
07061,1968,6081,371,10
07062,2231,6532,1626,44
07063,341,1292,78,10
07064,1528,4184,251,83
07065,426,1274,40,23
07901,93,509,8,0
07902,200,1046,69,14
08001,1185,4997,465,7
08002,12,53,5,2
08003,1011,3728,273,2
08004,28,217,7,1
08005,369,3192,186,25
08006,2508,7710,758,28
08007,1234,4150,152,71
08008,21,149,15,0
08009,1141,4662,269,13
08010,829,2382,102,14
08011,310,976,30,17
08012,290,990,43,3
08013,245,779,50,19
08014,423,1222,80,7
08015,41575,84784,8287,141
08016,537,1459,101,5
08017,577,1494,86,7
08018,497,1557,69,41
08019,357395,669304,72268,1263
08020,619,2645,106,49
08021,25,60,3,0
08022,4921,8194,942,34
08023,338,4060,157,26
08024,54,284,16,3
08025,161,1132,31,3
08026,6,103,17,1
08027,63,340,30,6
08028,45,1085,11,1
08029,559,2010,91,7
08030,274,2959,158,6
08031,697,1821,114,8
08032,412,1734,158,3
08033,2129,6849,493,39
08034,73,524,12,1
08035,4475,9868,1458,6
08036,10,104,9,1
08037,473,924,48,1
08038,497,812,27,3
08039,12,252,7,6
08040,3492,7128,507,5
08041,2164,5868,791,6
08042,55,1352,16,10
08043,157,2691,37,3
08044,1057,2670,168,1
08045,4,49,8,0
08046,3999,6907,572,91
08047,681,1923,121,25
08048,78,417,15,2
08049,157,835,23,6
08050,2,105,14,1
08051,3430,9519,771,35
08052,22,230,16,3
08053,549,1992,89,3
08054,1499,4753,359,6
08055,97,438,12,10
08056,12248,26713,2488,80
08057,0,18,6,1
08058,252,1520,30,7
08059,16,87,10,1
08060,30,141,2,0
08061,346,1014,38,2
08062,34,596,22,1
08063,96,283,12,1
08064,387,1427,49,4
08065,335,698,30,4
08066,144,843,27,4
08067,1247,3519,183,22
08068,457,3833,211,23
08069,76,1864,53,1
08070,9,181,9,0
08071,52,184,17,1
08072,999,6152,300,263
08073,19298,34203,3565,78
08074,5989,10446,665,45
08075,280,2471,86,6
08076,3711,9437,661,250
08077,7669,17798,2151,258
08078,7,113,7,1
08079,57,275,8,5
08080,1,30,4,0
08081,8,234,21,3
08082,31,938,33,1
08083,224,836,28,5
08084,79,554,18,3
08085,100,442,16,1
08086,5186,7401,784,24
08087,11,88,5,2
08088,3321,6624,524,27
08089,8391,18971,1809,20
08090,23,102,8,0
08091,1277,3341,145,81
08092,730,2259,138,9
08093,0,36,3,0
08094,187,934,26,0
08095,10,103,8,0
08096,16451,24626,3482,98
08097,141,753,93,1
08098,133,1501,31,1
08099,125,613,43,1
08100,281,764,23,9
08101,43377,101368,11035,36
08102,12378,16534,2285,40
08103,130,399,22,0
08104,158,670,13,6
08105,2825,5156,604,0
08106,1418,3959,329,120
08107,673,5916,364,24
08108,523,2581,169,7
08109,14,202,4,1
08110,4423,9411,1126,14
08111,9,101,6,5
08112,3487,8522,594,79
08113,22805,32252,3583,60
08114,4761,10269,1326,11
08115,416,1917,126,6
08116,89,303,15,2
08117,417,1301,48,1
08118,4206,9623,542,2
08119,746,3993,174,47
08120,508,3076,117,1
08121,32931,49572,5969,199
08122,124,1747,25,2
08123,6205,10100,967,60
08124,10307,20302,3034,9
08125,6284,14097,1657,115
08126,2243,4646,280,6
08127,443,1491,99,7
08128,129,453,8,1
08129,18,321,2,1
08130,0,76,3,0
08131,160,540,19,3
08132,29,230,14,1
08133,44,118,9,0
08134,154,441,26,0
08135,1464,3316,450,53
08136,3504,6329,706,3
08137,26,202,21,0
08138,1212,2878,143,7
08139,33,232,7,1
08140,985,2600,86,7
08141,988,2749,158,5
08142,4,53,4,0
08143,755,1408,62,8
08144,141,470,17,0
08145,429,1717,87,7
08146,97,1055,25,2
08147,3800,9717,1001,482
