Codigo Municipio,Nº Vehiculos
05237,187
05238,756
05239,225
05240,3537
05241,3241
05242,657
05243,110
05244,34
05245,424
05246,36
05247,249
05249,101
05251,66
05252,79
05253,124
05254,266
05256,136
05257,152
05258,123
05259,198
05260,129
05261,23
05262,401
05263,170
05264,54
05265,102
05266,95
05267,68
05901,205
05902,412
05903,137
05904,117
05905,162
06001,770
06002,5098
06003,840
06004,1562
06005,1603
06006,3958
06007,1427
06008,518
06009,228
06010,1253
06011,23623
06012,3347
06013,195
06014,6144
06015,113705
06016,2852
06017,213
06018,568
06019,2061
06020,1609
06021,847
06022,2591
06023,3614
06024,976
06025,5124
06026,801
06027,544
06028,3801
06029,1241
06030,143
06031,470
06032,56
06033,1407
06034,197
06035,940
06036,5384
06037,1798
06038,785
06039,1663
06040,1050
06041,409
06042,920
06043,512
06044,26831
06045,579
06046,1185
06047,777
06048,551
06049,878
06050,3732
06051,1586
06052,3777
06053,576
06054,6169
06055,1989
06056,431
06057,363
06058,1842
06059,1683
06060,5476
06061,1015
06062,559
06063,2927
06064,756
06065,284
06066,1393
06067,1793
06068,487
06069,2815
06070,7634
06071,216
06072,2152
06073,610
06074,4135
06075,376
06076,862
06077,400
06078,543
06079,604
06080,2011
06081,1089
06082,365
06083,43045
06084,1149
06085,3090
06086,1122
06087,2189
06088,11316
06089,602
06090,855
06091,3809
06092,618
06093,4369
06094,1347
06095,8215
06096,224
06097,2414
06098,568
06099,905
06100,676
06101,542
06102,982
06103,4470
06104,662
06105,638
06106,501
06107,1435
06108,2392
06109,4006
06110,116
06111,609
06112,316
06113,2834
06114,102
06115,1179
06116,1448
06117,1888
37279,785
06119,671
06120,3854
06121,3497
06122,7003
06123,4404
06124,1310
06125,1754
06126,2181
06127,2834
06128,4119
06129,602
06130,174
06131,1010
06132,817
06133,1701
06134,551
06135,1458
06136,1411
06137,1104
06138,1163
06139,563
06140,620
06141,1668
06142,205
06143,3435
06144,482
06145,1023
06146,1054
06147,252
06148,853
06149,10286
06150,543
06151,1047
06152,1459
06153,19439
06154,2251
06155,1775
06156,1100
06157,382
06158,12100
06159,2203
06160,2880
06161,303
06162,3033
06901,1694
06902,44
07001,4481
07002,8707
07003,15796
07004,4707
07005,11930
07006,7654
07007,620
07008,6570
07009,1209
07010,6188
07011,48291
07012,2394
07013,9741
07014,12013
07015,23681
07016,3086
07017,1142
07019,300
07020,4401
07021,445
07022,18586
07023,3459
07024,18401
07025,725
07026,46238
07027,24132
07028,1304
07029,4721
07030,2149
07031,30411
07033,38656
07034,1723
07035,2394
07036,31002
07037,5617
07038,8250
07039,6966
07041,2836
07042,15359
07043,5392
07044,11472
07045,1738
07046,22065
07047,2771
07048,26312
07049,2691
07050,5479
07051,8264
07052,6803
07053,1649
07054,33954
07055,10245
07056,5935
07057,15133
07058,3737
07059,5279
07060,3408
07061,13495
07062,11405
07063,1871
07064,7404
07065,2613
07901,882
07902,1190
08001,9567
08002,56894
08003,8376
08004,293
08005,7361
08006,10576
08007,6730
08008,255
08009,10011
08010,4455
08011,2304
08012,1894
08013,1625
08014,1950
08015,125059
08016,1774
08017,3453
08018,2872
08019,999572
08020,5099
08021,104
08022,12819
08023,7785
08024,569
08025,1653
08026,246
08027,16420
08028,1048
08029,5198
08030,5990
08031,2760
08032,2128
08033,12691
08034,925
08035,11362
08036,217
08037,2311
08038,1465
08039,437
08040,9006
08041,10996
08042,2474
08043,3249
08044,3797
08045,152
08046,12086
08047,4179
08048,751
08049,1733
08050,166
08051,18036
08052,198
08053,3088
08054,11682
08055,568
08056,40509
08057,92
08058,2137
08059,484
08060,211
08061,1603
08062,1044
08063,653
08064,1808
08065,1795
08066,1560
08067,5589
08068,8136
08069,3116
08070,334
08071,315
08072,11225
08073,47533
08074,9393
08075,4439
08076,16551
08077,30167
08078,385
08079,351
08080,56
08081,413
08082,1446
08083,1893
08084,1497
08085,1521
08086,14004
08087,291
08088,11427
08089,30196
08090,221
08091,4799
08092,4321
08093,55
08094,1699
08095,280
08096,40890
08097,1127
08098,2983
08099,837
08100,3140
08101,126465
08102,29618
08103,709
08104,1023
08105,7799
08106,7138
08107,12833
08108,7120
08109,259
08110,12458
08111,354
08112,14910
08113,51712
08114,20492
08115,4552
08116,709
08117,3010
08118,16846
08119,6222
08120,7287
08121,77299
08122,2085
08123,17116
08124,32605
08125,24070
08126,7978
08127,2145
08128,659
08129,532
08130,150
08131,723
08132,684
08133,243
08134,783
08135,6302
08136,11095
08137,467
08138,4421
08139,226
08140,5080
08141,4913
08142,184
08143,3230
08144,1185
08145,3876
08146,1555
08147,14637
08148,2764
08149,1165
08150,314
08151,668
08152,255
08153,669
08154,1083
08155,7350
08156,13262
08157,8590
08158,3654
08159,13975
08160,435
08161,11212
08162,2351
08163,18490
08164,992
08165,2189
08166,908
08167,6546
08168,594
08169,39777
08170,587
08171,2475
08172,17803
08174,523
08175,3735
08176,263
08177,77
08178,38081
08179,727
08180,23638
08181,8592
08182,2860
08183,4942
08184,49863
08185,227
08187,131795
08188,179
08189,1213
08190,394
08191,5489
08192,5923
08193,1126
08194,20067
08195,139
08196,17927
08197,8231
08198,4567
08199,997
08200,50829
08201,541
08202,11480
08203,2920
08204,3219
08205,53771
08206,972
08207,1970
08208,6752
08209,7409
08210,4493
08211,26726
08212,659
08213,7188
08214,7250
08215,2711
08216,49
08217,21108
08218,8364
08219,13829
08220,2589
08221,13202
08222,1885
08223,1927
08224,795
08225,204
08226,1013
08227,3013
08228,367
08229,635
08230,8355
08231,21376
08232,2065
08233,2121
08234,3696
08235,3686
08236,1720
08237,1771
08238,15110
08239,629
08240,9091
08241,129
08242,273
08243,264
08244,5883
08245,57508
08246,2260
08247,985
08248,6261
08249,380
08250,7396
08251,5480
08252,23452
08253,210
08254,2209
08255,215
08256,699
08257,273
08258,960
08259,6962
08260,20682
08261,2705
08262,5940
08263,19474
08264,4581
08265,1791
08266,39461
08267,6629
08268,1239
08269,2956
08270,19126
08271,107
08272,245
08273,2994
08274,4742
08275,391
08276,385
08277,626
08278,5399
08279,139516
08280,226
08281,5592
08282,6044
08283,6439
08284,12787
08285,10714
08286,3295
08287,1470
08288,2026
08289,4572
08290,1469
08291,5182
08292,1149
08293,281
08294,2366
08295,11277
08296,1981
08297,180
08298,28853
08299,438
08300,6468
08301,41918
08302,9168
08303,450
08304,1208
08305,26539
08306,587
08307,45485
08308,256
08901,376
08902,3970
08903,176
08904,8102
08905,1569
09001,26
09003,261
09006,75
09007,64
09009,243
09010,37
09011,70
09012,157
09013,56
09014,222
09016,102
09017,128
09018,23363
09019,201
09020,321
09021,66
09022,92
09023,949
09024,153
09025,197
09026,328
09027,35
09029,180
09030,526
09032,126
09033,81
09034,331
09035,336
09036,40
09037,98
09038,185
09039,98
09041,27
09043,196
09044,73
09045,346
09046,29
09047,48
09048,1410
09050,91
09051,173
09052,42
09054,180
09055,46
09056,4857
09057,130
09058,351
09059,104422
09060,165
09061,201
09062,24
09063,308
09064,368
09065,155
09066,44
09067,448
09068,26
09070,53
09071,64
09072,275
09073,1030
09074,782
09075,135
09076,33
09077,31
09078,67
09079,60
09082,62
09083,52
09084,221
09085,564
09086,627
09088,91
09090,48
09091,884
09093,155
09094,60
09095,100
09098,539
09100,55
09101,102
09102,35
09103,211
09104,43
09105,95
09108,413
09109,1432
09110,107
09112,128
09113,555
09114,95
09115,103
09117,97
09119,54
09120,53
09122,91
09123,27
09124,1613
09125,642
09127,54
09128,113
09129,76
09130,92
09131,569
09132,168
09133,36
09134,262
09135,50
09136,236
09137,184
09138,102
09139,117
09140,179
09141,782
09143,25
09144,70
09148,81
09149,31
09151,496
09152,392
09154,144
09155,37
09159,83
09160,73
09162,114
09163,682
09164,192
09166,97
09167,54
09168,317
09169,124
09170,207
09172,95
09173,126
09174,887
09175,178
09176,80
09177,1161
09178,50
09179,40
09180,212
09181,327
09182,94
09183,37
09184,10
09189,138
09190,103
09191,26
09192,56
09194,2278
09195,50
09196,163
09197,216
09198,138
09199,115
09200,42
09201,30
09202,53
09206,65
09208,264
09209,4854
09211,1640
09213,409
09214,823
09215,421
09216,464
09217,420
09218,479
09219,22686
09220,85
09221,468
09223,45
09224,206
09225,60
09226,58
09227,216
09228,182
09229,233
09230,59
09231,75
09232,154
09235,186
09236,33
09238,765
09239,58
09241,225
09242,100
09243,95
09244,51
09246,672
09247,29
09248,55
09249,63
09250,269
09251,424
09253,100
09255,50
09256,487
09257,141
09258,176
09259,231
09261,495
09262,193
09265,49
09266,98
09267,125
09268,105
09269,30
09270,153
09272,287
09273,47
09274,906
09275,297
09276,505
09277,131
09279,234
09280,28
09281,171
09283,57
09287,208
09288,77
09289,1548
09292,69
09294,110
09295,79
09297,364
09298,96
09301,915
09302,100
09303,63
09304,197
09306,134
09307,109
09308,56
09309,477
09310,20
09311,77
09312,168
09314,107
09315,386
09316,177
09317,26
09318,51
09321,1786
09323,75
09325,239
09326,216
09327,33
09328,72
09329,153
09330,1613
09332,155
09334,54
09335,50
09337,127
09338,240
09339,189
09340,57
09343,96
09345,112
09346,90
09347,168
09348,169
09350,668
09351,65
09352,111
09353,106
09354,49
09355,70
09356,58
09358,240
09360,31
09361,131
09362,247
09363,1161
09365,46
09366,91
09368,31
09369,546
09372,246
09373,542
09374,94
09375,47
09377,639
09378,31
09380,73
09381,15
09382,45
09384,444
09386,80
09387,119
09388,36
09389,92
09390,571
09391,534
09392,42
09394,921
09395,105
09396,168
09398,106
09400,313
09403,110
09405,129
09406,263
09407,17
09408,60
09409,126
09410,3339
09411,237
09412,947
09413,577
09414,187
09415,290
09416,56
09417,56
09418,81
09419,92
09421,254
09422,34
09423,38
09424,47
09425,707
09427,1512
09428,158
09429,63
09430,24
09431,128
09432,179
09433,61
09434,2200
09437,336
09438,608
09439,1171
09440,79
09441,93
09442,470
09443,163
09444,104
09445,49
09446,17
09447,23
09448,315
09449,144
09450,21
09451,258
09454,53
09455,48
09456,242
09458,685
09460,186
09463,196
09464,48
09466,125
09467,84
09471,182
09472,68
09473,118
09476,102
09478,29
09480,104
09482,36
09483,214
09485,64
09901,434
09902,461
09903,3464
09904,540
09905,410
09906,1312
09907,1479
09908,688
10001,252
10002,344
10003,509
10004,739
10005,461
10006,1152
10007,559
10008,1185
10009,288
10010,2162
10011,544
10012,489
10013,285
10014,1939
10015,598
10016,357
10017,718
10018,1467
10019,1800
10020,1725
10021,4359
10022,418
10023,13607
10024,560
10025,360
10026,539
10027,61
10028,89
10029,392
10030,449
10031,157
10032,1522
10033,435
10034,319
10035,1832
10036,281
10037,69218
10038,56
10039,310
10040,432
10041,983
10042,75
10043,826
10044,1541
10045,1063
10046,189
10047,945
10048,274
10049,3621
10050,1050
10051,390
10052,147
10053,289
10054,509
10055,655
10056,441
10057,159
10058,1130
10059,349
10060,1155
10061,1472
10062,373
10063,146
10064,1387
10066,182
10067,9843
10068,778
10069,868
10070,846
10071,175
10072,914
10073,864
10075,322
10076,1015
10077,631
10078,369
10079,895
10080,325
10081,172
10082,1538
10083,98
10084,1184
10085,262
10086,346
10087,1773
10088,212
10089,1348
10090,542
10091,311
10092,375
10093,346
10094,270
10095,277
10096,2802
10097,105
10098,304
10099,657
10100,755
10101,158
10102,609
10103,513
10104,5519
10105,2693
10106,91
10107,951
10108,200
10109,1935
10110,2546
10111,1658
10112,1643
10113,2088
10114,950
10115,3400
