Codigo Municipio,Superficie (Ha) Agricolas,Nº Explotaciones Agrícolas
12003,5105.440000000001,393.0
04005,2704.899999999999,204.0
18003,5393.399999999999,224.0
18004,1442.4499999999996,252.0
17004,602.5899999999998,33.0
46012,422.29999999999995,113.0
46013,530.84,195.0
02005,3525.7100000000014,187.0
50012,302.17999999999995,
05005,1403.4599999999996,61.0
04006,6875.589999999998,711.0
30004,812.1899999999999,116.0
06005,1837.29,55.0
46014,228.58999999999997,158.0
06006,55958.62999999993,611.0
18005,482.40999999999997,71.0
18006,1851.6799999999987,789.0
18007,3290.6200000000003,315.0
45004,733.07,
02006,6003.560000000001,131.0
44011,4636.759999999999,12.0
50013,881.5900000000001,54.0
41004,22927.469999999994,323.0
22014,6270.31,59.0
28005,1808.82,41.0
50014,493.64,52.0
12004,4213.8499999999985,805.0
44012,6588.9400000000005,61.0
16008,508.59,27.0
11001,23355.58000000001,300.0
02007,12862.28,327.0
22015,4558.5199999999995,106.0
41005,7598.099999999998,315.0
11002,4479.93,394.0
23002,18663.100000000013,2958.0
03006,435.8000000000001,146.0
22016,4259.910000000001,238.0
26007,2401.91,147.0
43004,1764.3300000000008,407.0
25010,1602.6999999999996,87.0
10008,31319.440000000002,290.0
30005,249.67999999999995,95.0
46016,203.83999999999997,137.0
16009,1840.4599999999998,17.0
14003,11927.039999999995,385.0
02008,26687.940000000013,412.0
25011,10319.34000000001,614.0
46015,584.3000000000001,310.0
29002,2593.139999999999,333.0
23003,18560.399999999994,2302.0
45006,12435.45,228.0
13005,56202.699999999975,1689.0
16010,4400.830000000001,95.0
47005,3767.120000000001,75.0
30902,711.26,50.0
49003,3283.1599999999994,70.0
44013,29950.31,715.0
45005,1239.1,42.0
13006,11658.239999999998,218.0
28006,644.23,11.0
19009,3655.1,88.0
03007,93.74,27.0
09010,648.41,9.0
16011,849.5799999999999,26.0
04007,2428.58,169.0
13007,5020.880000000001,219.0
22017,5548.27,184.0
45007,5747.920000000002,220.0
19010,478.38999999999993,13.0
19011,5169.94,58.0
41006,3339.3,210.0
03008,383.99000000000007,93.0
25012,794.95,105.0
10009,5949.929999999999,66.0
42006,4833.95,69.0
37012,1667.5600000000002,32.0
40005,1320.14,29.0
06007,23707.840000000004,257.0
50015,3389.5700000000006,27.0
16012,3790.05,49.0
06008,2396.64,114.0
04008,3717.6999999999994,141.0
12005,2043.3900000000006,296.0
28007,414.74,16.0
44014,7554.560000000003,410.0
19013,3061.4900000000002,25.0
43005,1993.7799999999993,384.0
03009,3920.7000000000007,193.0
22018,4884.239999999996,93.0
42007,4015.5999999999995,71.0
49004,1074.5500000000002,54.0
42008,3235.13,33.0
13008,4858.729999999999,232.0
46018,1158.8299999999997,189.0
07003,2678.2799999999997,135.0
46019,1562.5,870.0
46020,258.06999999999994,81.0
04009,214.3,25.0
12006,743.6100000000001,67.0
10010,10381.63,392.0
46021,384.99000000000007,164.0
43904,1341.3999999999992,267.0
40012,1857.259999999999,94.0
47006,1155.37,26.0
35020,2688.7000000000003,332.0
10012,2702.7,64.0
28008,3565.1500000000005,35.0
37015,2925.2300000000005,44.0
10013,2211.8499999999995,37.0
13009,13124.660000000002,419.0
45008,2063.6499999999996,39.0
10011,9942.189999999997,126.0
37013,3060.89,65.0
37014,2069.3399999999992,285.0
42009,3857.99,54.0
40006,694.8800000000001,7.0
37016,456.06000000000006,32.0
40007,1373.28,24.0
40008,1982.0799999999997,23.0
42010,579.72,10.0
42011,272.56,7.0
42012,733.88,19.0
47007,1843.8000000000002,78.0
45009,5004.039999999999,326.0
26008,2893.609999999999,284.0
37017,4368.000000000003,86.0
19015,1091.53,39.0
45010,3285.56,126.0
05007,493.5,37.0
40009,1059.7,25.0
37018,1367.28,20.0
10014,5782.139999999999,192.0
10015,1935.65,69.0
40010,2132.93,69.0
23004,8227.67,137.0
37019,803.0300000000001,25.0
37020,2659.0500000000006,80.0
05008,2129.6800000000003,66.0
37021,1552.0099999999998,46.0
37022,2376.599999999999,87.0
40013,998.5799999999999,33.0
37023,2909.29,37.0
37024,571.1800000000001,15.0
40014,960.07,26.0
05010,1417.5199999999998,51.0
10016,724.7100000000002,39.0
50016,1070.06,27.0
42013,1443.1400000000003,22.0
37026,3724.209999999998,71.0
37025,6732.519999999997,52.0
40015,1358.45,15.0
42014,4162.150000000001,33.0
18010,2056.9899999999993,72.0
40016,1696.3899999999996,32.0
43006,1428.91,272.0
30006,1107.7400000000002,253.0
20005,311.4200000000001,48.0
01001,1124.3399999999997,35.0
43007,1233.6199999999997,221.0
08003,222.72,33.0
42015,1944.1299999999999,38.0
22019,694.6800000000001,20.0
26009,1276.4999999999995,97.0
26010,349.43999999999994,33.0
18011,746.53,107.0
46022,595.8799999999999,138.0
03010,396.64999999999986,84.0
50017,10291.06,137.0
44016,8424.09,162.0
50018,7840.640000000001,337.0
22020,685.75,30.0
46024,327.09999999999997,94.0
43008,2882.33,54.0
46025,100.39999999999999,62.0
49005,6520.9400000000005,78.0
29003,2320.95,175.0
29004,942.9999999999998,126.0
26011,12713.980000000003,728.0
46026,1193.5300000000007,317.0
25013,886.7899999999995,96.0
46027,384.41,85.0
03011,289.01000000000005,141.0
46023,238.71999999999994,162.0
25014,3079.3800000000006,106.0
12007,553.0699999999999,189.0
43009,1076.8199999999993,244.0
50019,552.7,
27002,3279.3000000000006,491.0
09011,2385.960000000001,26.0
39001,2772.8300000000004,182.0
09907,3049.12,61.0
09012,3023.94,26.0
41007,990.1600000000001,140.0
24002,984.8500000000001,58.0
07004,4030.470000000001,304.0
41008,1279.8199999999995,232.0
11003,2503.6200000000003,42.0
19016,529.66,13.0
46028,330.22,115.0
18012,5837.750000000004,1097.0
16013,1781.72,24.0
29005,409.17,202.0
29006,913.05,56.0
11004,2046.2100000000003,64.0
46029,3207.1599999999985,2062.0
25015,3824.349999999999,170.0
28009,2938.3599999999997,25.0
46030,614.6600000000002,152.0
12008,429.4800000000001,100.0
46031,1595.500000000001,1053.0
11005,9973.109999999999,565.0
49006,1287.9799999999993,40.0
19017,1234.28,32.0
03012,998.5200000000001,49.0
25016,4694.599999999997,333.0
30007,780.18,252.0
03013,977.1100000000001,77.0
04010,318.40999999999997,38.0
04011,646.8800000000002,172.0
50020,774.0700000000002,35.0
18013,29815.97,1288.0
30008,11222.410000000007,1147.0
13010,45982.17000000002,1006.0
29007,2006.75,313.0
29008,1481.369999999999,687.0
18014,2168.149999999999,139.0
19018,358.34999999999997,18.0
10017,34065.09,624.0
44017,15374.039999999999,78.0
16014,5517.07,298.0
03014,3476.930000000001,413.0
04012,46.24999999999999,30.0
18015,1392.9099999999999,39.0
24003,2131.3299999999995,125.0
25017,15523.189999999999,57.0
43010,608.61,62.0
19019,7.1,3.0
10018,7326.1,125.0
42016,1219.78,17.0
21002,512.1800000000001,68.0
06009,1099.58,21.0
20006,357.46000000000004,55.0
33001,8219.270000000004,479.0
32001,1258.4199999999994,277.0
44021,4359.4400000000005,54.0
33002,27015.9,894.0
31011,3823.6099999999997,116.0
31012,3136.5000000000005,118.0
44022,6066.61,239.0
44023,163.74,
25019,3755.1799999999985,271.0
29009,488.66,249.0
13011,19789.06,198.0
41009,11707.62,211.0
13012,4869.93,36.0
19020,1204.2500000000002,18.0
13013,21113.830000000013,646.0
42017,863.8700000000001,26.0
42018,8577.930000000002,64.0
02009,32517.369999999988,429.0
24004,15103.829999999998,138.0
10019,2522.04,30.0
49007,3463.7999999999993,64.0
16015,4982.52,114.0
29010,2342.8199999999997,165.0
42019,7688.749999999998,92.0
26012,2513.92,7.0
46032,180.99999999999997,83.0
25020,1925.5700000000008,143.0
42020,8297.089999999995,138.0
12009,1478.1199999999997,999.0
42021,5241.009999999999,59.0
12010,343.26,119.0
13014,4448.720000000002,211.0
14004,4719.3,696.0
18016,1786.9699999999996,185.0
49008,6136.76,89.0
25021,5941.950000000001,481.0
42022,6908.8600000000015,98.0
12011,1551.7900000000009,548.0
47008,941.8000000000001,20.0
37027,1713.7699999999993,36.0
37028,2300.2599999999998,25.0
06010,6895.719999999999,208.0
45011,3179.779999999999,203.0
06011,15168.229999999996,594.0
21003,8888.5,98.0
16016,6284.259999999999,90.0
41010,594.99,55.0
04013,3901.13,1537.0
46033,241.43999999999997,90.0
50021,1615.7599999999998,11.0
04014,3152.01,25.0
13015,88877.41000000006,1350.0
16017,5780.61,76.0
14005,11844.420000000002,194.0
29011,9373.380000000008,625.0
19021,5915.670000000002,138.0
44018,2490.9900000000002,6.0
10020,7329.49,354.0
46034,178.18,104.0
50022,9772.539999999997,166.0
45012,7815.970000000001,237.0
19022,1811.4199999999996,41.0
50023,4385.610000000002,83.0
50024,3489.93,259.0
16018,3833.1700000000005,120.0
21004,12685.250000000002,258.0
21005,25320.230000000003,1032.0
03015,3038.1300000000006,409.0
45013,3542.229999999998,170.0
43011,140.62000000000006,33.0
03016,234.83,63.0
22021,16485.39999999999,401.0
50025,3785.55,430.0
22022,3309.7599999999993,108.0
22023,3186.2599999999984,131.0
13016,3082.33,68.0
46035,236.95000000000002,152.0
18017,4001.2599999999957,1040.0
44019,2360.48,16.0
19023,125.74000000000001,16.0
48912,528.69,55.0
29012,7693.340000000015,1282.0
25022,1052.99,48.0
21006,16310.949999999999,183.0
19024,1084.3600000000001,38.0
29013,2809.53,393.0
17006,4492.42,15.0
29014,1029.77,39.0
42023,4386.760000000001,45.0
50026,2036.4399999999991,204.0
28010,445.19,13.0
08004,734.7,10.0
02010,13563.039999999994,298.0
44020,2658.15,14.0
25023,1308.6100000000001,120.0
46036,11236.98,337.0
18904,4410.81,125.0
03017,73.2,16.0
46037,77.74000000000001,67.0
12901,915.2999999999998,493.0
22024,1153.2299999999998,78.0
18018,122.24000000000001,23.0
04015,978.54,24.0
25024,12078.34,57.0
09013,755.3499999999999,18.0
43012,204.01,32.0
16019,7973.610000000001,90.0
03018,691.19,539.0
22025,3072.839999999999,223.0
09014,6075.16,63.0
31010,2033.3899999999999,45.0
12012,8660.720000000001,800.0
20906,157.42000000000004,24.0
20007,364.55999999999995,57.0
19027,2482.8199999999997,41.0
46017,8186.399999999999,2615.0
05012,1120.6499999999999,40.0
34009,974.83,
50027,4073.710000000001,138.0
28011,1061.43,23.0
17007,470.22999999999996,65.0
15002,2279.069999999996,543.0
31013,7947.099999999999,85.0
43013,2798.8999999999987,493.0
08005,442.17,29.0
09016,542.1800000000001,14.0
20008,1457.4599999999987,148.0
33003,6037.18,232.0
32002,728.4999999999998,192.0
48003,2135.4699999999925,474.0
48004,535.9499999999998,109.0
43906,1971.8899999999999,411.0
43014,14566.279999999997,945.0
34010,9008.550000000005,90.0
39002,1502.2599999999998,110.0
01002,5568.5,381.0
34011,6171.250000000004,73.0
47009,1725.9599999999991,46.0
44024,1405.52,7.0
40017,1570.2900000000004,37.0
37029,3578.609999999999,51.0
28012,1344.6799999999998,36.0
13017,11244.69,257.0
31014,601.3699999999999,30.0
49009,2317.2800000000007,80.0
46038,10839.76,217.0
20009,1554.0099999999993,174.0
44025,9565.32,292.0
31015,5223.589999999998,198.0
07005,2068.669999999999,138.0
23005,50805.04,1367.0
50028,1016.7899999999998,33.0
17008,405.7300000000001,28.0
25027,4283.999999999999,170.0
19031,561.0799999999999,3.0
26013,428.4700000000001,25.0
22027,3636.8500000000013,88.0
26014,8435.700000000003,29.0
19032,9258.34,36.0
09017,1015.1399999999999,44.0
39003,1435.4599999999998,67.0
50029,4332.04,204.0
46039,1210.53,436.0
20010,226.36000000000004,46.0
19033,409.16999999999996,6.0
19034,1216.5700000000002,12.0
22028,26122.119999999995,33.0
31016,72.55000000000001,5.0
04016,4057.6199999999994,273.0
27003,4554.219999999999,558.0
46040,935.8300000000002,330.0
29015,59723.910000000025,2430.0
35003,627.2099999999998,76.0
24005,4817.670000000002,123.0
34012,6922.830000000003,83.0
22029,2140.010000000001,64.0
20011,1042.2099999999994,115.0
31017,5394.29,67.0
31019,1429.8600000000001,12.0
37031,2191.159999999999,86.0
21007,14144.789999999997,403.0
38004,119.59,82.0
22032,6483.12,16.0
41011,16018.000000000005,758.0
40019,979.7500000000001,13.0
31020,3431.77,108.0
48005,18.580000000000002,8.0
31025,3054.3199999999993,88.0
20012,135.15,21.0
01003,2055.7999999999965,191.0
31021,573.1199999999999,12.0
42024,3816.2300000000005,58.0
09018,5413.43,427.0
50031,2212.7700000000004,47.0
50032,1676.74,112.0
09019,2358.3300000000004,33.0
16020,1145.28,19.0
15003,4455.010000000001,519.0
31023,3812.7900000000013,72.0
28013,9902.300000000003,259.0
31024,1098.64,19.0
31022,1786.4199999999998,126.0
48006,122.00999999999996,35.0
19036,1520.33,26.0
37032,2205.1899999999996,55.0
31026,949.8500000000001,58.0
46041,1360.1899999999998,187.0
09020,5311.51,49.0
09021,898.53,12.0
09022,979.02,21.0
12013,52.17,9.0
19037,426.17999999999995,20.0
25029,4938.470000000003,645.0
19038,131.23,
31027,1339.41,25.0
36001,448.2999999999999,215.0
04017,2213.3599999999988,332.0
43015,244.33,28.0
43016,724.5000000000002,78.0
17009,1934.05,49.0
16905,6100.870000000001,61.0
31028,12971.63,69.0
37033,843.4800000000005,35.0
49010,786.14,42.0
30009,514.3000000000002,357.0
29016,205.48000000000005,89.0
29017,12944.910000000013,1043.0
45015,2486.7800000000007,54.0
37034,522.32,25.0
34015,1714.63,22.0
40020,2118.7,26.0
09023,3147.8400000000006,68.0
31029,3198.5099999999998,157.0
42025,16854.88,168.0
11006,40869.99999999999,798.0
49011,1055.4299999999994,56.0
16022,2678.41,43.0
44026,9932.71,18.0
29018,4455.400000000001,298.0
50033,796.1700000000002,26.0
24006,1969.6699999999998,122.0
48093,107.23,42.0
31030,1745.4,79.0
22035,7535.730000000001,121.0
05013,4017.369999999999,246.0
13903,1711.1099999999997,101.0
29019,1384.9799999999998,276.0
39004,8014.679999999999,215.0
13018,4730.580000000002,281.0
05014,12964.24,279.0
18020,4476.309999999999,356.0
42026,3256.44,15.0
09024,2505.4299999999994,36.0
44027,1236.26,93.0
08006,43.48000000000001,25.0
08007,233.4,58.0
26015,473.4800000000001,82.0
26016,351.08000000000004,24.0
15004,87.74000000000001,32.0
12014,8864.019999999999,114.0
31031,537.1600000000001,35.0
20013,1042.979999999999,117.0
05015,523.64,16.0
40021,327.01000000000005,15.0
05016,4965.029999999999,114.0
42027,3522.3799999999997,34.0
13019,33706.620000000024,877.0
13020,9160.64,342.0
28014,2468.8599999999983,229.0
24007,1076.9700000000003,188.0
22036,884.32,36.0
49012,1138.8200000000002,16.0
19039,2307.2999999999997,79.0
17010,199.32000000000002,16.0
12015,112.99,26.0
44028,5533.83,73.0
43017,140.19000000000003,24.0
08009,137.15,44.0
08008,4425.090000000001,104.0
45016,1209.1599999999999,59.0
39005,344.77000000000004,19.0
31032,4492.110000000001,70.0
22037,2347.1299999999997,21.0
16024,323.46000000000004,22.0
49013,2157.5499999999993,91.0
31033,811.59,15.0
07901,1355.9200000000003,117.0
31034,475.99999999999994,6.0
38005,1729.4499999999998,216.0
09025,158.5,4.0
50034,4789.4400000000005,73.0
44029,774.69,48.0
23006,12041.750000000004,1202.0
23007,4722.200000000001,601.0
09026,1985.6000000000004,41.0
19040,246.93,
31035,588.5399999999998,30.0
17011,339.68000000000006,34.0
37035,2838.2500000000005,50.0
18021,87.13000000000001,19.0
01006,859.3199999999999,19.0
40022,3466.170000000003,72.0
04018,214.44000000000008,38.0
19041,1230.7600000000002,22.0
26017,3779.61,41.0
26018,5203.730000000002,461.0
43018,1563.1299999999999,94.0
32003,133.86,91.0
39006,1316.9099999999994,134.0
21008,23309.640000000007,532.0
38006,1057.0400000000002,280.0
49014,1705.93,50.0
23008,4926.579999999999,298.0
49015,891.5200000000002,64.0
01037,3045.3800000000006,107.0
16025,936.6600000000001,15.0
48009,254.58,69.0
20055,1470.8599999999972,187.0
48914,362.9899999999999,83.0
09027,652.7200000000001,14.0
01008,1656.5699999999988,64.0
35004,234.33999999999995,27.0
39007,4271.74,121.0
25031,865.77,6.0
29020,416.19,118.0
48010,488.6400000000001,109.0
48011,345.92999999999995,64.0
13021,5665.919999999998,272.0
31036,4714.3,218.0
06012,3988.8000000000006,166.0
10021,9120.859999999999,190.0
19042,211.78,2.0
23905,3421.2100000000005,421.0
10023,9061.519999999995,314.0
28015,346.13,6.0
21009,7403.7199999999975,289.0
10022,1300.4799999999998,169.0
31037,499.39,9.0
26019,280.61,32.0
25032,92.18,4.0
07006,7786.369999999999,323.0
31038,5445.620000000002,188.0
12016,1493.6500000000003,338.0
31039,242.75000000000003,39.0
48023,622.83,63.0
15005,2182.15,471.0
35005,3388.92,34.0
08010,2030.2299999999996,67.0
25033,1352.4700000000003,148.0
25034,17352.060000000012,588.0
50035,1307.4299999999998,13.0
48008,2100.3999999999996,181.0
01004,1149.5999999999997,99.0
35006,766.8000000000002,284.0
15006,10173.440000000024,1238.0
43019,2671.93,338.0
50036,1185.6599999999999,15.0
25036,823.6099999999999,53.0
49016,3431.490000000001,80.0
01009,2033.5099999999989,90.0
03019,2445.229999999999,435.0
20014,1194.869999999999,166.0
20903,537.1099999999996,132.0
39008,256.22999999999996,22.0
24008,955.48,50.0
34017,9441.929999999998,117.0
49017,3104.869999999999,25.0
29021,599.4099999999999,42.0
06013,1621.9199999999996,40.0
37037,2109.6599999999994,48.0
16026,2633.12,38.0
19043,2241.7699999999995,99.0
09029,2293.6299999999997,33.0
47011,4241.300000000001,91.0
18022,1913.8800000000003,166.0
20015,1896.0899999999974,174.0
28016,408.3,4.0
50037,1426.1,101.0
50038,4950.970000000001,158.0
31040,708.0099999999999,23.0
19044,3204.97,49.0
