Codigo Municipio,Nº edificios,Nº Inmuebles
25012,897.0,1557.0
10009,319.0,329.0
42006,133.0,141.0
37012,121.0,125.0
40005,79.0,82.0
06007,1089.0,1153.0
50015,209.0,212.0
16012,163.0,176.0
06008,397.0,404.0
04008,365.0,381.0
12005,2930.0,6748.0
28007,5267.0,72475.0
44014,1280.0,2341.0
19013,237.0,268.0
43005,1615.0,2543.0
03009,6197.0,38064.0
22018,277.0,303.0
42007,272.0,282.0
42008,205.0,207.0
49004,162.0,166.0
13008,434.0,446.0
46018,779.0,952.0
07003,4964.0,11637.0
46020,1237.0,2716.0
04009,211.0,238.0
12006,260.0,273.0
46019,2779.0,5638.0
10010,1563.0,1825.0
46021,2900.0,15783.0
47006,132.0,132.0
35020,2965.0,3683.0
10012,522.0,585.0
28008,1585.0,1987.0
37015,285.0,301.0
10013,442.0,498.0
13009,1295.0,1559.0
45008,243.0,257.0
40012,305.0,329.0
43904,1135.0,1894.0
10011,657.0,674.0
37013,142.0,145.0
37014,929.0,1001.0
42009,86.0,86.0
40006,79.0,86.0
37016,355.0,463.0
40007,178.0,185.0
40008,107.0,109.0
42010,34.0,34.0
42011,29.0,30.0
42012,91.0,91.0
47007,2882.0,2908.0
45009,869.0,914.0
26008,1273.0,1519.0
37017,272.0,277.0
19015,191.0,198.0
40009,168.0,176.0
37018,107.0,111.0
10014,1244.0,2268.0
45010,493.0,556.0
05007,153.0,161.0
10015,637.0,751.0
40010,161.0,168.0
23004,489.0,507.0
37019,125.0,130.0
37020,452.0,456.0
05008,151.0,154.0
37021,89.0,93.0
37022,215.0,219.0
40013,89.0,94.0
37023,675.0,983.0
37024,117.0,122.0
40014,144.0,145.0
10016,187.0,226.0
37025,176.0,191.0
50016,86.0,90.0
42013,37.0,38.0
37026,237.0,241.0
40015,115.0,123.0
05010,245.0,249.0
42014,114.0,114.0
18010,676.0,740.0
40016,64.0,66.0
43006,470.0,529.0
30006,717.0,738.0
20005,170.0,835.0
01001,667.0,1346.0
43007,551.0,642.0
08003,2635.0,3879.0
42015,67.0,67.0
22019,99.0,103.0
26009,520.0,627.0
26010,91.0,92.0
18011,2374.0,3066.0
46022,2078.0,10357.0
03010,298.0,355.0
50017,1139.0,1258.0
44016,450.0,541.0
50018,643.0,712.0
22020,120.0,122.0
43008,229.0,234.0
46024,349.0,397.0
46025,669.0,2092.0
49005,165.0,165.0
29003,687.0,752.0
29004,285.0,295.0
26011,2580.0,5809.0
46026,823.0,1066.0
25013,763.0,1548.0
46027,479.0,663.0
03011,5034.0,12676.0
46023,236.0,246.0
25014,180.0,196.0
12007,406.0,548.0
43009,984.0,1182.0
50019,120.0,124.0
27002,1044.0,1163.0
