Codigo Municipio,Nº de Jubilados,Nº de Estudiantes
24003,315,80
25017,85,40
43010,80,55
19019,15,*
10018,495,245
42016,*,*
21002,1870,5215
06009,60,30
20006,55,85
33001,770,140
32001,1580,990
44021,35,10
33002,4170,1330
31011,200,140
31012,295,145
44022,230,80
44023,*,*
25019,1180,1185
29009,460,330
13011,1635,920
41009,330,280
13012,135,70
19020,15,*
13013,1695,1785
42017,45,35
42018,85,10
02009,4695,4955
24004,230,40
10019,295,240
49007,135,40
16015,155,70
29010,480,325
42019,170,80
26012,10,*
46032,1260,1445
25020,150,20
42020,1205,1120
12009,3465,4720
42021,35,*
12010,110,30
13014,200,95
14004,660,395
18016,130,40
49008,235,45
25021,895,550
42022,95,15
12011,1240,1115
47008,10,*
37027,60,35
37028,95,*
06010,335,205
45011,155,45
06011,4970,6665
21003,190,130
16016,110,25
41010,695,1405
04013,29655,41140
46033,75,40
50021,20,*
04014,65,15
13015,1800,965
16017,145,45
14005,1490,1645
29011,980,700
19021,310,265
44018,*,*
10020,485,310
46034,435,475
50022,190,65
50023,95,45
50024,245,105
45012,270,95
19022,175,130
16018,165,65
21004,510,260
21005,3275,4435
03015,3140,4025
45013,605,450
43011,180,350
03016,60,15
22021,585,400
50025,1320,1455
22022,190,85
22023,140,75
18017,5805,4900
13016,180,160
46035,1270,1635
44019,35,*
19023,20,30
48912,705,445
29012,3070,2330
25022,55,10
21006,995,685
19024,785,3185
29013,570,365
17006,230,310
29014,90,15
42023,35,*
50026,185,90
28010,1485,3410
08004,60,60
44020,10,*
02010,625,425
25023,770,1540
46036,260,90
18904,410,150
03017,95,90
46037,335,290
12901,960,800
22024,75,20
18018,215,115
04015,45,10
25024,85,50
09013,25,*
43012,730,1065
16019,115,20
03018,4595,3980
22025,395,230
09014,75,15
31010,1465,1300
12012,805,620
20906,30,35
20007,55,110
19027,70,20
46017,8685,8480
05012,90,15
34009,10,*
50027,105,20
28011,130,75
17007,590,330
15002,3530,6075
31013,235,120
43013,1670,1365
08005,995,1945
09016,15,10
20008,205,135
33003,370,105
32002,845,235
48003,3800,3330
48004,95,80
43906,720,510
43014,3670,4155
34010,160,75
39002,990,690
01002,1955,1655
34011,135,30
47009,50,10
44024,*,*
40017,40,20
37029,90,15
28012,155,180
13017,115,15
31014,85,55
49009,175,50
46038,100,45
20009,3090,2390
44025,1825,1435
31015,555,650
07005,2000,2115
23005,7245,7680
50028,40,15
17008,1180,1200
25027,320,220
19031,15,*
26013,90,70
22027,80,50
26014,200,25
19032,95,20
09017,45,10
39003,130,45
50029,300,85
46039,655,465
20010,300,375
19033,50,*
19034,15,*
22028,150,45
31016,1545,2520
04016,760,665
27003,935,190
46040,365,170
29015,6915,8795
35003,1460,1895
24005,230,20
34012,110,35
22029,45,20
20011,405,440
31017,90,70
01049,50,15
40018,65,*
50030,70,10
14006,355,265
31018,95,90
45014,800,975
37030,35,10
31019,435,550
37031,180,45
21007,1410,1590
38004,1015,1130
22032,40,10
41011,3210,3955
40019,25,*
31020,140,85
48005,20,25
31025,230,150
20012,45,40
01003,325,315
31021,20,10
42024,35,*
09018,6220,6300
50031,70,15
50032,190,35
09019,50,25
16020,10,*
15003,890,150
31023,655,2320
28013,8070,11320
31024,20,20
31022,170,90
48006,80,70
19036,135,80
12013,75,5
37032,145,100
31026,85,15
46041,135,40
09020,135,40
09021,25,10
09022,40,5
19037,45,5
25029,595,410
19038,25,*
31027,235,220
36001,1180,375
43016,810,1140
04017,2150,360
43015,45,*
17009,1105,1420
16905,80,360
31028,70,30
37033,35,15
49010,75,55
30009,3085,3780
29016,175,70
29017,1655,1665
45015,160,125
37034,35,15
34015,15,0
40020,90,25
09023,135,300
42025,450,220
11006,4595,6865
49011,80,30
16022,50,*
44026,25,15
31029,380,115
29018,595,465
50033,30,*
24006,245,80
48093,255,290
31030,60,25
22035,115,50
05013,400,130
13903,200,130
29019,355,240
39004,555,170
13018,265,135
05014,1530,1115
18020,495,295
42026,10,*
09024,60,25
44027,70,35
08006,2915,2535
08007,1415,1825
26015,95,35
26016,20,*
15004,1380,885
12014,65,25
31031,80,45
20013,1540,1215
05015,45,10
40021,15,*
05016,1395,1445
42027,35,10
13019,1385,1315
13020,1270,1045
28014,5495,10225
24007,300,75
49012,40,*
22036,55,*
19039,40,*
17010,105,85
12015,45,*
08008,40,35
44028,85,25
43017,40,20
08009,1925,2625
45016,375,1435
39005,370,320
31032,580,375
22037,35,5
16024,30,10
49013,155,25
31033,30,*
07901,255,120
31034,15,5
38005,1730,1245
09025,55,15
44029,280,135
50034,345,190
23006,1195,1150
23007,770,730
09026,105,45
19040,40,*
31035,35,*
17011,185,160
37035,90,55
18021,2700,5100
01006,35,40
40022,70,25
04018,90,50
19041,40,50
26017,140,95
26018,2660,2765
43018,180,55
32003,315,110
39006,585,295
21008,825,640
38006,10180,13045
49014,55,*
23008,420,340
49015,145,15
01037,160,95
16025,15,*
48009,200,180
20055,5095,3530
48914,95,55
01008,175,160
09027,15,*
35004,5860,11400
39007,190,45
25031,*,*
29020,715,905
48010,110,105
48011,2095,2460
13021,190,35
31036,310,155
47010,770,3320
10021,1525,1065
19042,10,*
06012,695,805
23905,455,430
10023,265,170
28015,1065,5770
10022,175,50
21009,265,145
31037,30,15
26019,125,65
25032,15,10
07006,1640,1495
31038,360,305
12016,495,300
31039,15,25
48023,190,140
15005,4675,5410
35005,250,95
08010,1095,1040
25033,325,345
25034,770,770
50035,25,10
48008,195,105
01004,285,360
35006,5835,7545
15006,1955,880
43019,355,290
50036,50,*
25036,80,30
49016,95,25
01009,360,305
03019,3455,4400
20014,270,295
20903,580,1020
39008,2905,3030
24008,2785,1850
34017,285,110
49017,140,25
29021,45,25
06013,85,50
16026,45,10
37037,70,*
19043,40,*
09029,50,25
47011,185,75
18022,2255,3495
20015,400,305
28016,25,25
50037,75,15
50038,540,335
31040,50,45
19044,105,70
48091,290,250
46003,300,220
12001,455,175
48070,200,115
19045,95,10
31058,65,45
26020,190,135
42028,10,10
09030,50,15
34018,80,20
34019,50,10
26021,790,695
05017,35,10
05018,25,*
25037,155,45
09032,45,10
08011,495,415
05019,10160,12295
33004,18990,12220
08012,495,385
17012,180,385
08013,320,345
32004,1070,135
01010,445,545
21010,3520,4185
31041,280,415
22039,310,180
40024,375,305
02011,390,30
12017,80,10
49018,195,15
46044,1215,1030
34020,30,*
31042,830,715
44031,50,10
22040,55,15
22041,65,25
20017,2400,2300
22042,45,25
41012,630,940
41013,1135,1200
26022,100,*
20018,2700,2755
06014,1770,1375
50039,205,45
12018,130,60
31043,30,*
19046,3265,6980
45017,70,40
37038,215,125
04019,70,30
06015,23005,30825
08015,40160,38795
26023,215,50
44032,10,*
08904,2675,2460
41014,530,720
50040,50,*
22043,45,*
14007,3555,4210
23009,2685,3320
08016,575,355
44033,170,35
50041,10,*
47012,85,5
09033,60,*
19047,10,15
23010,2720,4610
22044,90,45
36003,2375,2055
25039,90,50
31044,95,50
48012,475,400
25040,2910,3225
02012,475,455
09034,115,20
24009,200,25
50042,*,*
22045,50,15
27004,620,130
08017,625,740
20904,25,20
02014,125,55
13022,150,45
22046,285,140
48090,1720,1265
03020,45,25
02013,60,25
08018,840,420
34022,350,165
32005,455,75
22047,35,60
32006,890,130
07007,115,70
03021,1510,1495
43020,450,680
17015,3120,3970
15007,1535,355
26024,110,25
24010,2480,1795
37039,120,40
44034,85,10
01011,90,45
23011,580,500
32007,825,155
10024,220,140
26026,360,240
26025,35,5
19048,*,*
09035,140,35
19049,5,*
09036,5,*
34024,20,*
16027,295,135
48013,22220,14825
27901,1055,255
31901,3110,4220
42029,75,10
31045,110,145
32008,1745,2145
37040,120,35
09037,50,*
09038,50,10
09039,55,*
37041,45,*
31046,20,*
22048,3505,2980
11007,4475,4575
25041,165,130
43021,135,95
08252,4710,5675
50043,80,45
40025,65,40
22049,30,15
22050,45,10
42030,50,*
22051,45,5
06016,855,730
08019,352630,258605
34025,25,*
39009,770,690
39010,205,60
37042,15,*
16029,40,10
47013,40,15
49019,100,40
45018,50,190
05021,605,460
32009,3290,2420
42031,*,*
50044,90,35
39011,475,365
45019,1270,1870
31047,145,30
31048,60,25
24011,135,*
38007,525,300
25042,60,50
12020,50,30
44035,55,15
05022,515,280
10025,150,50
02015,320,395
27005,1130,330
48014,180,285
09041,*,*
19050,*,*
09043,95,10
09044,10,*
24012,105,25
11008,3340,5120
36002,865,600
05023,70,25
37044,195,90
34027,580,130
47014,15,5
01013,155,180
46046,330,180
46045,420,250
31049,185,140
40026,25,50
48015,10670,6035
17016,220,190
09045,100,20
34028,55,10
09046,20,*
16030,15,*
25044,*,*
37045,15,*
43022,585,330
06017,110,45
28017,150,330
25045,35,*
04020,95,35
04021,90,30
42032,85,10
42033,25,*
18023,3680,4505
31050,1695,1185
44036,10,*
32010,180,40
16031,25,*
32011,525,75
21011,890,855
18024,240,165
18025,105,70
23012,1125,1095
20019,2775,2685
05024,140,*
05025,45,10
44037,160,90
27006,1015,290
34029,290,90
28018,710,1240
47015,105,35
04022,450,85
48092,175,155
23902,725,450
23014,690,655
27007,1325,350
08020,700,1705
17013,890,715
31137,75,25
31051,95,45
04023,55,10
20020,40,25
37046,3625,2095
12022,135,40
14008,960,575
31052,20,30
20021,50,50
09047,15,*
50045,405,230
37047,60,10
46047,170,125
25046,170,90
16032,85,55
25170,105,50
17018,135,115
25047,340,210
25048,490,460
43023,90,65
25049,45,40
44039,120,35
08021,55,*
25050,780,960
46048,815,850
46049,110,60
43024,355,490
25051,425,340
25052,545,330
14009,980,560
23015,610,265
16033,570,335
34031,10,*
50046,95,30
33005,755,85
44038,65,10
28019,260,245
16034,90,25
09048,515,305
22052,365,220
49020,140,30
45020,585,260
10026,195,70
24014,2815,1525
22053,260,170
41015,1035,1550
29022,85,35
47016,45,*
12024,45,15
12025,75,10
46050,50,20
46051,2010,2025
04024,510,905
29023,980,1110
29024,115,85
29025,10815,11685
18027,590,765
18028,400,175
11901,945,1655
29026,445,195
18029,680,455
14010,955,1025
29027,595,510
11009,150,115
29028,290,260
29029,135,85
12026,375,195
03022,75,10
22054,195,390
23016,185,75
25053,230,350
49021,3305,3950
24015,885,335
46052,160,85
49022,120,35
03023,460,295
46053,150,115
03024,1035,1015
46054,2735,2635
03025,360,340
03026,425,390
03027,70,30
46055,350,400
03028,395,220
46056,50,*
12027,4640,5195
12028,2510,3755
46057,130,85
46904,215,170
03030,415,170
03031,12700,10830
30010,1460,2205
46060,2430,2235
46059,410,365
46058,430,365
43025,280,100
03032,30,10
03033,65,35
46061,55,105
46062,1110,1260
03029,215,70
03034,1250,485
03035,300,80
03036,25,30
03037,125,60
03038,145,45
03039,35,10
03040,140,60
46063,435,415
46064,140,125
46065,305,380
46066,285,365
46067,415,465
03041,3260,1755
43026,320,210
46068,80,80
46069,55,20
03042,2150,405
04026,50,*
04027,100,20
12029,310,145
10027,35,*
06018,305,120
04028,70,35
24016,225,30
31250,665,605
48016,1080,1585
01014,120,65
22246,35,*
20022,195,225
42034,15,*
22055,125,60
09050,30,*
31053,205,105
26027,75,10
47017,65,15
47018,10,10
18030,225,135
40028,45,*
05026,110,20
24017,255,60
24018,80,15
40029,25,*
50047,20,*
08022,3865,2740
20074,3835,2465
26028,50,*
26029,25,*
44040,75,45
15008,1885,1040
31905,550,890
04029,2200,3100
05027,85,50
06019,560,380
42035,335,110
24019,175,50
09051,85,15
37049,95,*
48017,4255,2935
49023,415,135
40030,170,60
01016,150,85
19051,40,*
40031,90,140
05029,50,10
48018,250,175
31902,415,1245
31903,1120,2050
48019,885,905
20023,110,105
21012,130,30
37050,55,*
37051,35,15
10028,70,*
05030,15,*
47019,40,*
50048,15,*
28021,125,125
31054,135,85
10029,170,55
09052,15,*
28020,40,55
34032,20,*
17019,565,455
17020,775,1000
35007,140,125
15009,3060,2155
31055,70,75
46070,2580,5240
16035,105,35
12021,1110,1120
17021,25,35
26030,*,*
44041,15,15
03043,770,590
46071,170,85
31253,25,20
20024,70,110
50901,85,10
22057,110,105
02016,220,115
06020,520,440
22058,80,15
22059,290,230
03044,1210,1455
08023,1205,1930
50050,40,*
48020,80330,57460
33006,700,155
22060,355,260
22061,1980,1695
07008,1250,1680
25055,70,*
50051,320,150
22062,55,15
43027,80,35
43028,725,645
17022,1765,2205
22063,65,30
50052,50,*
17234,55,40
31056,55,25
42036,25,*
30011,1315,1225
43029,115,75
44042,60,20
32012,440,85
17023,7480,7475
05033,60,30
05034,10,*
05035,45,15
14011,180,175
22064,65,25
44043,55,*
42037,20,*
37052,100,25
34033,5,*
17029,55,30
34035,45,15
34034,45,5
28022,3965,14040
33007,770,150
28023,740,1750
26031,40,25
47020,95,25
32013,1255,250
24020,200,30
46072,960,745
40032,95,185
47021,30,*
47022,30,*
19052,20,*
37054,120,30
06021,275,175
47023,365,1000
37055,45,15
02017,450,105
05036,55,10
10030,275,40
05037,160,35
15010,845,200
15011,3915,3265
32014,595,115
13023,2205,2280
47024,100,30
46073,330,250
41016,1090,2390
21013,2900,3075
32015,610,90
22066,205,170
03045,145,35
17024,85,75
22067,15,20
21014,1005,1250
43030,105,110
02018,255,235
16036,65,15
05038,65,5
02019,685,540
46074,555,615
24021,575,235
15012,1260,760
50053,240,130
22068,25,10
50054,25,*
25057,45,30
17025,300,330
44044,60,5
29030,265,170
25058,1325,1060
43031,360,415
50055,890,885
42038,20,*
41017,2115,5460
11010,1460,1680
42039,140,15
45021,530,660
17026,130,125
08024,160,90
24022,180,*
12032,6370,7150
12031,725,1010
11011,370,400
25059,155,205
43032,255,100
43033,150,240
10031,70,25
50056,130,55
37056,30,*
27008,660,145
49024,230,80
37057,85,25
25056,115,20
09054,35,*
05039,20,*
43034,140,115
47025,55,10
34036,110,15
28024,35,45
09055,25,10
13024,310,120
24023,90,30
50057,530,260
28025,135,70
17027,855,695
41018,1985,2695
38008,1260,1395
38009,815,1020
49025,110,*
49026,110,15
40033,10,15
26032,15,*
19053,665,335
49027,100,10
49028,70,5
37058,30,*
26033,50,60
15013,1670,1200
26034,185,105
09056,1185,1565
44045,125,60
22069,100,75
10032,580,310
08025,270,470
08026,35,65
28026,905,2480
17028,105,55
42041,25,*
50058,25,*
18032,65,40
16038,35,*
19054,80,25
16039,210,65
16040,35,*
37059,45,15
45022,160,70
37060,50,35
34037,140,35
38010,1140,695
16041,125,50
44046,30,*
36004,2705,2185
46075,55,25
46076,250,110
09057,10,15
07009,285,180
42042,15,10
28027,290,385
14012,1545,1410
19055,20,*
50059,280,200
05040,45,*
50060,75,15
30012,2150,2560
09058,45,110
07010,1295,1405
46077,2175,1830
31057,570,350
44047,80,15
27902,1655,1555
50061,90,30
49029,230,75
50062,315,425
42043,1000,960
24024,315,80
29031,435,255
05041,375,190
09059,35275,33475
31059,80,30
41019,685,1515
45023,275,715
06022,710,480
46078,6845,7200
31060,3105,3490
24025,145,50
45024,320,270
03046,985,490
18033,70,55
19057,30,*
28028,300,360
50063,35,10
47026,15,15
34038,115,30
49030,30,15
24026,595,110
34039,30,*
09060,90,10
31061,35,*
48021,430,260
43035,80,50
37061,110,25
40034,25,20
15014,1730,535
25060,30,*
15015,905,500
17031,60,25
12033,755,555
17030,175,165
31062,330,285
28029,125,125
19058,810,2655
08027,150,200
50064,180,70
45025,245,345
40035,45,30
49031,70,15
45026,90,35
10033,220,45
24027,310,165
09061,75,15
37063,35,*
06023,1285,830
37065,170,35
06024,435,235
10034,170,55
37062,40,*
45027,170,25
13025,120,35
13026,215,55
05042,65,15
41020,2675,3530
05043,35,*
05044,130,25
21015,245,115
26035,10,*
39012,1485,1555
09062,25,10
39013,220,70
47027,375,735
47028,10,*
40036,170,110
10035,605,340
05045,25,10
25061,30,*
50065,20,*
14013,4085,4110
44048,20,*
43036,230,235
23017,500,415
33008,845,225
33009,430,85
31063,60,*
42044,20,15
42045,145,25
08028,220,220
08029,670,1065
28030,405,500
37067,415,1155
10036,155,55
47029,30,10
24028,175,40
24029,360,75
37068,165,35
08030,840,1915
39014,320,120
24030,1400,840
10037,14875,19935
10038,45,10
18034,225,100
10039,195,45
28031,525,540
17032,475,630
18035,450,270
11012,25855,21580
31064,440,325
50066,435,650
18036,595,1255
21016,330,180
40037,15,*
44049,325,170
08031,730,620
43037,4135,4350
26036,4585,4700
34041,55,5
18114,220,100
44050,1040,840
06025,1100,1090
44051,890,635
21017,1095,585
30013,2500,1930
42046,15,10
50067,4145,3660
50068,700,485
50069,35,*
36005,2160,1585
22072,70,30
08034,200,165
17033,1290,1540
08033,2965,3140
08032,520,490
08035,3575,3225
06026,265,195
45028,940,770
09064,170,65
45029,110,35
18037,125,120
12034,460,380
08037,390,470
46079,145,70
03049,3285,3640
03048,1195,1480
08038,340,345
50070,30,*
44052,50,*
17034,2290,2095
08036,55,40
