Codigo Municipio,Nº de Jubilados,Nº de Estudiantes
05054,360,250
22081,100,20
09077,15,*
09078,15,*
31068,870,715
44064,40,*
31069,315,170
43041,90,30
05055,260,105
10059,175,40
37091,80,15
46089,605,515
40045,40,40
33015,740,135
50074,2005,1650
19074,25,15
17044,1610,1785
08049,475,185
03053,2685,1660
10060,345,155
26043,145,40
39019,435,390
21022,45,25
18044,100,15
16067,40,35
31070,795,965
50075,50,*
19075,35,10
50076,40,*
22083,210,45
22084,65,150
44065,25,*
50077,105,15
22082,95,50
44066,55,10
22085,45,*
12037,*,*
03054,175,45
03075,55,30
08057,*,*
25904,90,20
07064,1375,1490
09079,15,10
37092,130,320
37185,115,80
05056,45,10
23025,655,600
11013,480,675
19076,40,*
25064,30,40
08052,20,*
13033,565,320
08050,20,45
08051,3575,5255
44070,25,*
08053,720,680
08054,1650,3030
08055,85,165
25067,260,110
08056,8095,12430
08058,440,400
17046,270,150
08060,55,15
08059,100,95
12038,85,25
08061,390,410
08062,185,225
25068,190,100
12039,320,165
25069,165,60
46090,420,475
17047,2050,2230
08063,115,125
12040,30420,33865
46091,30,20
44071,270,105
17048,2105,1475
25070,350,160
08064,480,460
43042,265,765
08065,370,350
08066,235,365
44067,60,20
44068,220,135
46092,120,20
22086,50,50
22087,10,15
09083,10,*
34048,20,10
06035,435,120
41027,1020,910
09082,15,*
24042,35,5
19078,25,*
42056,5,*
50078,140,15
22088,75,25
41028,235,915
41029,2425,3810
41030,150,115
18045,560,190
16068,65,20
37096,85,30
40046,30,20
42058,65,10
16070,15,*
45043,345,100
16072,70,15
41031,415,250
23026,1535,620
12041,55,*
16071,10,*
22089,110,30
31071,10,*
19079,*,*
42057,115,5
37097,20,*
34049,175,35
47037,65,25
32022,785,150
32021,505,105
18046,765,400
24043,60,*
34050,85,25
47038,40,10
49040,35,15
09084,100,*
24044,95,10
09085,170,115
34051,50,15
09088,25,*
34052,75,15
09086,130,135
09090,30,*
33016,4975,3390
47039,75,5
32023,525,120
04033,45,10
40047,25,5
27010,1790,510
14019,1705,1455
47040,30,5
24046,425,110
24047,435,55
47041,65,20
49041,150,40
09091,235,105
40048,20,*
47042,25,15
34053,75,30
47043,120,30
49042,125,30
47044,70,50
47045,295,100
24049,605,265
33017,1195,395
47046,55,20
40049,30,*
40051,20,*
24050,40,10
39020,4735,6470
27011,1030,350
49043,145,40
47047,100,20
26044,15,10
06036,1350,1155
46093,540,525
46094,4575,5625
12042,260,105
43043,580,965
36010,800,560
03055,1790,1640
02025,1930,2050
46095,230,85
12043,210,95
25071,25,*
09063,35,30
09093,25,20
45045,375,315
23027,185,125
41032,1150,985
23028,1690,1480
49044,30,*
24051,225,55
24052,70,15
45046,585,845
09094,25,*
05057,940,500
24053,255,45
10061,635,265
15022,2285,1125
10062,145,60
40052,35,15
45047,350,650
44074,105,110
15023,2165,1230
30017,3255,2970
47048,85,30
09095,40,10
44075,120,75
32024,2105,710
44076,875,400
17189,415,400
26045,*,*
17049,635,1245
31193,255,345
19080,45,5
19081,20,*
18047,780,1815
26046,455,355
28037,530,350
02026,245,195
32025,555,70
08067,1440,1445
19082,40,*
42059,10,*
37098,130,35
05058,40,*
42060,15,*
15024,1810,665
28038,1235,1280
08268,380,170
46096,70,85
08266,9405,10850
36011,750,100
15025,425,120
37099,60,*
49046,115,45
49047,55,*
37100,65,*
10063,80,25
40053,45,15
40054,30,25
09098,190,55
49048,95,*
44077,30,25
37101,120,10
45048,145,65
09100,30,*
21023,655,300
37102,195,40
27012,725,95
34055,110,35
08068,1250,1695
25072,1645,2300
28039,60,30
50079,115,25
45049,135,65
34056,725,345
16073,80,35
12044,255,95
26047,820,370
50080,10,*
25073,220,100
17050,180,220
47049,35,*
27013,1270,620
37103,215,85
15026,520,*
50081,250,90
51001,10610,19750
30018,1485,2395
34057,130,55
34058,100,10
37114,45,5
22094,40,20
05067,35,10
32029,280,50
27016,2930,1045
40065,200,110
28051,420,470
18059,805,1200
19103,120,25
06042,275,205
46107,665,485
46106,470,270
19104,10,*
46108,225,60
04036,105,35
12052,295,110
46109,1610,1580
22095,35,*
11015,11170,18805
23029,300,160
12053,660,480
16023,110,80
19106,25,*
13038,635,290
23030,375,285
19105,420,665
18061,410,235
22096,55,75
02029,695,750
28052,905,825
11016,2330,3685
50092,130,75
04037,640,290
46111,2085,3265
50093,55,10
12055,65,10
12056,110,60
24065,650,260
45056,465,940
21030,395,465
45057,65,45
46112,210,75
16081,20,15
18062,1440,3010
09101,25,*
26048,*,*
42061,95,25
28040,2380,4680
16074,30,*
30019,6160,7615
39021,180,70
19086,460,315
47050,510,950
42062,*,*
47051,75,55
42063,40,*
26049,50,25
18048,420,720
05059,40,5
09102,30,*
10064,605,255
37104,20,*
09103,105,20
09104,25,10
40055,15,*
39022,300,205
24054,205,50
24055,330,60
50082,45,*
50083,20,30
19087,10,*
12045,145,70
31072,1300,1660
37106,120,*
12046,100,15
31074,130,70
42064,35,5
31075,15,10
19088,35,10
45050,90,140
09105,40,*
19089,15,*
26050,40,10
42065,5,*
05060,55,10
34059,165,45
17051,65,45
47052,690,1875
24056,1055,445
13034,11905,16110
37107,3100,2085
07015,4395,5955
25074,50,30
31076,300,1280
50084,45,*
25075,20,30
26051,55,25
33018,1010,465
04034,40,5
45051,335,505
28041,465,1905
19090,70,*
45052,340,1285
34060,55,10
40056,30,*
49050,260,60
40057,450,340
37108,40,10
03056,2480,1845
50085,80,20
44080,110,45
40058,125,45
50086,95,45
06037,720,305
46097,290,135
47053,50,15
47054,250,100
19091,15,*
09108,65,65
18049,200,95
18050,455,390
19092,175,90
25076,65,25
29042,3980,4285
15027,570,250
17054,165,85
32026,990,380
05061,70,75
39023,1535,1635
25077,145,70
05062,80,30
10065,35,20
05063,30,*
40059,60,30
28046,880,1530
28047,7290,13175
34061,45,20
08069,520,1200
43045,35,25
08070,70,65
29043,835,630
37109,90,20
28043,1275,1410
28042,220,260
28045,5620,10665
28044,865,2355
18051,315,275
17055,55,30
33019,1340,400
22090,60,*
25163,40,35
29044,675,115
39024,560,230
29045,1305,535
25161,115,70
40060,30,10
09109,160,215
19095,*,*
19096,65,*
43046,45,15
03057,110,35
24057,565,245
34062,70,10
19097,15,*
11014,3240,4280
14020,140,50
10066,60,25
07016,550,870
43047,995,1515
41033,1185,1245
05064,30,15
45053,2165,1940
50087,10,*
09110,55,*
49052,100,20
19098,5,*
08071,70,70
44082,30,10
46098,715,555
08072,1795,3085
43048,285,190
24058,120,10
25078,280,270
47055,60,15
15028,445,275
17057,280,230
14021,57320,67985
06038,260,155
37110,35,5
34063,40,5
26052,80,10
19099,140,65
31077,1425,1520
26053,65,35
49053,370,150
27014,1520,370
10067,2330,2255
41034,4275,6190
41035,450,220
15029,2165,750
26054,185,25
08073,17355,15070
17056,435,475
43049,230,155
06039,510,400
41036,1085,905
28048,105,100
26055,15,5
45054,1395,1105
40061,35,*
13035,340,110
39025,2325,1960
47056,25,*
49054,345,95
41037,755,810
02027,135,55
06040,250,215
21024,160,90
32027,460,90
21025,1050,835
21026,80,45
31078,795,540
44084,20,10
12048,95,40
18053,805,320
29046,755,600
46099,340,95
18054,285,165
13036,345,105
24059,480,75
09112,50,5
15030,56560,38825
33020,3495,2305
39026,490,300
44085,30,*
42068,40,*
28049,12010,14745
27015,1925,465
07017,230,170
12049,125,90
50088,125,45
49055,50,10
46100,100,60
02028,40,25
36012,1320,540
42069,520,225
09113,190,75
36013,1155,205
12050,600,275
03058,1090,1400
13037,310,150
40902,70,*
36014,800,215
43050,670,555
24060,295,50
17058,60,40
05065,145,60
44086,185,70
03059,5055,5805
06041,100,95
37112,65,25
44087,35,*
17901,225,180
10068,265,135
24061,525,245
32028,820,105
50089,575,2395
44088,10,10
28050,360,1375
50090,60,15
08074,2385,2660
25079,120,60
42070,15,*
34066,30,*
24062,60,10
24063,205,35
47057,60,35
40062,35,*
19102,55,15
09114,25,10
49056,135,20
24064,415,270
44089,25,*
49057,65,10
09115,35,5
37113,145,70
42071,90,*
49058,135,35
44090,45,*
33021,1970,580
49059,50,*
40063,1950,1510
16078,9505,11650
47058,80,25
50091,25,*
45055,350,260
41903,1195,1870
44092,45,10
42073,50,*
09117,60,*
16079,25,*
29047,350,290
44093,30,20
40905,70,5
09119,20,*
29049,920,740
04035,2645,2665
29048,420,255
18912,525,315
05066,160,80
44094,60,5
12051,270,75
18056,1175,700
18057,860,1955
46105,5250,3900
15031,4880,5900
10069,300,105
21027,20,5
21028,155,55
21029,480,290
43051,2700,2525
36015,1635,570
47059,40,20
15032,1295,455
29050,235,60
26056,130,50
28053,670,2650
13039,3365,3735
46113,650,595
04038,735,795
17060,155,85
50094,560,330
26057,20,*
18063,260,330
17061,40,40
03061,550,365
03062,315,40
20029,1085,985
33022,420,170
34067,65,*
34068,10,*
18064,155,55
18066,545,440
10070,270,90
43901,2600,2165
03063,8150,7350
48901,1135,1100
10071,80,20
31079,40,5
24066,330,55
42075,60,*
07018,125,95
42076,120,30
31080,190,105
05903,85,10
18067,200,170
18068,365,430
48026,275,280
37115,65,20
15033,925,450
18069,200,90
03064,1465,1575
46114,160,120
40068,10,*
45058,185,60
06043,140,160
06044,5380,7870
31081,70,90
31221,270,350
40069,35,25
05069,35,5
20069,42485,32680
05070,15,*
14022,1190,1015
37116,40,*
37117,125,340
46115,140,30
41038,15880,29790
14023,530,455
45059,490,475
08075,655,1075
36016,520,95
19107,180,30
18070,60,55
34069,640,390
43053,65,30
15034,1135,500
48027,5335,5765
18071,1410,1715
19108,35,10
40070,45,25
42078,360,180
48028,235,125
31083,10,25
41039,6510,8695
31086,855,4535
20030,7150,4245
07026,5710,7850
50095,3180,3075
37118,55,10
04902,8425,18750
44096,90,35
48031,160,50
01021,60,130
02030,900,795
03065,36885,44700
01022,255,185
03066,10935,9910
20031,50,50
20033,215,165
20032,2625,1880
31087,45,45
46116,2110,4145
10072,380,90
48032,1625,1275
01023,105,55
19109,35,*
50096,25,*
46117,70,115
37120,35,15
37119,40,10
50098,105,35
40071,20,*
37121,135,65
37122,55,45
47060,100,25
14024,525,465
21031,455,175
37123,110,15
24067,300,85
40072,25,30
09120,25,*
26058,40,10
37124,85,30
31089,70,75
46118,1180,1055
16082,150,30
04041,115,25
46119,285,160
49061,45,15
39028,665,815
26059,340,220
32030,635,85
06045,165,75
50099,885,815
48902,4825,3935
31090,50,15
24068,210,40
48033,80,30
31091,155,25
50100,145,30
48034,3625,2550
20067,9250,6670
20066,145,125
01046,160,105
48079,145,70
31092,225,100
45060,75,35
21032,455,445
17062,2155,1810
39029,235,110
45061,730,565
40073,145,85
45062,385,235
19110,45,10
23031,180,200
40074,90,55
19111,75,*
50101,320,155
24069,40,*
40075,70,35
42079,15,*
19112,35,*
07019,35,*
28054,2140,3005
44097,95,15
44099,250,175
10073,235,95
37125,95,25
18072,205,125
32031,460,75
47061,110,15
20034,870,700
31094,45,15
12057,205,145
37126,10,*
49062,55,15
12058,20,15
06046,365,295
06047,280,215
06048,340,125
08076,3655,4580
41040,1300,3990
31095,40,*
37127,105,20
42080,85,10
14025,1000,490
42081,70,25
23032,150,150
11017,825,730
14026,440,415
40076,1430,1905
17063,65,30
37128,95,25
34070,100,5
09122,45,*
19113,170,135
05072,30,15
09124,495,280
34071,75,30
09123,15,10
45063,245,35
40077,60,200
19114,25,*
25081,135,55
43054,780,675
08077,9240,8130
22099,190,70
17064,115,45
17065,95,95
07020,840,1045
25082,55,50
31096,45,*
08078,75,30
45064,900,1180
19115,20,*
22102,65,20
22103,255,130
25088,40,15
08079,100,55
25085,45,25
31097,2830,2695
07021,100,30
41041,2145,2660
42082,*,*
09125,280,50
29051,10075,12950
44100,70,35
31098,415,540
25086,160,160
25087,15,*
46120,315,235
26060,45,*
22105,60,25
36017,5955,3055
45065,190,*
28055,245,315
19116,*,*
46121,45,10
31099,25,15
31082,170,125
31084,500,540
31085,90,110
48029,1560,1980
48030,175,150
31100,95,35
31101,270,345
26061,410,305
31093,105,35
20035,135,105
31102,50,*
31103,20,*
50102,375,145
24070,1675,735
03067,40,10
22106,10,*
31104,735,385
43055,675,550
03068,25,*
22107,25,*
12059,85,45
17005,100,145
29052,105,35
49063,205,30
49064,280,35
50104,140,45
25089,15,20
38012,660,370
43056,330,130
46122,715,585
46123,475,515
50105,135,35
50106,90,5
43057,20,*
07022,3285,3305
04043,190,70
15035,3425,1755
02031,215,130
06049,390,180
49065,505,155
13040,375,175
14027,2060,2050
18074,105,45
49066,210,55
49067,195,30
07023,690,955
49068,235,40
44101,35,*
15036,18525,10665
08134,160,230
08080,15,*
25908,95,25
43058,45,10
17066,6975,8315
43059,70,60
12060,120,90
49069,260,35
50107,195,235
04044,310,425
03069,980,815
04045,660,420
35008,1305,1520
22109,70,70
15037,1280,800
31105,525,360
17067,225,185
43060,910,560
05073,125,25
25092,55,20
37129,70,40
08082,290,315
08081,75,90
46126,1240,1085
17068,85,40
24071,440,175
27017,460,50
08083,345,595
47062,90,15
50108,*,*
47063,35,*
26062,30,*
25093,145,150
03077,1075,320
04046,240,170
18076,270,225
44102,15,*
49071,375,130
08084,270,230
27018,1735,365
46128,515,420
46127,985,655
17069,105,70
19117,225,510
13041,130,30
46124,205,195
17070,50,25
17071,140,265
31106,110,230
47064,15,*
09127,20,*
05074,215,55
08085,355,270
22110,335,135
26063,55,5
25094,60,15
22111,70,20
17902,320,325
12061,130,60
36018,1630,450
43061,10,*
37130,60,15
07024,1745,1335
03070,900,630
44103,40,30
07025,155,110
17073,320,630
36019,675,220
44105,35,10
46125,220,155
44106,60,35
17074,160,125
30020,1960,2000
48906,230,170
27019,2535,1360
44107,90,50
15038,820,280
37131,85,25
22112,2470,2750
50109,35,10
23033,580,260
33023,1330,400
09128,20,20
08086,2365,3450
50110,180,45
34072,70,10
42083,15,*
06050,1145,1000
37132,185,45
43062,135,75
18078,345,120
50111,65,15
16083,25,*
40078,55,15
16084,25,10
09129,60,*
44108,150,70
05075,40,*
28056,175,335
37133,45,10
10075,140,35
09130,45,5
09131,95,110
37134,80,25
40079,105,15
42084,10,*
40080,20,20
49075,90,5
49076,105,60
24073,250,45
09132,70,15
09133,20,*
49077,85,25
28057,210,500
34073,70,15
47065,330,125
05076,125,95
09134,65,30
44109,50,20
49078,95,25
29053,990,490
27020,1645,310
34074,205,85
38013,820,790
16085,65,10
48035,115,100
40081,70,10
19118,10,*
13042,295,175
38014,500,240
19119,35,5
50113,225,125
50114,60,15
44110,20,15
29054,15385,11960
28058,18045,39300
06051,650,355
13043,115,30
26064,535,610
47066,235,250
45066,1540,2265
02032,125,30
23034,790,540
30021,2610,3495
06052,980,1055
16086,315,235
29055,615,510
37135,415,170
40082,60,10
06053,220,90
06054,1410,1375
13044,745,625
40083,100,*
40084,40,10
05077,75,20
28059,675,1470
47067,75,15
49079,55,10
14028,95,40
12063,25,*
14029,1290,745
14030,1985,2215
18079,930,910
02033,645,445
02034,480,310
42085,110,5
09135,10,*
42086,15,5
42087,10,10
09136,95,30
37136,300,75
21033,105,95
19120,55,*
49080,270,85
09137,80,30
19121,105,45
16087,120,25
16088,50,20
37137,60,*
09138,55,*
42088,35,*
19122,40,10
42089,20,5
19123,10,*
09139,40,*
16904,120,100
09140,55,15
19124,100,65
47068,25,*
40086,220,125
42090,60,*
40087,55,10
40088,120,55
37138,65,50
46129,195,90
16089,130,105
44111,45,15
44112,215,45
41042,1535,1445
05078,45,*
12064,35,25
37139,65,20
24074,35,10
50115,795,975
50116,115,20
06055,585,435
42092,35,*
34076,200,65
37140,305,155
49082,175,65
44113,25,30
34077,60,45
49081,415,385
40089,95,20
49083,30,*
40091,60,*
44114,100,30
09141,95,130
49084,100,30
42093,20,*
14031,225,110
40092,45,15
28060,350,350
23035,355,270
16091,45,*
22113,165,95
25096,320,210
25097,40,10
31107,500,445
31108,570,370
16092,55,35
18905,1525,4175
20038,105,100
04047,625,680
08090,30,20
03072,145,35
12065,85,15
20037,30,15
19125,30,*
37141,75,20
28061,3835,7520
19126,185,540
31109,300,420
21034,330,245
09143,*,*
26065,15,5
48036,5570,5070
48037,200,105
35009,4530,5050
49085,450,170
18082,400,190
43063,195,125
26066,75,55
37142,120,90
37143,160,50
37144,165,35
10076,205,185
04048,1190,460
09144,35,*
40093,40,10
05079,25,10
37145,130,25
47069,45,10
05080,35,*
37146,65,15
49086,30,10
49087,285,*
08087,35,40
26067,*,*
31110,50,10
50117,50,25
31111,25,10
50118,810,390
44115,60,25
19127,40,15
45067,685,580
48038,270,260
49088,50,10
43064,645,560
46131,14705,15550
16093,35,10
38015,1130,715
38016,480,195
48039,50,75
31112,45,10
06056,165,80
43065,175,70
10077,280,75
37147,90,10
37148,135,70
40094,85,75
45068,60,25
37149,30,15
31113,65,15
44116,30,25
28062,95,70
05081,30,*
10079,305,165
10078,200,30
10080,145,50
28063,90,50
10081,55,10
43066,25,30
31114,95,115
06057,265,60
24076,360,130
31115,45,20
42094,90,100
08088,2535,3195
17075,90,60
17076,45,20
17077,170,155
41043,150,130
06058,465,480
10082,630,255
04049,1135,1875
10083,35,10
28064,45,25
16094,65,40
19129,40,*
11018,525,305
10084,510,175
03071,1350,1075
48040,270,305
47070,10,*
46902,175,50
29056,475,280
48041,185,160
08089,7910,8955
46130,260,200
25098,125,35
05082,210,100
20907,40,30
44117,145,40
37150,20,*
12067,200,115
08091,1135,1490
50119,335,145
41044,955,2620
49090,90,25
05083,60,10
29057,165,65
23037,215,100
31116,25,5
46132,460,590
17078,115,80
41045,1065,1400
04050,300,155
47071,90,80
45069,445,510
48046,3505,3015
46133,310,70
28065,29575,29740
20039,530,470
48044,16840,15455
21035,1835,2345
33024,69005,39395
05085,15,*
05084,55,*
41046,735,870
46134,460,695
25912,275,205
05086,40,*
26068,20,20
44118,65,20
41047,1540,3375
43067,250,130
02035,395,470
17079,14890,19505
08092,1300,665
08093,*,*
22114,50,20
48047,50,35
18083,115,25
43068,210,135
46135,2045,3525
46136,600,670
50120,20,*
31117,170,100
18084,730,1160
42095,195,565
25099,295,325
02036,60,5
37151,45,15
42096,110,45
17080,50,30
37152,135,55
32033,495,50
40095,175,105
36021,2375,2795
31118,90,*
18085,320,90
18086,150,65
24077,130,45
48042,365,250
10085,110,35
24078,190,35
03073,75,35
48043,940,1065
42097,*,*
25100,55,20
05087,35,15
50121,125,60
33025,2770,1440
24079,465,35
33026,3225,1260
22115,150,45
16095,35,10
16096,90,50
24080,115,25
40097,25,55
18087,48125,49700
21036,65,40
08094,375,410
25101,220,90
38017,4750,8555
21037,150,70
13045,270,95
33027,355,120
05088,10,*
08095,*,*
46137,85,90
49091,125,25
03074,415,405
06059,615,390
25102,270,95
10086,105,35
14032,135,85
08096,10320,10975
49092,85,*
25103,40,20
25105,50,15
25104,45,10
22116,495,295
26069,135,20
43069,65,30
22117,815,600
26070,85,25
11019,580,385
44119,55,15
09148,35,25
34079,230,375
28066,930,2265
09149,20,*
50122,20,*
50123,130,70
36022,2525,2025
18088,430,355
19130,14090,16585
44120,75,30
41048,685,595
14033,225,265
28067,805,1390
13046,315,105
10087,555,310
45070,385,300
28068,2090,3115
46138,105,90
46139,1175,1295
18089,3490,4030
37154,65,*
18906,370,115
08097,210,255
18093,815,935
17081,80,80
38018,1210,1010
36023,2275,1715
46140,60,80
03076,4190,2365
23038,525,1290
45071,595,405
08099,265,155
34080,1815,1110
06060,1530,1335
29058,435,315
49093,115,45
23039,485,585
34081,15,*
44121,15,10
32034,535,120
18094,555,585
48045,1355,1120
31119,25,*
31120,130,65
18095,350,560
38019,3075,3855
43070,80,35
37155,25,20
10088,110,10
10089,385,235
10090,225,50
10091,125,60
14034,145,55
37156,840,1295
41049,1605,2825
17082,85,90
38020,3225,3040
25109,140,20
25903,65,50
31121,20,15
05089,205,75
25110,685,1220
27022,1920,635
25111,30,10
09151,155,95
09152,105,55
27023,1055,260
08100,370,680
39030,525,390
22119,465,135
24081,70,5
05090,25,5
06061,315,200
09154,55,20
01056,110,20
35010,1020,905
26071,2065,2260
09155,10,*
39031,340,185
06062,225,90
02037,5475,6415
16097,85,*
19132,40,*
19133,40,20
12068,30,*
26072,115,60
13047,1580,1650
45072,255,110
10092,140,45
37157,45,*
37158,100,35
37159,60,*
39032,550,180
34082,45,*
38021,385,290
49094,145,15
20040,4015,3815
10093,130,80
05092,55,15
20041,55,70
05093,130,75
26073,45,5
41050,1180,1310
10094,95,25
50124,165,60
34083,665,305
42098,5,*
34084,50,15
06063,835,650
02038,90,40
19134,20,*
39033,220,50
05094,70,20
10095,135,35
45073,145,45
47073,55,5
16098,230,110
10096,960,755
26074,50,5
19135,55,10
10097,45,*
23041,145,90
06064,275,135
21038,240,260
05095,125,35
06065,110,30
06066,585,280
06067,570,425
12069,35,*
02039,355,210
46141,155,85
05096,50,*
44122,480,290
19136,10,*
49095,110,35
10098,160,50
21039,115,45
23042,145,45
21040,790,660
37160,225,85
44123,60,25
45074,185,50
42100,15,*
14035,1645,1225
06068,145,80
16099,95,25
13048,235,45
16100,320,120
31256,40,5
28069,15,*
19138,115,45
16101,75,10
10099,225,120
19139,15,*
20036,3295,3210
03078,560,115
16102,435,290
40099,10,*
40100,115,35
45075,75,*
40101,45,225
09159,20,10
16103,160,30
09160,50,15
16104,40,*
19142,85,25
34086,25,10
09162,35,10
09164,90,15
09163,305,65
05097,235,30
28070,35,15
05099,185,65
13049,255,130
37161,70,10
16106,865,635
37162,95,20
28071,20,15
19143,365,540
09166,40,*
45076,170,140
26075,120,45
26076,55,20
06069,865,725
14036,860,940
05100,130,35
26077,5,*
34087,55,10
47074,60,*
09167,30,*
23043,200,105
26078,20,5
09168,150,50
43071,370,210
19145,40,*
09169,35,10
24082,325,125
08101,52815,40275
08162,335,660
17083,785,610
37163,10,*
02040,190,135
09170,75,35
28072,1170,1815
05102,555,395
05101,125,20
05103,45,*
10100,225,145
05106,15,*
05104,15,*
05105,110,80
22122,25,10
44124,15,*
22908,75,20
31122,785,1500
45077,125,105
04051,125,95
10101,55,30
18096,115,40
16107,70,*
23044,1420,1285
21041,24820,31575
16108,20,10
18097,370,185
04052,1035,4500
04053,3620,3320
26079,245,110
19146,20,*
16109,40,*
09172,60,*
19147,25,*
37164,70,60
09173,50,10
16110,35,20
09174,325,165
45078,455,330
16111,70,35
19148,15,*
22124,105,25
40103,45,20
23045,495,440
44125,50,*
22125,9725,9810
18098,1975,1640
16112,455,315
18099,325,335
18100,1780,2245
18101,1560,2785
19150,35,5
41051,490,620
09175,55,*
19151,310,235
28073,1485,3925
29059,585,630
09176,15,15
05107,35,*
34088,75,30
10102,155,45
31124,60,30
20042,905,760
48048,185,95
50125,195,60
09177,240,240
03079,4390,4425
33028,850,155
22126,40,15
09178,30,*
23046,605,545
38022,4525,4010
20043,445,430
31259,160,125
26080,200,65
09179,5,*
09180,55,5
44126,145,75
45079,160,25
48094,795,765
22127,60,150
08102,7780,8385
29060,220,120
24083,545,120
31125,90,60
20044,85,90
22128,80,15
36901,1105,880
45080,*,*
19152,270,70
33029,215,25
04054,110,45
33030,310,105
45081,1970,5445
18102,2565,1855
50126,685,590
31126,90,60
07027,4660,6225
27024,790,140
35011,3970,6055
16113,825,960
19153,*,*
04055,170,45
19154,40,*
31127,40,15
32035,895,85
15039,560,130
23047,415,365
37165,10,*
19155,20,*
20045,12170,11145
01901,395,670
20046,155,395
01027,95,105
31904,400,385
31128,155,90
22129,75,45
09181,90,40
47075,1220,1125
21042,3065,4880
41902,930,1205
25115,365,140
17084,70,30
48049,170,120
29061,350,290
50128,20,*
34089,50,20
09182,50,*
18103,275,190
20047,130,135
37166,105,20
40104,40,45
31129,95,70
31130,100,80
48910,890,535
25112,105,40
25113,450,240
25114,40,15
31131,185,215
31132,35,10
24084,120,15
31133,20,*
14037,1315,765
18105,1265,1345
29062,210,145
23048,245,155
48050,50,30
44127,40,*
23049,465,400
21043,480,455
22130,2305,2490
03080,435,455
19156,350,285
23050,20280,26095
17085,110,65
46142,350,95
26081,5,*
49096,75,10
23051,765,590
12070,240,120
50129,95,60
46144,310,75
10103,160,75
10104,1365,1195
09183,40,*
09184,*,*
10105,715,560
10106,70,10
50130,160,60
44128,40,*
22131,30,15
44129,20,*
50131,90,20
31134,80,20
03082,8200,4650
31135,20,20
18107,275,220
11020,32015,45010
06070,1890,2025
18108,230,175
12071,500,250
10107,350,235
18109,190,130
03083,1670,1245
23052,365,235
11021,1800,2225
29063,145,45
19157,35,*
24086,185,25
23053,1975,2485
17086,525,600
08103,145,200
44130,20,*
02041,165,45
44131,10,10
25910,40,15
50132,130,195
40105,30,*
40106,95,30
29064,195,80
17087,60,65
30022,3925,4875
18111,330,925
05108,40,*
25118,145,50
25119,770,590
09189,45,*
09190,30,10
09191,20,*
09192,20,10
31136,105,110
49097,65,*
18112,40,25
37167,45,25
29065,70,20
48022,785,335
48907,100,80
01019,50,35
01020,85,40
40107,45,10
01028,315,320
13050,190,90
22133,30,30
18115,555,670
10108,100,10
45082,405,215
34091,65,15
50133,60,*
01030,75,15
01031,330,225
44132,45,*
24087,275,65
26082,65,*
40108,50,*
47076,2460,4795
24088,470,80
16115,30,*
16116,*,*
37168,180,60
26083,135,15
23040,440,345
31138,225,260
36024,5195,3255
22135,80,25
22136,360,145
36025,935,*
39034,125,15
31139,55,25
22137,445,165
27026,960,205
01032,175,105
16117,415,220
48051,75,25
05109,105,90
42103,220,80
50134,70,5
47077,105,30
33031,11725,5445
40109,35,*
18116,880,660
34092,155,40
01902,210,120
18117,145,95
41052,640,905
31140,45,15
05110,205,130
44133,10,*
06071,105,35
22139,35,10
31141,35,15
01033,195,135
15041,3055,1405
26084,1055,1830
39035,2970,1925
32038,230,40
04056,40,35
48052,360,420
31142,395,440
31143,45,10
20048,35,70
31144,260,155
37169,70,15
23054,100,95
20902,4320,2900
22141,40,15
22142,50,20
22143,80,*
22144,95,25
40110,170,45
40111,55,*
40112,240,945
01036,4515,2800
04057,350,355
48053,205,250
33032,3985,1885
15040,935,385
50135,50,10
45083,115,135
32039,710,115
31145,60,30
20049,1010,1050
20050,90,85
31146,20,5
41053,4065,6225
50136,265,90
50138,15,10
50137,415,195
18119,600,350
19159,25,10
16118,555,255
37170,415,280
26086,10,*
34094,40,*
37171,145,110
28074,34160,31855
16119,65,35
31147,30,15
31148,40,10
20051,2020,1385
20052,355,265
01058,280,305
20068,60,50
48054,5040,5940
32040,660,165
31149,655,445
26087,115,40
48057,1775,1445
31908,170,350
48055,560,545
48056,220,220
33033,3575,1280
18120,100,55
24089,32620,21575
31150,65,40
21044,3405,5500
31151,30,5
31152,545,280
09194,505,500
25121,140,170
31153,580,450
02042,335,155
50139,125,35
01034,60,30
26088,*,*
48081,475,470
31154,75,40
20053,1055,1190
02043,485,230
30023,970,935
44135,95,*
42105,15,10
44136,30,*
31155,80,35
39036,335,190
39037,540,360
02044,415,205
04058,155,60
45084,715,475
39038,380,335
23055,10885,12470
21045,90,40
44137,90,35
37172,300,100
11022,11315,13050
25122,555,475
50140,65,15
50141,40,10
20054,135,135
31156,70,50
08104,250,125
17088,120,150
25123,90,70
25124,45,20
08105,2560,2520
17089,1555,1495
24092,400,95
17090,115,160
17091,125,75
17092,1260,880
33035,2855,2350
46154,225,205
33036,3450,1885
09195,*,*
47079,30,10
38024,3670,4225
05113,55,*
13904,130,75
25125,180,60
46155,405,195
25126,85,40
44141,45,15
25120,24565,25570
06073,220,140
06074,1060,1145
17093,275,210
25127,60,40
03085,445,45
08107,2310,3170
08108,1020,1370
25128,75,20
08106,1460,1930
46147,3725,4735
17094,260,225
43072,40,20
25129,50,35
46152,25,25
46153,145,95
46151,175,170
46156,555,595
43073,20,10
43074,435,465
17095,4925,6790
07028,230,225
46157,735,735
12074,235,155
07029,1010,1170
