COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
1047000000;1010474;1440;1;Araba/Álava;Erriberabeitia;1421;2531,46;30540;1047000501;Ribabellosa;1128;0137-4;-2,91704002;42,71339792;Mapa;483;MDT
1049000000;1010493;1460;1;Araba/Álava;Añana;155;2192,3285;21681;1049000201;Salinas de Añana/Gesaltza Añana;140;0137-2;-2,98601634;42,8012318;Mapa;574;MDT
1051000000;1010513;1470;1;Araba/Álava;Agurain/Salvatierra;5029;3776,9884;37786;1051000601;Agurain/Salvatierra;4901;0113-3;-2,389753;42,850452;Investigación;608;Investigación
1052000000;1010528;1480;1;Araba/Álava;Samaniego;308;1057,8;16515;1052000101;Samaniego;308;0170-4;-2,67904862;42,56735197;Mapa;571;MDT
1053000000;1010534;1490;1;Araba/Álava;San Millán/Donemiliaga;716;8540,58;107242;1053001101;Ordoñana/Erdoñana;44;0113-3;-2,37748902;42,87382571;Mapa;600;MDT
1054000000;1010549;1500;1;Araba/Álava;Urkabustaiz;1414;6084,96;37118;1054000701;Izarra;1067;0111-2;-2,90661046;42,95304046;Mapa;633;MDT
1055000000;1010552;1510;1;Araba/Álava;Valdegovía/Gaubea;1049;23823,44;104568;1055003001;Villanueva de Valdegovía;141;0111-3;-3,09884417;42,84756896;Mapa;552;MDT
1056000000;1010565;1520;1;Araba/Álava;Harana/Valle de Arana;226;3912,1857;37971;1056000101;Alda;29;0139-2;-2,33104687;42,75289194;Mapa;812;MDT
1057000000;1010571;1530;1;Araba/Álava;Villabuena de Álava/Eskuernaga;287;847,9289;14014;1057000101;Villabuena de Álava/Eskuernaga;287;0170-4;-2,66452938;42,54857804;Mapa;483;MDT
1058000000;1010587;1540;1;Araba/Álava;Legutio;1993;4584,92;37305;1058000601;Legutio;1438;0112-2;-2,64255929;42,9798744;Mapa;570;MDT
1059000000;1010590;1001;1;Araba/Álava;Vitoria-Gasteiz;253093;27698,39;112139;1059006301;Vitoria-Gasteiz;247799;0112-4;-2,67275685;42,85058789;Mapa;539;MDT
1060000000;1010604;1550;1;Araba/Álava;Yécora/Iekora;266;1880,2483;20919;1060000101;Yécora/Iekora;266;0171-3;-2,4700849;42,56923117;Mapa;694;MDT
1061000000;1010611;1560;1;Araba/Álava;Zalduondo;192;1187,86;21423;1061000101;Zalduondo;190;0113-4;-2,34650825;42,88580971;Mapa;612;MDT
1062000000;1010626;1570;1;Araba/Álava;Zambrana;432;3957,05;43901;1062000401;Zambrana;321;0169-2;-2,87806502;42,66112968;Mapa;458;MDT
1063000000;1010632;1580;1;Araba/Álava;Zuia;2318;12257,74;49627;1063001101;Murgia;1102;0112-1;-2,81862854;42,95597763;Mapa;617;MDT
1901000000;1019015;1245;1;Araba/Álava;Iruña Oka/Iruña de Oca;3468;5323,5;35088;1901000201;Nanclares de la Oca/Langraiz Oka;2446;0138-1;-2,8147543;42,81819126;Mapa;502;MDT
1902000000;1019020;1305;1;Araba/Álava;Lantarón;915;6745,49;63679;1902000401;Comunión/Komunioi;85;0137-4;-2,96649719;42,71657557;Mapa;482;MDT
2001000000;1020019;2010;2;Albacete;Abengibre;748;3076,9225;25257;2001000101;Abengibre;748;0743-4;-1,54384487;39,2100078;Mapa;634;MDT
2002000000;1020024;2020;2;Albacete;Alatoz;496;6385,5135;37232;2002000101;Alatoz;485;0767-1;-1,36097604;39,09494843;Mapa;858;MDT
2003000000;1020030;2001;2;Albacete;Albacete;172722;112698,96;250011;2003000201;Albacete;165728;0790-2;-1,85574745;38,99588053;Mapa;681;MDT
2004000000;1020045;2030;2;Albacete;Albatana;681;3049,56;22505;2004000101;Albatana;668;0843-4;-1,52275248;38,5708754;Mapa;582;MDT
2005000000;1020058;2040;2;Albacete;Alborea;670;7186,76;36330;2005000101;Alborea;662;0744-1;-1,39670449;39,27835442;Mapa;706;MDT
2006000000;1020061;2050;2;Albacete;Alcadozo;632;9958,7;53730;2006000101;Alcadozo;581;0842-2;-1,9802275;38,6489758;Mapa;925;MDT
2007000000;1020077;2060;2;Albacete;Alcalá del Júcar;1153;14682,4446;51494;2007000101;Alcalá del Júcar;639;0744-3;-1,42932697;39,1932018;Mapa;547;MDT
2008000000;1020083;2070;2;Albacete;Alcaraz;1310;37053,3125;289056;2008000101;Alcaraz;1096;0841-1;-2,49034957;38,66425104;Mapa;953;MDT
2009000000;1020096;2080;2;Albacete;Almansa;24388;53181,92;93237;2009000101;Almansa;23808;0793-3;-1,09414681;38,86968811;Mapa;687;MDT
2010000000;1020100;2090;2;Albacete;Alpera;2285;17847,2745;56652;2010000101;Alpera;2270;0792-2;-1,23080245;38,95969094;Mapa;852;MDT
2011000000;1020117;2100;2;Albacete;Ayna;582;14658,96;65701;2011000101;Ayna;409;0842-3;-2,07053831;38,55217746;Mapa;696;MDT
2012000000;1020122;2110;2;Albacete;Balazote;2363;6515,3733;31749;2012000101;Balazote;2337;0790-3;-2,15096732;38,88396156;Mapa;771;MDT
2013000000;1020138;2120;2;Albacete;Balsa de Ves;129;7589,23;40451;2013000101;Balsa de Ves;87;0744-2;-1,19650012;39,26461253;Mapa;751;MDT
2014000000;1020143;2130;2;Albacete;El Ballestero;413;13869,3693;49399;2014000101;El Ballestero;398;0789-3;-2,45508633;38,84252196;Mapa;1027;MDT
2015000000;1020156;2140;2;Albacete;Barrax;1808;18983,33;52801;2015000101;Barrax;1783;0764-4;-2,20045637;39,0456106;Mapa;733;MDT
2016000000;1020169;2150;2;Albacete;Bienservida;595;9073,437;56309;2016000101;Bienservida;585;0840-4;-2,61184243;38,51602097;Mapa;898;MDT
