Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
02038;Herrera, La;212;1;159;0;0;51;1;136;2;9;65
02039;Higueruela;801;6;631;1;2;159;2;600;22;26;153
02040;Hoya-Gonzalo;117;1;88;1;1;26;0;43;10;24;40
02041;Jorquera;49;0;33;0;1;15;0;3;7;13;26
02042;Letur;108;1;56;0;2;48;1;5;9;14;80
02043;Lezuza;401;6;276;7;1;111;0;230;41;14;116
02044;Liétor;222;3;138;2;1;76;2;67;0;36;119
02045;Madrigueras;1483;31;953;38;15;439;7;863;215;149;256
02046;Mahora;364;3;240;4;6;109;2;232;24;52;56
02047;Masegoso;35;0;20;0;0;15;0;0;0;7;28
02048;Minaya;648;2;441;3;0;202;0;371;64;145;68
02049;Molinicos;349;2;274;0;3;69;1;8;8;7;326
02050;Montalvos;24;1;18;0;0;5;0;6;5;1;12
02051;Montealegre del Castillo;1301;10;1049;6;4;230;2;1095;72;24;110
02052;Motilleja;133;2;98;1;2;30;0;79;14;15;25
02053;Munera;627;12;372;11;4;227;1;91;58;185;293
02054;Navas de Jorquera;156;0;107;0;2;47;0;103;11;34;8
02055;Nerpio;292;4;162;1;0;122;3;32;5;34;221
02056;Ontur;449;5;306;0;8;130;0;250;16;86;97
02057;Ossa de Montiel;429;5;250;3;2;166;3;33;37;107;252
02058;Paterna del Madera;61;0;28;0;1;32;0;3;39;5;14
02059;Peñascosa;42;2;21;1;0;18;0;3;0;8;31
02060;Peñas de San Pedro;112;0;66;0;2;43;1;22;17;9;64
02061;Pétrola;106;0;75;0;1;30;0;47;2;14;43
02062;Povedilla;152;0;124;0;0;28;0;99;12;13;28
02063;Pozohondo;472;7;318;2;1;143;1;281;23;14;154
02064;Pozo-Lorente;79;0;52;0;0;27;0;18;5;10;46
02065;Pozuelo;110;0;55;0;4;50;1;22;8;3;77
02066;Recueja, La;31;0;18;0;0;13;0;12;0;1;18
02067;Riópar;383;9;181;2;5;183;3;26;5;30;322
02068;Robledo;173;2;87;9;1;69;5;21;30;3;119
02069;Roda, La;3299;71;1990;97;47;1040;54;1253;356;172;1518
02070;Salobre;305;4;123;1;46;130;1;41;1;16;247
02071;San Pedro;702;4;464;3;2;227;2;77;6;16;603
02072;Socovos;291;1;150;0;5;132;3;16;36;38;201
02073;Tarazona de la Mancha;1473;51;910;9;11;481;11;687;71;147;568
02074;Tobarra;4467;296;3058;11;75;1020;7;2943;193;113;1218
02075;Valdeganga;368;0;273;4;1;89;1;200;7;66;95
02076;Vianos;76;0;51;0;0;25;0;27;0;5;44
02077;Villa de Ves;11;0;10;0;0;1;0;0;5;1;5
02078;Villalgordo del Júcar;212;5;114;7;7;75;4;112;20;9;71
02079;Villamalea;1530;15;761;12;4;726;12;958;160;91;321
02080;Villapalacios;132;0;119;1;0;12;0;66;14;19;33
02081;Villarrobledo;7997;109;4945;150;89;2639;65;3588;754;672;2983
02082;Villatoya;64;2;20;1;9;31;1;0;0;4;60
02083;Villavaliente;23;0;13;0;0;10;0;7;0;0;16
02084;Villaverde de Guadalimar;92;0;64;0;0;28;0;43;7;1;41
02085;Viveros;35;1;18;0;0;16;0;4;4;11;16
02086;Yeste;462;4;247;2;6;200;3;9;6;176;271
02901;Pozo Cañada;554;6;408;6;4;127;3;267;18;33;236
03001;Adsubia;99;4;53;5;2;33;2;3;8;3;85
03002;Agost;1136;18;432;23;25;628;10;649;135;52;300
03003;Agres;153;2;82;2;1;62;4;0;2;21;130
03004;Aigües;170;1;84;1;2;82;0;0;10;25;135
03005;Albatera;2524;35;2020;36;16;403;14;435;180;173;1736
03006;Alcalalí;112;2;66;3;1;40;0;0;6;11;95
03007;Alcocer de Planes;81;0;34;3;1;42;1;0;15;1;65
03008;Alcoleja;70;1;36;0;0;33;0;0;1;1;68
03009;Alcoy/Alcoi;8442;202;4146;210;212;3491;181;211;1200;771;6260
03010;Alfafara;47;7;20;2;3;14;1;7;0;4;36
03011;Alfàs del Pi, l';3657;90;1595;99;111;1631;131;34;78;304;3241
03012;Algorfa;602;7;210;23;14;332;16;2;20;37;543
03013;Algueña;280;7;180;10;5;75;3;108;50;20;102
03014;Alicante/Alacant;100192;2184;46067;1989;1880;46348;1724;531;2152;7441;90068
03015;Almoradí;3077;129;1793;62;126;932;35;375;388;689;1625
03016;Almudaina;125;1;55;0;1;68;0;0;0;0;125
03017;Alqueria d'Asnar, l';144;3;91;9;3;37;1;1;57;4;82
03018;Altea;4257;130;2055;101;115;1750;106;277;151;455;3374
03019;Aspe;2921;82;1501;101;71;1112;54;620;1011;357;933
03020;Balones;16;0;11;0;0;5;0;0;0;0;16
03021;Banyeres de Mariola;943;45;430;70;18;370;10;0;319;130;494
03022;Benasau;61;0;42;1;0;17;1;0;39;0;22
03023;Beneixama;225;5;154;7;2;56;1;102;43;14;66
03024;Benejúzar;1895;42;1455;7;25;359;7;238;40;231;1386
03025;Benferri;138;7;94;1;3;31;2;2;3;42;91
03026;Beniarbeig;234;12;86;8;7;110;11;2;28;16;188
03027;Beniardá;28;0;21;0;0;7;0;9;0;0;19
03028;Beniarrés;82;4;55;6;1;13;3;6;25;14;37
03029;Benigembla;29;0;24;1;0;4;0;0;1;10;18
03030;Benidoleig;146;1;90;1;0;52;2;0;3;35;108
03031;Benidorm;37874;562;17121;458;502;18758;473;63;326;1392;36093
03032;Benifallim;15;0;11;0;0;4;0;0;0;2;13
03033;Benifato;27;0;14;0;1;12;0;0;0;0;27
03034;Benijófar;333;13;150;18;7;132;13;2;15;35;281
03035;Benilloba;64;3;38;1;2;20;0;1;3;16;44
03036;Benillup;17;0;5;0;1;11;0;0;0;0;17
03037;Benimantell;35;1;23;1;2;7;1;7;1;0;27
03038;Benimarfull;58;1;34;1;1;20;1;1;25;5;27
03039;Benimassot;22;0;18;0;0;4;0;1;0;0;21
03040;Benimeli;47;0;31;1;1;14;0;0;0;9;38
03041;Benissa;992;45;478;36;50;348;35;7;75;172;738
03042;Benitachell/Poble Nou de Benitatxell, el;356;10;163;7;8;162;6;0;29;60;267
03043;Biar;631;15;357;22;7;220;10;24;227;81;299
03044;Bigastro;1727;27;1042;21;93;531;13;146;136;224;1221
03045;Bolulla;40;1;30;0;0;9;0;14;0;6;20
03046;Busot;127;7;79;1;3;36;1;0;6;45;76
03047;Calp;6366;123;2891;124;116;2995;117;29;101;587;5649
03048;Callosa d'En Sarrià;1658;16;939;26;20;642;15;1072;60;81;445
03049;Callosa de Segura;2338;43;1277;59;38;873;48;262;691;310;1075
03050;Campello, el;3799;99;1657;84;84;1802;73;38;141;423;3197
03051;Campo de Mirra/Camp de Mirra, el;30;0;17;1;0;11;1;0;7;10;13
03052;Cañada;155;8;96;5;1;41;4;24;62;17;52
03053;Castalla;1872;49;1188;62;27;513;33;20;630;401;821
03054;Castell de Castells;44;0;21;0;0;22;1;0;0;2;42
03055;Catral;1164;51;684;21;18;386;4;169;445;97;453
03056;Cocentaina;2417;65;1348;76;32;859;37;2;383;74;1958
03057;Confrides;31;0;25;1;0;5;0;14;1;2;14
03058;Cox;2848;87;1780;68;110;777;26;1118;461;173;1096
03059;Crevillent;4853;204;2790;144;83;1565;67;12;2104;394;2343
03060;Quatretondeta;5;1;0;0;0;4;0;0;1;0;4
03061;Daya Nueva;366;23;170;5;31;134;3;48;6;50;262
03062;Daya Vieja;255;2;218;1;0;33;1;13;0;2;240
03063;Dénia;9618;277;4367;213;248;4262;251;63;446;974;8135
03064;Dolores;1333;40;725;37;24;491;16;306;231;110;686
03065;Elche/Elx;50875;1581;25309;1001;1280;20805;899;1207;12343;4606;32719
03066;Elda;9996;675;4588;250;485;3808;190;8;5005;728;4255
03067;Facheca;27;0;19;0;0;8;0;0;0;1;26
03068;Famorca;15;0;13;0;0;2;0;0;2;0;13
03069;Finestrat;2909;68;1154;72;47;1482;86;2;133;252;2522
03070;Formentera del Segura;508;5;303;3;5;190;2;6;16;187;299
03071;Gata de Gorgos;426;11;222;9;11;162;11;2;30;91;303
03072;Gaianes;74;1;47;11;0;13;2;3;33;6;32
03073;Gorga;49;0;25;0;0;24;0;13;1;0;35
03074;Granja de Rocamora;262;9;157;4;7;81;4;26;53;26;157
03075;Castell de Guadalest, el;61;1;22;0;4;33;1;1;0;0;60
03076;Guardamar del Segura;3791;103;1857;74;88;1591;78;166;319;318;2988
03077;Fondó de les Neus, el/Hondón de las Nieves;175;5;103;0;5;60;2;15;10;13;137
03078;Hondón de los Frailes;67;2;39;0;1;22;3;25;0;5;37
03079;Ibi;4411;110;2241;106;84;1790;80;53;1691;261;2406
03080;Jacarilla;338;7;256;5;2;65;3;27;14;127;170
03081;Xaló;273;9;155;5;2;91;11;0;16;68;189
03082;Jávea/Xàbia;4053;153;1899;123;132;1635;111;4;58;491;3500
03083;Jijona/Xixona;3249;59;1680;15;40;1441;14;15;1257;167;1810
03084;Lorcha/Orxa, l';63;1;34;2;3;22;1;1;19;4;39
03085;Llíber;38;1;12;0;0;24;1;0;0;1;37
03086;Millena;31;0;18;0;0;13;0;0;0;0;31
03088;Monforte del Cid;1871;51;952;24;83;750;11;643;199;306;723
03089;Monóvar/Monòver;2225;113;1149;63;88;776;36;61;913;80;1171
03090;Mutxamel;6754;144;3873;126;68;2502;41;48;1100;621;4985
03091;Murla;85;0;62;0;0;23;0;0;0;16;69
03092;Muro de Alcoy;921;39;458;44;26;337;17;4;300;49;568
03093;Novelda;4213;105;2268;100;74;1606;60;1315;714;599;1585
03094;Nucia, la;2197;48;1089;53;60;904;43;136;45;191;1825
03095;Ondara;2491;26;1493;40;29;861;42;2;74;261;2154
03096;Onil;1303;25;744;24;36;456;18;2;449;194;658
03097;Orba;162;4;85;1;8;64;0;0;14;22;126
03098;Orxeta;30;0;25;0;1;3;1;0;8;6;16
03099;Orihuela;19567;661;11804;398;539;5858;307;4700;748;2290;11829
03100;Parcent;95;1;61;3;4;25;1;1;2;26;66
03101;Pedreguer;854;57;413;16;17;333;18;7;105;109;633
03102;Pego;1121;34;719;19;31;302;16;172;61;206;682
03103;Penàguila;72;2;51;1;2;16;0;8;0;19;45
03104;Petrer;6241;296;2936;123;210;2586;90;0;2781;439;3021
03105;Pinós, el/Pinoso;1241;91;657;45;77;351;20;218;490;70;463
03106;Planes;110;1;65;0;0;42;2;48;4;4;54
03107;Polop;378;5;236;14;1;115;7;43;26;122;187
03109;Rafal;489;14;242;6;24;202;1;2;29;181;277
03110;Ràfol d'Almúnia, El;72;2;50;2;4;14;0;0;6;36;30
03111;Redován;1291;22;899;64;20;272;14;14;130;617;530
03112;Relleu;125;3;83;1;2;34;2;5;4;45;71
03113;Rojales;1801;65;717;52;60;861;46;126;53;227;1395
03114;Romana, la;729;12;262;10;3;439;3;547;59;26;97
03115;Sagra;19;0;12;0;0;6;1;2;0;3;14
03116;Salinas;696;22;362;26;8;277;1;36;450;53;157
03117;Sanet y Negrals;31;0;23;0;1;7;0;1;1;8;21
03118;San Fulgencio;722;14;282;16;34;349;27;6;69;95;552
03119;Sant Joan d'Alacant;5729;139;2454;88;112;2863;73;1281;251;591;3606
03120;San Miguel de Salinas;688;14;398;15;17;236;8;149;11;157;371
03121;Santa Pola;4942;211;2517;101;109;1910;94;204;472;383;3883
03122;San Vicente del Raspeig/Sant Vicent del Raspeig;8577;284;3856;239;161;3880;157;13;464;1257;6843
03123;Sax;1369;81;690;73;35;457;33;5;763;169;432
03124;Sella;33;0;25;0;1;7;0;0;1;4;28
03125;Senija;17;1;12;0;0;4;0;0;3;2;12
03127;Tàrbena;63;1;41;0;0;20;1;17;0;12;34
03128;Teulada;2160;70;960;76;79;902;73;10;115;277;1758
03129;Tibi;96;0;57;7;5;22;5;0;29;23;44
03130;Tollos;44;0;16;2;0;25;1;0;0;1;43
03131;Tormos;14;0;10;0;0;3;1;1;0;1;12
03132;Torremanzanas/Torre de les Maçanes, la;63;2;39;0;2;20;0;0;4;16;43
03133;Torrevieja;14823;449;6249;370;444;6885;426;38;443;1457;12885
03134;Vall d'Alcalà, la;32;1;15;0;0;16;0;2;0;9;21
03135;Vall d'Ebo, la;25;0;17;0;1;7;0;5;0;2;18
03136;Vall de Gallinera;45;1;27;0;1;16;0;18;0;0;27
03137;Vall de Laguar, la;77;0;39;1;3;34;0;1;0;12;64
03138;Verger, el;2410;24;889;21;12;1446;18;12;54;198;2146
03139;Villajoyosa/Vila Joiosa, la;4767;89;2304;90;83;2111;90;176;499;533;3559
03140;Villena;6910;188;3825;149;168;2469;111;1284;1563;1002;3061
03901;Poblets, els;276;5;77;2;9;172;11;5;10;28;233
03902;Pilar de la Horadada;5581;116;3390;66;103;1843;63;1112;121;507;3841
03903;Montesinos, Los;1183;27;736;53;21;304;42;282;31;142;728
03904;San Isidro;1310;35;866;28;24;346;11;107;232;232;739
04001;Abla;335;1;190;2;1;140;1;95;2;55;183
04002;Abrucena;465;3;290;1;1;168;2;138;5;175;147
04003;Adra;4359;62;2308;52;35;1853;49;1802;78;354;2125
04004;Albánchez;118;1;72;2;1;42;0;19;2;5;92
04005;Alboloduy;119;0;63;0;3;53;0;41;27;6;45
04006;Albox;2367;72;1444;37;33;764;17;212;291;430;1434
04007;Alcolea;391;3;196;3;1;187;1;136;10;63;182
04008;Alcóntar;132;1;50;2;1;78;0;38;6;8;80
04009;Alcudia de Monteagud;88;0;42;0;1;43;2;22;1;7;58
04010;Alhabia;353;32;135;5;3;177;1;38;39;43;233
04011;Alhama de Almería;679;32;316;3;7;312;9;122;40;121;396
04012;Alicún;56;0;49;1;0;6;0;7;0;2;47
04013;Almería;58708;908;27179;882;1006;27699;1034;5483;1287;4961;46977
04014;Almócita;55;0;40;0;1;14;0;14;0;17;24
04015;Alsodux;28;0;21;0;0;7;0;12;0;6;10
04016;Antas;2966;118;2076;42;39;682;9;1208;65;161;1532
04017;Arboleas;416;10;247;6;17;134;2;163;7;61;185
04018;Armuña de Almanzora;233;2;65;0;8;158;0;37;124;9;63
