Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
10193;Torreorgaz;144;1;100;3;0;37;3;7;17;56;64
10194;Torrequemada;41;1;13;2;0;25;0;6;3;5;27
10195;Trujillo;1812;44;980;19;26;725;18;224;113;315;1160
10196;Valdastillas;1176;0;656;0;2;518;0;34;0;43;1099
10197;Valdecañas de Tajo;53;0;39;1;0;12;1;0;15;18;20
10198;Valdefuentes;292;2;113;2;1;171;3;102;7;60;123
10199;Valdehúncar;28;0;17;0;0;11;0;9;0;3;16
10200;Valdelacasa de Tajo;42;1;19;0;1;20;1;1;1;4;36
10201;Valdemorales;126;0;78;0;0;48;0;51;0;65;10
10202;Valdeobispo;205;2;106;0;2;95;0;83;1;76;45
10203;Valencia de Alcántara;1116;6;692;13;12;375;18;308;54;175;579
10204;Valverde de la Vera;130;0;75;1;0;54;0;70;1;3;56
10205;Valverde del Fresno;790;11;366;4;2;400;7;246;13;275;256
10206;Viandar de la Vera;43;0;26;0;0;17;0;8;3;26;6
10207;Villa del Campo;213;0;106;0;0;107;0;88;0;101;24
10208;Villa del Rey;35;2;17;0;0;16;0;6;0;11;18
10209;Villamesías;119;0;54;0;0;65;0;49;0;45;25
10210;Villamiel;399;1;233;0;0;165;0;239;24;123;13
10211;Villanueva de la Sierra;247;1;124;0;1;120;1;61;6;6;174
10212;Villanueva de la Vera;486;4;256;5;4;214;3;209;7;97;173
10213;Villar del Pedroso;135;3;68;1;0;63;0;53;1;12;69
10214;Villar de Plasencia;40;0;32;0;2;6;0;7;3;17;13
10215;Villasbuenas de Gata;241;0;139;0;1;100;1;26;0;25;190
10216;Zarza de Granadilla;386;2;173;2;7;197;5;101;49;114;122
10217;Zarza de Montánchez;102;0;64;0;0;38;0;3;0;78;21
10218;Zarza la Mayor;683;2;376;2;0;303;0;202;4;380;97
10219;Zorita;214;5;122;2;1;82;2;60;1;96;57
10901;Rosalejo;828;10;522;1;12;282;1;650;4;31;143
10902;Vegaviana;170;0;64;0;0;106;0;87;4;63;16
10903;Alagón del Río;137;1;58;0;0;78;0;92;8;6;31
11001;Alcalá de los Gazules;2233;10;1389;10;6;809;9;453;68;303;1409
11002;Alcalá del Valle;3651;1;1986;3;4;1654;3;1440;9;243;1959
11003;Algar;699;2;335;1;3;354;4;122;13;32;532
11004;Algeciras;27363;502;15252;540;329;10278;462;344;1132;3631;22256
11005;Algodonales;3372;8;1734;7;2;1613;8;1445;28;240;1659
11006;Arcos de la Frontera;14236;78;7602;49;42;6397;68;3852;533;2166;7685
11007;Barbate;6146;63;3835;36;46;2134;32;702;521;916;4007
11008;Barrios, Los;8201;181;4611;294;83;2889;143;350;1148;1475;5228
11009;Benaocaz;322;2;176;0;3;140;1;11;16;8;287
11010;Bornos;2790;2;1505;9;4;1256;14;878;28;525;1359
11011;Bosque, El;1066;5;609;6;4;433;9;28;74;103;861
11012;Cádiz;54417;603;28465;581;567;23574;627;906;3308;5243;44960
11013;Castellar de la Frontera;675;3;440;7;2;216;7;184;47;64;380
11014;Conil de la Frontera;7913;112;4814;52;156;2705;74;261;95;1496;6061
11015;Chiclana de la Frontera;20926;244;11115;250;208;8856;253;258;1075;2688;16905
11016;Chipiona;8739;91;4398;51;67;4099;33;2902;201;737;4899
11017;Espera;3595;4;2653;1;5;929;3;860;44;1708;983
11018;Gastor, El;785;4;400;0;2;378;1;269;3;49;464
11019;Grazalema;1029;1;634;3;3;382;6;31;13;118;867
11020;Jerez de la Frontera;88392;813;49664;889;696;35395;935;16590;4470;9442;57890
11021;Jimena de la Frontera;2436;21;1618;18;6;740;33;1025;57;365;989
11022;Línea de la Concepción, La;9738;233;4046;185;196;4903;175;156;436;1298;7848
11023;Medina-Sidonia;3801;34;2072;29;9;1626;31;870;139;566;2226
11024;Olvera;5198;3;2966;9;7;2201;12;2716;119;965;1398
11025;Paterna de Rivera;1256;2;671;4;8;567;4;74;21;632;529
11026;Prado del Rey;1896;10;949;12;5;903;17;429;280;170;1017
11027;Puerto de Santa María, El;30597;381;16111;497;241;12982;385;455;1331;3352;25459
11028;Puerto Real;13190;226;8557;222;88;3981;116;257;3887;1955;7091
11029;Puerto Serrano;2275;4;1127;4;6;1130;4;488;14;240;1533
11030;Rota;9971;92;5613;101;50;4040;75;660;1040;1763;6508
11031;San Fernando;14937;150;7267;172;167;6898;283;4;1131;2075;11727
11032;Sanlúcar de Barrameda;21755;262;11412;173;130;9581;197;7798;827;2694;10436
11033;San Roque;11472;213;7533;231;142;3207;146;47;2615;2613;6197
11034;Setenil de las Bodegas;2252;4;1206;4;0;1032;6;1353;18;124;757
11035;Tarifa;5415;157;2821;75;75;2223;64;281;132;634;4368
11036;Torre Alháquime;499;0;304;0;0;195;0;136;0;39;324
11037;Trebujena;2885;8;1546;16;6;1304;5;1127;76;331;1351
11038;Ubrique;5505;64;3170;86;49;2066;70;200;3073;305;1927
11039;Vejer de la Frontera;5060;43;2975;12;25;1995;10;1485;124;483;2968
11040;Villaluenga del Rosario;450;0;232;0;0;216;2;10;22;240;178
11041;Villamartín;6350;22;3113;17;8;3173;17;2329;78;580;3363
11042;Zahara;1328;3;704;5;7;602;7;486;18;293;531
11901;Benalup-Casas Viejas;2698;7;1650;12;5;1004;20;364;40;530;1764
11902;San José del Valle;2497;64;1490;10;8;916;9;573;264;631;1029
12001;Atzeneta del Maestrat;93;0;40;1;2;45;5;15;25;8;45
12002;Aín;48;2;34;1;1;9;1;11;9;9;19
12003;Albocàsser;290;12;131;7;3;127;10;8;9;37;236
12004;Alcalà de Xivert;3108;45;1503;23;58;1461;18;393;77;109;2529
12005;Alcora, l';2175;76;1283;134;40;589;53;45;801;145;1184
12006;Alcudia de Veo;91;2;42;2;1;41;3;0;0;5;86
12007;Alfondeguilla;45;0;28;0;0;17;0;16;1;6;22
12008;Algimia de Almonacid;19;1;10;0;0;8;0;1;5;2;11
12009;Almazora/Almassora;4857;160;2649;194;111;1644;99;256;940;555;3106
12010;Almedíjar;50;1;27;0;0;20;2;7;5;10;28
12011;Almenara;2119;188;1338;26;79;473;15;793;238;97;991
12012;Altura;399;9;238;7;13;126;6;69;68;46;216
12013;Arañuel;34;1;23;1;0;9;0;5;14;2;13
12014;Ares del Maestrat;24;1;8;0;0;13;2;6;0;2;16
12015;Argelita;14;0;10;0;0;4;0;9;0;0;5
12016;Artana;450;46;231;4;30;138;1;136;19;19;276
12017;Ayódar;26;0;12;0;1;13;0;5;0;0;21
12018;Azuébar;51;0;36;1;1;13;0;10;8;0;33
12020;Barracas;68;1;21;0;0;42;4;5;0;7;56
12021;Betxí;4834;62;3036;6;34;1687;9;1256;84;50;3444
12022;Bejís;34;3;20;1;0;10;0;0;2;11;21
12024;Benafer;22;0;12;0;0;9;1;6;2;3;11
12025;Benafigos;24;0;17;0;0;7;0;7;0;0;17
12026;Benasal;151;3;54;6;3;84;1;5;20;11;115
12027;Benicarló;5332;329;2504;123;151;2123;102;747;374;508;3703
12028;Benicasim/Benicàssim;7754;107;3466;39;97;4003;42;58;68;192;7436
12029;Benlloch;108;1;67;3;1;34;2;24;4;23;57
12031;Borriol;588;8;358;37;12;165;8;26;72;214;276
12032;Borriana/Burriana;6998;185;3620;116;116;2856;105;627;531;471;5369
12033;Cabanes;594;26;281;13;20;239;15;47;157;38;352
12034;Càlig;476;187;162;4;68;44;11;299;32;44;101
12036;Canet lo Roig;31;0;20;1;1;9;0;6;4;2;19
12037;Castell de Cabres;4;0;3;0;0;1;0;0;0;0;4
12038;Castellfort;20;2;5;0;0;13;0;0;0;3;17
12039;Castellnovo;83;6;43;0;2;31;1;8;3;8;64
12040;Castellón de la Plana/Castelló de la Plana;43177;1054;20700;951;899;18611;962;556;2138;4425;36058
12041;Castillo de Villamalefa;49;0;37;0;1;11;0;5;0;2;42
12042;Catí;78;2;37;4;10;22;3;9;21;10;38
12043;Caudiel;75;2;39;6;3;23;2;1;14;8;52
12044;Cervera del Maestre;65;5;49;1;0;10;0;1;4;36;24
12045;Cinctorres;38;0;20;2;3;12;1;7;0;14;17
12046;Cirat;19;0;13;1;0;5;0;5;3;1;10
12048;Cortes de Arenoso;37;1;22;3;0;9;2;6;18;0;13
12049;Costur;13;0;8;0;0;5;0;6;1;0;6
12050;Coves de Vinromà, les;264;3;159;17;3;80;2;46;70;23;125
12051;Culla;39;2;17;0;2;16;2;4;2;1;32
12052;Chert/Xert;39;1;21;1;1;14;1;11;4;10;14
12053;Chilches/Xilxes;1095;29;647;13;27;372;7;303;39;24;729
12055;Chodos/Xodos;15;0;11;0;0;4;0;5;0;0;10
12056;Chóvar;77;1;50;0;1;25;0;0;4;1;72
12057;Eslida;32;1;11;0;0;20;0;11;4;0;17
12058;Espadilla;14;0;8;0;0;6;0;5;0;0;9
12059;Fanzara;62;0;23;0;0;38;1;6;0;5;51
12060;Figueroles;165;18;117;5;0;24;1;6;82;4;73
12061;Forcall;73;1;33;1;0;38;0;5;1;3;64
12063;Fuente la Reina;13;0;8;0;0;5;0;5;0;1;7
12064;Fuentes de Ayódar;39;1;27;1;1;9;0;5;0;1;33
12065;Gaibiel;43;2;27;2;0;12;0;0;1;4;38
12067;Geldo;43;0;28;4;1;7;3;1;2;16;24
12068;Herbés;35;0;25;0;0;10;0;0;0;0;35
12069;Higueras;9;0;7;0;0;2;0;9;0;0;0
12070;Jana, la;52;1;33;2;0;16;0;10;3;15;24
12071;Jérica;254;2;134;0;11;104;3;13;21;16;204
12072;Lucena del Cid;226;6;84;8;2;121;5;1;75;3;147
12073;Ludiente;28;0;15;0;0;13;0;5;0;6;17
12074;Llosa, la;648;27;492;0;18;111;0;249;3;4;392
12075;Mata de Morella, la;26;1;13;0;0;12;0;8;2;16;0
12076;Matet;32;0;31;0;0;1;0;0;1;7;24
12077;Moncofa;1818;71;979;26;41;690;11;268;141;166;1243
12078;Montán;61;1;23;1;2;32;2;10;0;2;49
12079;Montanejos;232;6;113;2;10;96;5;5;2;6;219
12080;Morella;589;15;307;12;37;208;10;21;38;50;480
12081;Navajas;113;4;70;0;1;36;2;27;3;9;74
12082;Nules;3963;144;2521;48;179;1031;40;1207;375;126;2255
12083;Olocau del Rey;12;0;8;0;0;4;0;1;2;1;8
12084;Onda;4841;121;2799;261;91;1446;123;50;1404;477;2910
12085;Oropesa del Mar/Orpesa;4561;379;1668;89;408;1934;83;13;39;307;4202
12087;Palanques;7;0;2;2;0;3;0;0;0;4;3
12088;Pavías;14;0;10;0;0;4;0;9;0;0;5
12089;Peníscola/Peñíscola;5219;92;2485;31;122;2453;36;86;125;187;4821
12090;Pina de Montalgrao;17;0;10;0;0;7;0;5;2;0;10
12091;Portell de Morella;41;1;27;2;0;9;2;6;11;6;18
12092;Puebla de Arenoso;32;0;18;0;2;11;1;0;5;7;20
12093;Pobla de Benifassà, la;47;0;30;2;2;13;0;13;0;10;24
12094;Pobla Tornesa, la;296;5;194;15;2;73;7;1;70;10;215
12095;Ribesalbes;247;5;184;5;1;51;1;1;25;54;167
12096;Rossell;100;5;48;5;0;41;1;5;21;4;70
12097;Sacañet;4;0;3;0;0;1;0;0;0;0;4
12098;Salzadella, la;138;3;92;1;4;37;1;50;11;18;59
12099;Sant Jordi/San Jorge;336;4;203;14;2;102;11;15;29;48;244
12100;Sant Mateu;302;8;156;6;11;113;8;25;41;41;195
12101;San Rafael del Río;60;0;32;4;1;21;2;17;12;6;25
12102;Santa Magdalena de Pulpis;87;0;44;2;0;40;1;14;4;2;67
12103;Sarratella;12;0;6;0;0;6;0;6;0;1;5
12104;Segorbe;1606;24;775;27;29;722;29;358;140;129;979
12105;Sierra Engarcerán;102;2;72;4;0;22;2;8;8;39;47
12106;Soneja;198;1;123;5;5;63;1;6;64;5;123
12107;Sot de Ferrer;45;0;22;0;0;22;1;25;1;0;19
12108;Sueras/Suera;52;0;38;0;0;14;0;0;3;8;41
12109;Tales;103;3;37;0;1;61;1;11;0;2;90
12110;Teresa;34;0;28;0;0;6;0;15;1;0;18
12111;Tírig;28;2;18;1;0;7;0;5;0;14;9
12112;Todolella;35;1;24;2;1;7;0;13;0;13;9
12113;Toga;23;0;9;1;0;13;0;4;0;2;17
12114;Torás;30;0;17;0;0;13;0;1;3;4;22
12115;Toro, El;58;0;29;0;0;29;0;1;4;4;49
12116;Torralba del Pinar;17;0;7;0;0;10;0;7;0;1;9
12117;Torreblanca;1038;16;495;13;13;492;9;250;17;86;685
12118;Torrechiva;25;1;16;1;0;5;2;5;0;0;20
12119;Torre d'En Besora, la;32;0;21;1;1;8;1;14;2;1;15
12120;Torre d'en Doménec, la;33;0;26;0;0;7;0;8;1;11;13
12121;Traiguera;160;28;80;3;6;41;2;50;42;28;40
12122;Useras/Useres, les;96;0;71;1;2;21;1;38;8;0;50
12123;Vallat;15;0;8;0;0;7;0;8;0;0;7
12124;Vall d'Alba;779;25;437;35;8;264;10;88;90;46;555
12125;Vall de Almonacid;33;0;23;1;2;7;0;14;0;6;13
12126;Vall d'Uixó, la;6235;229;3714;120;102;1966;104;636;1025;991;3583
12127;Vallibona;23;0;11;1;1;10;0;6;0;2;15
12128;Vilafamés;572;8;351;59;8;130;16;12;356;14;190
12129;Villafranca del Cid/Vilafranca;279;4;181;2;8;83;1;16;45;35;183
12130;Villahermosa del Río;192;3;82;0;0;107;0;8;4;15;165
12131;Villamalur;4;0;4;0;0;0;0;0;0;1;3
12132;Vilanova d'Alcolea;43;0;26;2;3;10;2;2;2;7;32
12133;Villanueva de Viver;13;0;7;0;0;6;0;6;0;0;7
12134;Vilar de Canes;20;1;10;0;0;9;0;1;1;1;17
12135;Vila-real;18602;250;12982;318;240;4632;180;887;1079;749;15887
12136;Vilavella, la;957;25;512;3;41;369;7;199;24;17;717
12137;Villores;10;0;6;0;0;4;0;0;0;4;6
12138;Vinaròs;6648;127;3874;105;142;2289;111;649;628;704;4667
12139;Vistabella del Maestrazgo;58;0;42;0;1;13;2;9;1;0;48
12140;Viver;234;4;82;6;7;131;4;13;1;53;167
12141;Zorita del Maestrazgo;19;2;13;0;1;3;0;5;3;1;10
12142;Zucaina;10;0;6;1;0;3;0;0;1;1;8
12901;Alquerías del Niño Perdido;2775;215;1787;21;41;699;12;1393;70;40;1272
12902;Sant Joan de Moró;385;26;208;15;11;117;8;5;129;13;238
13001;Abenójar;257;5;126;5;0;119;2;43;11;41;162
13002;Agudo;287;4;151;1;5;123;3;13;43;48;183
13003;Alamillo;157;0;53;0;1;102;1;1;5;11;140
13004;Albaladejo;678;6;499;0;0;171;2;395;104;38;141
13005;Alcázar de San Juan;7905;167;4452;184;114;2879;109;969;648;1741;4547
13006;Alcoba;108;4;52;0;1;50;1;11;0;3;94
13007;Alcolea de Calatrava;168;5;90;0;1;72;0;3;4;22;139
13008;Alcubillas;374;0;286;1;0;86;1;258;6;24;86
13009;Aldea del Rey;405;2;262;1;1;139;0;170;2;156;77
13010;Alhambra;545;1;381;5;1;156;1;342;18;27;158
13011;Almadén;887;11;419;17;11;421;8;62;59;77;689
13012;Almadenejos;51;0;31;2;0;18;0;11;1;2;37
13013;Almagro;2813;26;1483;18;30;1235;21;569;306;233;1705
13014;Almedina;230;0;188;0;0;42;0;186;3;1;40
13015;Almodóvar del Campo;1174;22;667;22;8;449;6;79;268;366;461
13016;Almuradiel;279;5;96;3;4;169;2;16;1;21;241
13017;Anchuras;139;4;72;1;0;61;1;46;4;10;79
13018;Arenas de San Juan;1386;3;1131;4;4;244;0;428;161;593;204
13019;Argamasilla de Alba;2784;26;1814;12;15;909;8;1699;94;144;847
13020;Argamasilla de Calatrava;942;40;527;17;6;342;10;26;113;200;603
13021;Arroba de los Montes;60;1;32;0;1;26;0;0;0;14;46
13022;Ballesteros de Calatrava;152;0;114;2;4;32;0;18;6;37;91
13023;Bolaños de Calatrava;3169;74;1846;28;65;1147;9;1078;352;387;1352
13024;Brazatortas;436;4;363;2;7;57;3;25;6;45;360
13025;Cabezarados;41;1;23;1;0;16;0;7;0;1;33
13026;Cabezarrubias del Puerto;63;0;33;1;0;29;0;8;1;8;46
13027;Calzada de Calatrava;943;11;607;3;5;317;0;294;24;107;518
13028;Campo de Criptana;3993;68;2603;108;47;1119;48;1300;325;1014;1354
13029;Cañada de Calatrava;23;0;14;1;0;8;0;0;0;17;6
13030;Caracuel de Calatrava;33;0;17;0;1;15;0;2;0;1;30
13031;Carrión de Calatrava;797;7;538;9;5;236;2;215;13;212;357
13032;Carrizosa;479;0;296;0;1;181;1;184;145;76;74
13033;Castellar de Santiago;1121;0;939;5;1;176;0;596;25;122;378
13034;Ciudad Real;21600;403;10248;336;356;9965;292;1216;443;2702;17239
13035;Corral de Calatrava;189;3;115;2;3;66;0;9;27;47;106
13036;Cortijos, Los;132;1;80;0;0;50;1;16;5;32;79
13037;Cózar;1024;4;823;2;0;195;0;531;12;232;249
13038;Chillón;684;6;375;3;2;294;4;5;14;118;547
13039;Daimiel;5461;87;3196;54;24;2073;27;1024;277;882;3278
13040;Fernán Caballero;353;15;223;3;1;107;4;95;0;60;198
13041;Fontanarejo;31;1;15;0;0;15;0;3;0;10;18
13042;Fuencaliente;220;0;144;0;0;76;0;44;6;39;131
13043;Fuenllana;64;0;38;1;0;25;0;27;0;2;35
13044;Fuente el Fresno;841;9;515;8;2;307;0;406;34;120;281
13045;Granátula de Calatrava;281;2;215;1;0;62;1;132;3;36;110
13046;Guadalmez;103;1;56;3;0;43;0;2;12;17;72
13047;Herencia;3182;22;2063;24;15;1045;13;847;362;275;1698
13048;Hinojosas de Calatrava;102;0;46;5;0;51;0;0;4;18;80
13049;Horcajo de los Montes;153;6;77;2;0;65;3;14;12;18;109
13050;Labores, Las;408;1;118;0;1;288;0;85;19;23;281
13051;Luciana;77;1;49;2;0;24;1;7;5;17;48
13052;Malagón;2097;20;1246;14;20;787;10;433;281;295;1088
13053;Manzanares;4606;76;2610;143;37;1687;53;731;828;331;2716
13054;Membrilla;2017;22;1544;12;13;423;3;1025;42;366;584
13055;Mestanza;166;2;94;4;0;66;0;8;0;38;120
13056;Miguelturra;1611;34;903;65;19;578;12;50;104;224;1233
13057;Montiel;532;5;411;1;1;114;0;70;30;279;153
13058;Moral de Calatrava;2508;23;1789;8;10;674;4;1442;55;310;701
13059;Navalpino;27;0;15;0;0;12;0;3;0;3;21
13060;Navas de Estena;30;0;12;0;0;17;1;3;0;4;23
13061;Pedro Muñoz;3084;29;2185;37;13;805;15;1619;336;388;741
13062;Picón;144;7;88;1;4;43;1;19;14;42;69
13063;Piedrabuena;740;16;443;15;5;256;5;65;31;126;518
13064;Poblete;304;0;177;8;3;98;18;10;17;88;189
13065;Porzuna;588;5;371;3;1;204;4;32;40;178;338
13066;Pozuelo de Calatrava;696;8;461;8;4;209;6;193;92;227;184
13067;Pozuelos de Calatrava, Los;53;1;29;4;0;18;1;20;0;9;24
13068;Puebla de Don Rodrigo;249;8;147;3;1;88;2;55;1;20;173
13069;Puebla del Príncipe;223;1;154;2;3;63;0;90;12;14;107
13070;Puerto Lápice;602;5;423;3;0;171;0;97;7;165;333
13071;Puertollano;11548;231;7038;216;134;3793;136;116;2838;2622;5972
13072;Retuerta del Bullaque;442;7;262;2;4;166;1;67;9;54;312
13073;Saceruela;71;1;34;1;0;35;0;11;0;1;59
13074;San Carlos del Valle;655;0;479;4;1;171;0;463;10;30;152
13075;San Lorenzo de Calatrava;34;0;20;0;0;14;0;1;0;7;26
13076;Santa Cruz de los Cáñamos;212;0;154;0;0;58;0;132;14;6;60
13077;Santa Cruz de Mudela;1474;47;1080;21;19;302;5;171;250;244;809
13078;Socuéllamos;6487;110;4354;53;45;1904;21;3549;390;701;1847
13079;Solana, La;5809;80;3813;22;82;1787;25;2499;393;642;2275
13080;Solana del Pino;111;0;72;0;0;39;0;1;1;23;86
13081;Terrinches;213;0;159;0;0;53;1;79;20;17;97
13082;Tomelloso;14867;178;9818;159;172;4412;128;6209;1032;2344;5282
13083;Torralba de Calatrava;846;19;538;16;27;240;6;221;114;87;424
13084;Torre de Juan Abad;573;7;432;3;3;127;1;240;15;88;230
13085;Torrenueva;939;9;703;4;2;219;2;371;39;167;362
13086;Valdemanco del Esteras;55;0;39;0;0;16;0;0;0;7;48
13087;Valdepeñas;8832;132;5557;96;93;2859;95;1926;582;948;5376
13088;Valenzuela de Calatrava;267;0;183;1;0;83;0;139;5;34;89
13089;Villahermosa;501;3;335;8;11;139;5;76;16;178;231
13090;Villamanrique;648;3;455;0;3;186;1;243;6;152;247
13091;Villamayor de Calatrava;96;1;59;1;1;34;0;22;12;10;52
13092;Villanueva de la Fuente;481;3;348;1;6;122;1;105;33;234;109
13093;Villanueva de los Infantes;2154;14;1542;18;11;551;18;783;75;308;988
13094;Villanueva de San Carlos;63;1;35;1;3;23;0;2;0;5;56
13095;Villar del Pozo;23;0;14;0;0;9;0;1;0;4;18
13096;Villarrubia de los Ojos;2623;35;1688;21;35;833;11;1076;291;347;909
13097;Villarta de San Juan;1211;1;790;3;2;412;3;708;76;79;348
13098;Viso del Marqués;593;11;415;5;4;157;1;145;19;89;340
13901;Robledo, El;122;2;76;0;3;41;0;7;10;18;87
13902;Ruidera;148;1;77;1;1;68;0;10;5;25;108
13903;Arenales de San Gregorio;425;0;350;0;0;75;0;162;4;17;242
13904;Llanos del Caudillo;492;1;352;4;0;135;0;384;1;21;86
14001;Adamuz;6835;30;4277;2;4;2517;5;5699;39;399;698
14002;Aguilar de la Frontera;13012;14;7281;16;15;5576;110;9950;179;1319;1564
14003;Alcaracejos;512;3;277;1;1;230;0;87;9;46;370
14004;Almedinilla;2561;4;1699;5;0;851;2;1284;167;348;762
14005;Almodóvar del Río;3855;21;2192;19;7;1602;14;1896;80;708;1171
14006;Añora;471;21;298;2;1;148;1;67;19;177;208
14007;Baena;14348;28;9379;39;33;4829;40;10160;274;1531;2383
14008;Belalcázar;953;2;558;2;3;387;1;433;31;227;262
14009;Belmez;475;4;283;7;8;170;3;56;27;91;301
14010;Benamejí;3724;9;2211;6;6;1488;4;2623;91;602;408
14011;Blázquez, Los;275;2;146;0;0;127;0;57;16;99;103
14012;Bujalance;8441;19;5159;5;10;3240;8;6472;142;1121;706
14013;Cabra;14987;66;8720;36;29;6101;35;11506;417;1011;2053
14014;Cañete de las Torres;5771;6;3923;3;3;1834;2;4956;52;337;426
14015;Carcabuey;1959;4;1359;7;4;585;0;1210;87;236;426
14016;Cardeña;388;1;192;0;2;192;1;112;4;88;184
14017;Carlota, La;5689;30;3080;40;15;2488;36;1859;371;1268;2191
14018;Carpio, El;2626;7;1798;9;8;791;13;609;231;1087;699
14019;Castro del Río;9855;10;6126;8;6;3681;24;6595;121;1101;2038
14020;Conquista;193;1;92;2;1;97;0;63;1;43;86
14021;Córdoba;122597;1644;65829;1600;1366;50565;1593;24168;4917;13344;80168
14022;Doña Mencía;4039;14;2321;1;2;1695;6;2760;19;531;729
14023;Dos Torres;688;8;327;0;1;348;4;99;65;142;382
14024;Encinas Reales;1655;7;1036;5;1;604;2;1185;63;267;140
14025;Espejo;3104;3;1936;3;1;1157;4;2386;28;307;383
14026;Espiel;1444;23;1166;29;4;217;5;190;885;167;202
14027;Fernán-Núñez;2872;17;1643;8;22;1168;14;1311;73;576;912
14028;Fuente la Lancha;219;0;99;0;0;120;0;5;0;103;111
14029;Fuente Obejuna;1368;12;916;9;11;418;2;494;42;303;529
14030;Fuente Palmera;7833;73;4328;35;77;3292;28;4864;522;1310;1137
14031;Fuente-Tójar;738;0;459;0;0;279;0;498;46;10;184
14032;Granjuela, La;161;0;92;0;0;69;0;16;0;78;67
14033;Guadalcázar;1189;5;625;0;1;556;2;920;19;129;121
14034;Guijo, El;127;0;53;0;0;65;9;27;0;7;93
14035;Hinojosa del Duque;1322;11;834;15;9;441;12;119;51;579;573
14036;Hornachuelos;9104;29;6250;21;9;2790;5;7173;24;1053;854
14037;Iznájar;4565;7;2913;8;4;1627;6;3482;71;349;663
14038;Lucena;20013;246;11614;236;112;7658;147;11107;1947;1891;5068
14039;Luque;2825;9;1851;5;2;957;1;2082;83;322;338
14040;Montalbán de Córdoba;9826;11;5862;9;4;3934;6;9025;159;378;264
14041;Montemayor;2533;5;1466;8;5;1041;8;1798;128;295;312
14042;Montilla;12057;64;6516;44;40;5358;35;7085;560;1113;3299
14043;Montoro;8867;18;5246;22;15;3546;20;5838;296;839;1894
14044;Monturque;1561;9;889;3;3;654;3;956;68;206;331
14045;Moriles;2305;7;1277;2;0;1016;3;1381;78;469;377
14046;Nueva Carteya;5209;35;3156;3;8;2005;2;3995;18;565;631
14047;Obejo;360;1;223;0;0;136;0;209;0;58;93
14048;Palenciana;1012;15;639;1;4;351;2;708;37;28;239
14049;Palma del Río;30074;79;18289;128;47;11444;87;18831;1204;2027;8012
14050;Pedro Abad;1069;8;551;3;8;497;2;362;64;184;459
14051;Pedroche;448;0;179;0;0;266;3;104;16;106;222
14052;Peñarroya-Pueblonuevo;2220;52;1166;27;44;890;41;33;94;544;1549
14053;Posadas;5340;18;2815;13;21;2460;13;3307;117;504;1412
14054;Pozoblanco;6521;79;3955;86;37;2296;68;1595;437;1134;3355
14055;Priego de Córdoba;12350;72;7358;57;29;4781;53;6443;847;1724;3336
14056;Puente Genil;17446;65;10348;52;61;6811;109;9824;1685;2226;3711
14057;Rambla, La;5189;9;3048;11;6;2046;69;3686;192;443;868
14058;Rute;8068;23;5026;22;10;2977;10;5826;473;765;1004
14059;San Sebastián de los Ballesteros;464;0;217;0;3;244;0;185;5;160;114
14060;Santaella;10619;23;6370;4;8;4205;9;9161;124;454;880
14061;Santa Eufemia;272;0;139;1;1;131;0;33;3;134;102
14062;Torrecampo;345;1;171;0;0;173;0;9;2;177;157
14063;Valenzuela;1846;1;1315;1;2;526;1;1579;18;166;83
14064;Valsequillo;131;1;60;0;0;70;0;22;0;76;33
14065;Victoria, La;901;1;543;3;1;351;2;503;3;227;168
14066;Villa del Río;3443;37;2159;16;17;1199;15;1855;461;532;595
14067;Villafranca de Córdoba;1883;11;1123;17;7;718;7;645;111;370;757
14068;Villaharta;246;0;57;1;2;186;0;13;2;10;221
14069;Villanueva de Córdoba;2725;11;1567;10;6;1122;9;912;116;594;1103
14070;Villanueva del Duque;376;1;240;4;1;127;3;30;6;90;250
14071;Villanueva del Rey;341;1;234;1;3;102;0;162;37;68;74
14072;Villaralto;508;1;218;3;1;281;4;250;38;126;94
14073;Villaviciosa de Córdoba;1029;23;608;7;5;382;4;454;39;256;280
14074;Viso, El;750;4;467;7;1;271;0;134;14;266;336
14075;Zuheros;737;5;393;2;0;333;4;390;56;113;178
15001;Abegondo;704;15;388;26;11;253;11;44;59;37;564
15002;Ames;5466;104;3045;92;128;1995;102;31;158;425;4852
15003;Aranga;150;5;79;7;3;56;0;13;20;4;113
15004;Ares;474;9;192;7;9;250;7;23;12;29;410
15005;Arteixo;9301;252;3885;149;262;4591;162;13;1543;877;6868
15006;Arzúa;1395;22;679;24;18;626;26;98;60;45;1192
15007;Baña, A;291;7;133;6;4;139;2;17;19;38;217
15008;Bergondo;3960;80;2186;107;45;1473;69;11;794;722;2433
15009;Betanzos;2121;39;948;88;40;918;88;4;109;156;1852
15010;Boimorto;215;7;114;2;18;69;5;17;2;42;154
15011;Boiro;6060;83;2878;62;105;2872;60;109;1044;482;4425
15012;Boqueixón;463;12;225;22;8;183;13;19;67;65;312
15013;Brión;409;32;222;6;10;131;8;23;26;66;294
15014;Cabana de Bergantiños;478;5;166;7;6;293;1;8;212;71;187
15015;Cabanas;951;10;328;31;7;559;16;6;36;155;754
