Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
04008,132,53,79
04009,88,42,46
04010,353,172,181
04011,679,351,328
04012,56,50,6
04013,58708,28969,29739
04014,55,40,15
04015,28,21,7
04016,2966,2236,730
04017,416,263,153
04018,233,67,166
04019,155,60,95
04020,95,56,39
04021,55,26,29
04022,75,39,36
04023,22,10,12
04024,650,322,328
04026,14,7,7
04027,90,50,40
04028,102,59,43
04029,3373,1873,1500
04030,296,159,137
04031,1276,1078,198
04032,2005,1510,495
04033,42,16,26
04034,33,21,12
04035,7706,5842,1864
04036,76,31,45
04037,369,194,175
04038,669,417,252
04041,149,74,75
04043,114,61,53
04044,338,248,90
04045,350,171,179
04046,207,92,115
04047,742,472,270
04048,697,514,183
04049,1285,664,621
04050,442,254,188
04051,89,55,34
04052,3229,2047,1182
04053,4017,2614,1403
04054,239,102,137
04055,103,69,34
04056,27,6,21
04057,359,174,185
04058,71,31,40
04059,278,147,131
04060,475,277,198
04061,220,118,102
04062,846,549,297
04063,311,164,147
04064,5582,2460,3122
04065,105,53,52
04066,13174,7405,5769
04067,141,80,61
04068,33,13,20
04069,648,354,294
04070,430,220,210
04071,91,57,34
04072,90,56,34
04073,52,27,25
04074,736,344,392
04075,8462,6087,2375
04076,286,161,125
04077,166,58,108
04078,203,123,80
04079,19272,10272,9000
04080,39,20,19
04081,69,32,37
04082,100,42,58
04083,416,232,184
04084,51,20,31
04085,122,60,62
04086,986,628,358
04087,48,23,25
04088,1171,751,420
04089,166,66,100
04090,169,84,85
04091,116,67,49
04092,821,485,336
04093,329,202,127
04094,52,15,37
04095,290,153,137
04096,177,98,79
04097,38,24,14
04098,247,141,106
04099,1062,528,534
04100,4496,2562,1934
04101,2884,1572,1312
04102,9640,5318,4322
04103,365,169,196
04901,195,78,117
04902,45784,23506,22278
04903,3976,2352,1624
05001,185,128,57
05002,309,180,129
05005,11,8,3
05007,7,6,1
05008,18,6,12
05010,13,11,2
05012,11,3,8
05013,246,156,90
05014,865,437,428
05015,10,6,4
05016,4268,1687,2581
05017,5,5,0
05018,3,2,1
05019,15481,7134,8347
05021,473,186,287
05022,191,122,69
05023,30,16,14
05024,13,9,4
05025,2,1,1
05026,23,6,17
05027,24,12,12
05029,12,6,6
05030,10,9,1
05033,8,7,1
05034,30,24,6
05035,9,7,2
05036,8,4,4
05037,38,18,20
05038,12,7,5
05039,2,1,1
05040,3,3,0
05041,147,79,68
05042,762,262,500
05043,7,5,2
05044,22,16,6
05045,10,4,6
05046,17,12,5
05047,870,455,415
05048,11,10,1
