Codigo Municipio,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as
31902,455,610,220,45
31903,585,1055,325,345
48019,440,655,220,135
20023,35,75,*,20
21012,25,50,25,15
37050,*,10,*,*
37051,*,10,10,10
10028,*,15,20,*
05030,*,*,*,*
47019,*,10,*,*
50048,*,*,*,*
28021,50,65,40,5
31054,50,65,35,10
10029,30,50,30,45
09052,*,10,*,*
28020,*,15,*,*
34032,*,5,*,5
17019,245,285,120,85
17020,290,765,215,60
35007,30,25,40,80
15009,1365,1875,495,225
31055,15,35,25,15
46070,1770,2890,740,425
16035,*,50,20,15
12021,425,745,355,145
17021,10,15,*,*
26030,*,*,*,*
44041,*,10,*,*
03043,215,565,215,85
46071,40,90,30,15
31253,10,20,*,5
20024,45,65,*,*
50901,*,25,15,5
22057,40,60,20,*
02016,*,75,55,60
06020,65,295,110,120
22058,10,30,10,*
22059,85,195,60,45
03044,505,790,365,185
08023,600,1245,440,135
50050,5,10,10,*
48020,28920,45205,16780,11785
33006,215,260,195,*
22060,100,225,65,25
22061,960,1280,310,290
07008,655,945,310,180
25055,30,15,*,*
50051,45,155,65,40
22062,*,55,*,*
43027,30,30,10,*
43028,255,430,215,110
17022,845,1455,410,325
22063,10,35,10,10
50052,5,20,*,*
17234,25,35,10,*
31056,10,25,*,10
42036,*,*,*,*
30011,370,705,410,270
43029,40,50,20,15
44042,5,20,10,10
32012,105,105,35,95
17023,2925,5310,1750,1400
05033,5,20,10,25
05034,*,*,*,*
05035,*,20,5,*
14011,45,105,65,20
22064,15,20,20,*
44043,*,25,*,*
42037,*,*,*,*
37052,15,30,10,35
34033,*,*,*,*
17029,30,30,10,5
34035,15,10,10,*
34034,*,10,5,10
28022,2840,6315,2220,840
33007,135,270,110,95
28023,590,815,280,95
26031,*,15,5,10
47020,15,35,15,25
32013,380,405,145,65
24020,25,45,25,50
46072,295,580,195,265
40032,65,85,40,25
47021,*,*,*,*
47022,10,10,*,*
19052,*,*,*,*
37054,25,40,15,20
06021,55,170,65,40
47023,280,430,200,70
37055,*,10,5,10
02017,*,115,95,90
05036,15,20,10,10
10030,*,95,55,30
05037,20,35,35,20
15010,185,230,85,210
15011,1655,2960,765,565
32014,195,180,95,50
13023,480,1590,740,610
47024,*,35,20,30
46073,130,225,65,35
41016,705,1080,445,305
21013,910,1995,785,370
32015,70,150,65,50
22066,85,110,70,20
03045,45,40,*,*
17024,35,65,*,*
22067,10,10,*,*
21014,420,655,365,235
43030,50,65,20,30
02018,30,160,65,50
16036,10,25,15,5
05038,*,15,10,10
02019,135,295,205,180
46074,340,410,125,65
24021,105,320,105,95
15012,395,565,250,175
50053,90,130,35,45
22068,*,*,*,10
50054,*,10,*,*
25057,*,*,15,*
17025,75,300,45,30
44044,*,15,*,15
29030,40,160,50,60
25058,585,690,395,170
43031,135,260,110,70
50055,380,625,235,75
42038,*,*,*,*
41017,1320,2530,865,445
11010,440,935,410,545
42039,15,35,25,15
45021,215,345,295,55
17026,60,120,20,*
08024,40,105,15,*
24022,*,*,*,*
12032,2765,4550,1655,815
12031,400,815,190,90
11011,135,220,125,100
25059,60,150,*,*
43032,70,120,35,*
43033,65,140,50,35
10031,15,35,*,10
50056,45,50,35,15
37056,*,10,10,*
27008,115,260,80,65
49024,75,115,40,50
37057,15,25,10,15
25056,30,70,*,*
09054,*,10,*,*
05039,*,*,10,*
43034,80,85,15,30
47025,5,10,10,15
34036,15,35,10,*
28024,*,30,10,*
09055,*,10,10,*
13024,45,160,65,45
24023,15,25,35,30
50057,115,270,90,80
28025,25,65,45,30
17027,345,535,160,105
41018,665,1590,820,475
38008,385,935,320,380
38009,405,590,300,150
49025,*,10,20,20
49026,*,30,15,20
40033,*,5,*,*
26032,*,10,*,*
19053,145,260,160,115
49027,20,20,15,10
49028,10,20,10,5
37058,*,5,*,10
26033,15,30,15,15
15013,680,955,310,305
26034,75,110,30,*
09056,490,1085,225,245
44045,25,55,40,15
22069,40,70,15,35
10032,105,270,125,125
08025,120,225,90,40
08026,*,25,15,*
28026,915,1020,425,190
17028,15,60,25,15
42041,*,*,*,*
50058,*,10,*,*
18032,35,45,25,*
16038,5,10,*,*
19054,15,25,10,15
16039,30,95,45,35
16040,*,10,*,*
37059,*,20,10,15
45022,25,80,30,*
37060,*,25,15,10
34037,*,55,20,25
38010,355,630,330,240
16041,30,55,40,20
44046,5,10,*,*
36004,825,1870,875,470
46075,10,20,15,*
46076,65,140,50,*
09057,20,15,*,*
07009,50,180,45,*
42042,*,*,*,*
28027,140,235,70,70
14012,350,1100,530,265
19055,*,10,*,*
50059,40,165,70,25
05040,*,10,*,15
50060,5,35,15,10
30012,560,1490,830,420
09058,45,25,35,*
07010,585,780,205,60
46077,650,1500,525,250
31057,110,335,120,105
44047,5,30,5,10
27902,1040,1110,290,295
50061,15,50,15,*
49029,30,65,70,65
50062,160,240,95,60
42043,275,630,305,245
24024,*,90,50,80
29031,115,280,100,125
05041,45,185,115,65
09059,10845,23585,8895,6930
31059,10,30,20,*
41019,380,735,315,285
45023,210,355,135,25
06022,180,460,195,155
46078,2905,5045,1850,1245
31060,1150,2315,735,770
24025,15,40,10,15
45024,85,145,105,90
03046,295,420,200,45
18033,*,35,25,20
19057,*,10,*,5
28028,155,305,60,30
50063,10,10,*,*
47026,*,10,*,*
34038,15,35,25,25
49030,*,10,10,*
24026,50,185,115,110
34039,*,10,*,5
09060,15,25,15,10
31061,*,10,10,*
48021,150,195,50,85
43035,20,40,25,*
37061,10,45,15,20
40034,*,20,5,*
15014,325,655,285,390
25060,*,10,*,*
15015,330,365,170,115
17031,10,35,15,10
12033,335,380,100,65
17030,85,160,25,*
31062,60,210,90,70
28029,50,100,30,*
19058,695,1255,450,130
08027,80,120,35,10
50064,40,95,20,20
45025,135,200,80,65
40035,20,10,10,5
49031,5,25,10,10
45026,20,35,25,15
10033,25,75,35,15
24027,90,210,70,45
09061,10,30,15,10
37063,*,*,5,10
06023,270,750,285,180
37065,25,50,20,30
06024,80,180,95,55
10034,20,70,20,30
37062,5,10,*,10
45027,*,50,65,20
13025,20,55,25,10
13026,15,55,65,40
05042,10,25,15,10
41020,810,1855,820,1130
05043,5,5,5,5
05044,*,45,15,20
21015,50,90,50,70
26035,*,*,*,*
39012,710,1110,380,220
09062,*,*,10,*
39013,20,45,15,30
47027,260,405,115,110
47028,*,*,*,*
40036,25,100,50,45
10035,85,360,110,135
05045,*,10,10,5
25061,*,10,*,*
50065,*,5,*,*
14013,1050,2595,1395,1160
44048,*,5,*,*
43036,100,120,70,40
23017,25,235,120,185
33008,135,165,195,95
33009,155,135,40,30
31063,*,15,*,10
42044,*,10,*,*
42045,15,45,30,30
08028,90,155,75,40
08029,225,570,245,105
28030,190,290,120,105
37067,240,585,145,95
10036,*,60,20,30
47029,*,10,*,*
24028,20,65,35,20
24029,55,115,55,55
37068,30,50,25,25
08030,525,980,245,185
39014,65,100,65,45
24030,440,790,235,110
10037,5840,11550,5380,3480
10038,*,20,*,*
18034,20,100,20,45
10039,15,70,25,40
28031,115,405,120,130
17032,170,390,35,60
18035,65,240,120,80
11012,8100,15335,6955,6355
31064,170,250,100,40
50066,295,310,30,160
18036,180,605,245,200
21016,75,170,90,45
40037,*,*,*,*
44049,85,175,55,25
08031,215,500,185,120
43037,2115,3150,1060,745
26036,1865,3280,1000,735
34041,10,15,5,10
18114,20,110,45,50
44050,330,755,175,85
06025,355,965,330,250
44051,295,585,190,140
21017,215,590,340,170
30013,645,1265,650,480
42046,*,5,*,*
50067,1370,2820,975,565
50068,250,420,155,100
50069,*,*,*,*
36005,880,1385,385,410
22072,10,30,10,*
08034,85,120,45,50
17033,455,935,400,185
08033,1475,2470,605,515
08032,260,385,95,*
08035,1515,1990,725,590
06026,50,145,65,50
45028,290,640,265,175
09064,20,75,30,25
45029,*,30,20,20
18037,15,70,30,35
12034,170,305,115,45
08037,215,305,110,45
46079,30,100,15,*
03049,1130,2185,1050,800
03048,640,1050,310,160
08038,160,215,90,35
50070,*,*,*,10
44052,*,*,*,*
17034,890,1235,535,325
08036,*,50,*,*
03047,2245,2825,875,740
42048,*,5,10,*
37069,100,115,40,55
37070,30,70,15,35
07011,3905,5710,2020,1160
32016,105,150,100,55
37071,*,15,10,*
13027,165,685,290,145
37072,20,30,*,5
34042,30,35,20,25
45030,15,50,35,35
37073,95,65,20,25
24031,10,25,20,10
10040,25,75,30,30
06027,60,115,40,35
49032,60,55,25,*
39015,45,120,55,45
44053,10,15,10,5
25062,110,140,50,15
45031,240,425,200,155
44054,10,15,*,*
45032,35,75,35,10
39016,2735,4155,1110,1015
44055,*,15,*,10
15016,490,1015,335,270
43903,405,520,190,40
28032,455,1005,150,135
49033,65,145,30,40
41021,1730,3085,1395,1250
36006,820,2000,655,665
23018,65,405,170,155
15017,2810,2815,740,460
43038,2590,4135,1545,830
10041,55,160,90,65
44056,40,180,30,*
17035,45,120,40,20
41022,200,830,390,215
06028,210,765,345,240
07012,170,400,90,*
47030,75,120,70,95
24032,15,20,10,10
17036,285,440,195,120
17037,10,20,*,*
03050,1780,3720,1340,740
01017,85,130,50,60
16042,80,210,105,105
50071,*,10,5,*
09065,*,15,10,25
23019,75,205,165,140
37074,10,30,10,10
10042,*,10,5,10
19059,*,*,15,5
45033,15,45,30,45
06029,60,150,110,100
19060,10,20,*,*
21018,170,355,145,80
47031,*,25,10,20
29032,540,1035,455,465
16043,*,15,*,10
16044,*,10,5,*
08039,35,60,20,*
19061,*,15,*,*
17038,30,65,35,*
22074,25,50,15,10
13028,665,1765,875,760
03051,35,55,25,*
37077,10,30,15,35
40039,15,30,15,35
24033,10,25,25,10
36007,145,260,95,140
10043,*,165,80,50
28033,580,655,115,105
21019,45,125,30,25
09066,*,*,*,*
24034,300,650,185,125
39027,275,530,175,145
39017,50,90,30,30
47032,10,20,15,10
22075,20,25,*,*
46080,110,170,70,80
07013,905,995,490,210
16901,35,110,95,35
30014,105,300,140,85
18038,60,145,115,70
17039,365,255,70,55
26037,5,30,10,10
45034,105,245,115,80
22076,15,60,20,*
47033,*,45,15,20
16045,15,50,20,*
05046,*,*,*,*
26038,*,*,*,*
46081,1095,1955,595,540
33010,200,295,115,75
22077,35,45,20,15
38011,2020,3340,840,860
37078,65,130,60,55
05047,260,665,355,205
42049,*,30,10,*
24036,35,30,25,*
25063,*,*,*,*
23020,105,255,160,100
28034,30,95,20,*
17040,90,70,15,20
08040,1275,1935,425,325
46082,570,790,195,105
12036,120,155,20,*
22078,25,70,*,25
36008,2170,3520,1580,835
33012,710,760,325,380
33011,965,1705,875,960
09067,15,45,45,60
18039,205,505,400,215
37079,*,10,*,*
29033,95,220,100,160
29034,40,105,55,50
47034,*,10,*,15
26039,*,5,*,*
04030,65,160,115,115
43907,420,705,280,250
08041,945,2005,980,460
08042,190,475,85,80
19064,*,15,10,*
09068,*,*,*,*
37080,20,30,15,15
37081,30,105,75,90
40040,185,440,330,155
17041,30,55,15,*
19065,*,15,*,15
37082,50,110,55,95
37083,10,15,15,20
44059,50,115,30,20
41023,640,1175,600,415
40041,50,230,70,65
05048,*,15,20,10
04031,180,405,270,185
08043,250,510,155,110
03052,85,200,65,20
44060,*,*,*,*
13029,10,*,5,*
44061,*,10,*,*
16046,10,55,25,10
16047,*,45,20,25
41901,160,390,185,165
44062,*,*,*,*
42050,*,*,*,*
16048,30,70,20,30
10044,65,240,135,65
18040,20,50,15,15
26040,*,10,*,10
16049,*,20,15,20
10045,70,170,95,55
21020,45,65,30,10
16050,20,40,40,10
16051,15,25,15,10
16052,105,95,60,*
14014,145,425,215,135
29035,95,235,65,135
36009,405,865,240,220
49034,35,70,15,30
19066,*,20,*,*
44063,*,10,*,*
16053,25,50,30,35
49035,15,45,20,15
43039,10,15,*,*
31065,220,335,110,155
43040,35,55,15,30
07014,1315,1310,315,180
22079,*,30,25,10
15018,180,160,95,50
22080,30,55,15,10
08044,360,845,225,140
18042,50,65,20,25
06030,*,30,15,10
34045,10,*,10,*
17042,70,90,15,*
08045,*,*,*,*
42051,*,*,*,*
28035,180,260,85,*
42052,*,*,*,*
13030,15,10,10,10
18043,10,20,10,*
30015,1370,3440,1415,1045
33013,30,70,45,20
09070,*,*,*,*
49036,40,75,45,25
10046,10,30,25,15
37085,470,815,135,95
32018,185,205,120,40
32017,120,170,110,140
27009,265,470,60,60
32019,1590,1910,645,265
15019,3380,3650,1380,1240
49037,10,25,20,10
04032,460,1140,335,365
16055,25,125,55,50
40043,100,340,175,105
23021,30,65,30,50
10047,35,150,80,65
14015,155,395,150,110
46083,1200,3405,1090,520
31066,70,180,40,50
31067,140,290,95,115
09071,*,*,*,*
09072,15,35,10,10
02020,40,95,40,25
46084,170,365,65,55
23901,40,230,90,75
08046,1550,2400,705,340
26041,25,20,10,10
16056,45,85,30,25
14016,80,220,85,140
09073,80,130,25,*
09074,55,105,30,25
05049,15,60,45,30
34046,*,10,*,*
09075,5,25,*,*
45035,25,45,25,20
08047,450,720,290,170
19067,*,5,*,*
50072,*,30,20,*
50073,300,475,100,120
15901,435,645,200,140
46085,1150,2245,545,380
14017,695,1675,750,655
08048,75,150,30,10
45036,30,130,50,25
24037,30,40,15,30
41024,1580,3790,1515,1400
06031,40,70,45,40
15020,285,695,365,300
23024,785,2180,1005,595
47035,60,120,65,60
37086,15,10,*,*
45037,100,260,195,80
14018,180,655,230,185
24038,325,470,260,160
15021,705,715,220,115
45038,240,620,145,80
37087,90,110,30,25
37088,20,25,10,15
40044,10,25,10,*
10048,*,55,30,30
06032,*,15,*,*
16057,*,*,10,*
42053,*,*,*,*
16058,5,15,10,5
42054,*,*,*,*
29036,45,85,55,40
33014,1605,1375,425,250
05051,15,20,20,10
09076,*,*,*,*
45039,*,50,25,15
46086,*,10,*,*
13031,150,405,160,115
41025,180,315,135,75
34047,100,270,100,100
24039,135,380,125,85
13032,30,215,105,80
24040,35,50,30,35
30016,12565,26110,12165,9690
29037,15,30,15,15
29038,1165,2670,1095,895
21021,990,2335,705,765
32020,330,410,160,80
39018,665,690,50,115
24041,45,95,40,20
19070,5,10,10,*
29039,140,450,225,135
37089,*,10,*,*
26042,100,115,60,100
10049,305,530,240,275
45040,120,290,90,85
10050,85,180,90,110
19071,1050,1220,475,250
29040,130,340,165,75
42055,*,25,15,25
29041,375,515,280,220
10051,*,30,85,65
41026,480,645,320,240
45041,360,650,230,190
28036,245,320,175,75
46087,10,25,*,10
46088,5,30,20,10
16060,30,205,35,30
10052,10,20,25,15
10053,10,55,20,15
06033,105,190,105,115
16061,60,180,65,60
16062,*,5,*,*
16063,*,15,10,15
16064,50,115,60,40
02021,50,160,80,80
02022,40,40,30,20
16065,35,70,40,50
10056,30,80,65,45
10057,*,15,15,20
06034,15,25,20,15
19073,*,*,*,*
02023,40,110,55,30
10054,35,100,30,35
37090,10,*,*,*
10055,30,125,30,45
05052,10,10,5,5
45042,15,30,15,*
49038,*,15,10,10
49039,30,45,30,15
02024,270,570,260,235
16066,135,390,185,140
05053,*,10,10,15
47036,25,15,20,25
10058,85,170,105,70
05054,100,190,55,55
22081,15,45,15,*
09077,*,*,*,*
09078,*,*,*,*
31068,295,550,210,110
44064,*,10,*,5
31069,50,135,95,25
43041,30,40,10,*
05055,30,115,55,30
10059,15,60,55,30
37091,5,20,5,15
46089,175,375,200,60
40045,5,20,15,10
33015,90,265,110,70
50074,705,1395,455,285
19074,*,15,*,*
17044,525,1450,480,240
08049,195,190,65,45
03053,665,1495,435,370
10060,35,145,80,85
26043,45,80,20,15
39019,295,200,110,70
21022,15,15,10,15
18044,*,30,20,20
16067,*,15,20,5
31070,280,555,225,95
50075,5,10,10,*
19075,*,10,10,*
50076,15,15,*,*
22083,65,75,40,*
22084,65,85,25,*
44065,*,10,*,*
50077,*,50,15,*
22082,15,50,15,20
44066,*,25,10,*
22085,*,20,*,*
12037,*,*,*,*
03054,30,85,15,10
03075,15,30,10,*
08057,*,*,*,*
25904,15,35,*,*
07064,640,950,215,185
09079,*,*,*,*
37092,175,130,*,*
37185,40,55,30,20
05056,*,5,15,10
23025,220,435,225,145
11013,160,385,185,135
19076,*,*,*,*
25064,10,20,10,*
08052,30,*,*,*
13033,70,245,195,100
08050,15,30,10,*
08051,1730,3310,1005,430
44070,*,5,*,*
08053,320,500,115,100
08054,905,1595,405,385
08055,45,80,30,*
25067,85,125,55,*
08056,4900,7590,2250,1360
08058,215,290,100,75
17046,120,130,40,15
08060,15,35,10,*
08059,30,50,*,*
12038,15,40,10,10
08061,160,295,65,70
08062,90,200,30,15
25068,65,105,30,*
12039,70,205,55,*
25069,45,75,25,*
46090,145,405,95,65
17047,860,1065,320,480
08063,40,75,30,10
12040,14795,24370,8045,4355
46091,*,25,*,*
44071,80,110,15,20
17048,1120,1250,535,135
25070,90,175,40,20
08064,180,235,150,80
43042,160,460,95,25
08065,125,250,80,35
08066,110,215,55,25
44067,15,35,5,*
44068,40,135,55,25
46092,*,35,30,20
22086,15,35,5,*
22087,15,10,*,*
09083,*,*,*,*
34048,*,10,*,*
06035,60,145,90,85
41027,250,720,355,150
09082,*,10,*,*
24042,*,5,*,10
19078,*,*,*,*
42056,*,10,*,*
50078,35,35,15,*
22088,10,40,*,*
41028,115,440,90,35
41029,1040,2470,675,620
41030,*,90,50,25
18045,70,235,100,105
16068,10,30,10,5
37096,15,40,10,15
40046,15,10,15,*
42058,*,20,*,10
16070,*,10,*,*
45043,40,110,65,75
16072,*,15,10,25
41031,95,175,85,110
23026,315,745,195,200
12041,*,15,5,*
16071,*,*,*,*
22089,20,50,25,10
31071,*,*,*,*
19079,*,*,*,*
42057,10,35,20,*
37097,*,*,*,5
34049,25,45,40,25
47037,10,40,10,*
32022,155,275,110,55
32021,120,165,55,50
18046,125,260,190,140
24043,*,15,*,10
34050,10,30,10,20
47038,*,20,15,10
49040,15,15,5,5
09084,*,15,25,*
24044,5,30,10,15
09085,30,70,35,50
34051,*,10,5,10
09088,*,*,*,*
34052,15,20,15,20
09086,30,75,45,25
09090,*,*,*,*
33016,2000,3290,1020,525
47039,5,25,10,15
32023,160,190,60,50
04033,*,25,15,*
40047,*,*,*,*
27010,535,600,345,165
14019,365,1120,485,245
47040,*,5,15,*
24046,150,150,50,25
24047,45,95,50,55
47041,20,5,10,10
49041,20,80,25,30
09091,30,70,55,45
40048,*,*,*,*
47042,*,10,*,*
34053,10,25,15,20
47043,20,45,20,10
49042,25,30,25,15
47044,25,30,15,15
47045,95,115,60,35
24049,150,235,75,95
33017,300,515,205,150
47046,10,15,10,15
40049,*,*,*,*
40051,*,*,*,*
24050,10,15,10,*
39020,2985,3570,1155,875
27011,285,355,130,145
49043,15,40,25,30
47047,5,35,20,10
26044,*,*,*,*
06036,270,1100,310,165
46093,220,395,140,65
46094,2705,3605,1130,580
12042,95,120,45,*
43043,350,640,150,65
36010,225,535,225,110
03055,545,1005,520,290
02025,550,1385,600,395
46095,65,115,75,*
12043,45,75,50,45
25071,*,10,*,*
09063,15,35,10,*
09093,10,15,10,*
45045,155,200,120,50
23027,25,80,50,65
41032,250,695,290,225
23028,490,1085,575,350
49044,5,10,*,5
24051,25,55,45,35
24052,15,5,10,20
45046,165,555,255,100
09094,*,*,*,10
05057,180,470,190,120
24053,*,75,30,35
10061,65,295,190,100
15022,740,850,395,360
10062,25,60,40,35
40052,5,15,10,*
45047,255,435,130,95
44074,35,100,25,*
15023,835,965,290,415
30017,825,2030,810,800
47048,10,30,20,20
09095,*,10,*,*
44075,25,40,25,25
32024,665,680,305,285
44076,165,455,150,90
17189,115,350,50,105
26045,*,*,*,*
17049,470,545,150,80
31193,90,205,60,50
19080,*,20,*,*
19081,*,*,*,*
18047,715,850,265,190
26046,150,275,70,65
28037,115,225,130,140
02026,95,145,65,70
32025,165,155,60,85
08067,640,1010,230,190
19082,*,10,15,*
42059,*,*,*,*
37098,20,55,20,25
05058,*,10,*,10
42060,*,*,*,*
15024,595,775,300,135
28038,430,815,345,155
08268,120,230,50,25
46096,30,50,20,*
08266,4215,8665,2485,1350
36011,250,205,140,75
15025,195,75,85,70
37099,*,20,*,*
49046,*,30,25,25
49047,*,15,5,10
37100,*,5,10,*
10063,5,35,20,10
40053,10,20,10,*
40054,25,10,10,10
09098,25,90,20,40
49048,15,30,*,*
44077,*,15,*,*
37101,10,35,15,*
45048,25,55,30,30
09100,*,*,*,*
21023,140,320,200,105
37102,15,65,40,35
27012,90,200,*,115
34055,20,20,20,20
08068,575,1175,300,270
25072,715,1280,420,340
28039,*,20,*,10
50079,15,40,15,15
45049,25,70,15,10
34056,130,265,150,160
16073,*,40,15,10
12044,95,95,20,*
26047,155,375,145,125
50080,*,*,*,*
25073,40,145,30,15
17050,85,130,30,*
47049,10,*,10,10
27013,570,565,240,115
37103,30,60,30,30
15026,*,570,*,*
50081,60,125,25,25
51001,3925,7595,4755,4255
30018,695,1080,675,430
34057,20,55,20,20
34058,10,30,15,20
37114,*,10,10,5
22094,10,10,5,5
05067,*,5,*,10
32029,55,85,25,35
27016,860,990,600,275
40065,50,120,55,50
28051,145,285,70,60
18059,245,695,210,245
19103,10,40,25,15
06042,40,135,75,120
46107,210,470,100,80
46106,95,290,60,35
19104,*,*,*,*
46108,40,120,20,*
04036,15,30,20,15
12052,105,120,55,*
46109,710,1335,290,145
22095,*,15,*,*
11015,4380,9825,3450,3625
23029,45,175,45,35
12053,220,490,135,45
16023,50,45,45,*
19106,*,*,*,*
13038,80,350,100,55
23030,130,160,130,65
19105,210,370,65,120
18061,70,185,115,55
22096,25,60,15,15
02029,290,375,230,235
28052,470,540,245,135
11016,1160,2410,860,1005
50092,35,40,45,15
04037,130,205,130,75
46111,1070,2060,525,290
50093,5,10,10,10
12055,15,15,10,*
12056,20,70,20,*
24065,155,265,115,115
45056,315,350,210,130
21030,60,320,145,55
45057,20,35,15,10
46112,50,85,45,15
16081,*,10,*,*
18062,895,1540,455,330
09101,*,5,*,10
26048,*,*,*,*
42061,*,45,10,*
28040,1880,2375,1000,520
16074,*,5,*,*
30019,1775,3500,2055,1880
39021,55,105,45,15
19086,105,195,140,150
47050,405,500,165,105
42062,*,*,*,*
47051,35,35,10,25
42063,*,15,*,*
26049,15,20,20,10
18048,210,430,90,110
05059,*,20,10,5
09102,*,*,*,*
10064,70,275,115,90
37104,*,*,*,*
09103,15,40,20,15
09104,*,*,*,*
40055,*,*,*,*
39022,105,150,60,65
24054,25,65,30,40
24055,25,165,60,45
50082,20,20,*,*
50083,5,10,5,*
19087,*,*,*,*
12045,35,65,25,*
31072,515,905,360,280
37106,35,25,20,35
12046,25,25,10,10
31074,45,45,25,20
42064,*,*,*,10
31075,5,10,*,*
19088,*,15,*,*
45050,35,90,30,20
09105,*,5,*,15
19089,*,*,*,*
26050,*,20,*,10
42065,*,*,*,*
05060,*,10,5,10
34059,20,55,30,35
17051,10,55,10,*
47052,720,970,245,130
24056,260,450,135,215
13034,4200,9810,3905,2695
37107,825,1930,695,645
07015,2060,3540,1575,820
25074,15,35,10,*
31076,145,345,125,140
50084,*,25,*,*
25075,15,15,5,*
26051,20,20,20,15
33018,290,370,215,220
04034,*,10,15,10
45051,140,290,135,95
28041,490,905,240,65
19090,*,30,10,*
45052,265,585,135,65
34060,*,20,20,15
40056,*,10,*,*
49050,30,55,40,55
40057,120,350,75,85
37108,*,10,*,15
03056,865,1665,595,230
50085,10,30,25,*
44080,20,60,10,*
40058,10,65,35,15
50086,30,30,15,*
06037,95,335,135,145
46097,60,120,85,40
47053,*,20,10,*
47054,40,125,35,65
19091,*,5,*,*
09108,50,40,*,*
18049,30,80,65,50
18050,110,265,100,105
19092,55,85,20,30
25076,10,30,10,*
29042,1235,2735,1500,900
15027,190,215,50,65
17054,25,75,25,25
32026,435,400,155,90
05061,25,30,10,15
39023,705,1035,400,250
25077,35,80,55,15
05062,5,25,20,15
10065,15,20,15,*
05063,*,5,*,*
40059,*,20,*,*
28046,430,795,320,185
28047,4425,7175,2625,1575
34061,*,10,10,10
08069,430,540,150,55
43045,15,10,15,10
08070,25,50,10,10
29043,180,365,205,255
37109,15,20,*,25
28043,500,1050,510,215
28042,85,195,45,35
28045,2890,5970,2205,1065
28044,705,1000,330,210
18051,30,195,90,80
17055,25,30,*,5
33019,375,400,290,130
22090,10,20,*,*
25163,20,30,15,*
29044,105,195,115,90
39024,215,300,120,115
29045,155,600,125,145
25161,25,80,*,*
40060,*,10,*,*
09109,145,65,95,45
19095,*,*,*,*
19096,15,*,*,10
43046,10,25,*,*
03057,25,35,*,*
24057,120,220,115,110
34062,*,15,15,15
19097,*,*,*,*
11014,1070,2450,950,1450
14020,15,55,35,30
10066,15,30,15,10
07016,325,520,85,110
43047,475,865,310,180
41033,305,985,390,285
05064,*,10,5,10
45053,395,1470,720,345
50087,*,*,*,*
09110,*,*,*,*
49052,25,30,15,15
19098,*,*,10,*
08071,30,35,30,*
44082,*,20,*,*
46098,160,535,235,90
08072,1285,1825,490,210
43048,75,210,35,15
24058,10,20,20,20
25078,140,205,45,25
47055,5,30,10,10
15028,200,200,70,70
17057,135,205,50,30
14021,18340,42835,18350,13860
06038,35,135,70,65
37110,*,15,10,10
34063,*,10,*,*
26052,10,25,10,15
19099,15,60,30,20
31077,485,1155,330,250
26053,20,40,20,*
49053,40,145,85,70
27014,410,420,235,195
10067,825,1730,575,505
41034,2030,3405,1395,1275
41035,95,150,65,100
15029,725,1120,395,270
26054,25,25,40,30
08073,6590,11990,4225,2660
17056,185,385,75,50
43049,100,135,30,*
06039,50,320,155,110
41036,255,650,375,195
28048,55,60,20,30
26055,*,*,*,*
45054,235,755,335,335
40061,*,*,15,*
13035,60,140,55,85
39025,1000,1510,440,425
47056,*,15,*,*
49054,105,125,75,60
41037,200,530,245,230
02027,15,35,30,35
06040,55,170,85,80
21024,30,75,40,35
32027,70,110,155,80
21025,435,635,235,190
21026,15,40,15,*
31078,270,430,180,90
44084,5,10,*,5
12048,20,45,15,10
18053,*,330,220,160
29046,245,405,195,200
46099,50,185,95,*
18054,30,95,70,100
13036,25,105,65,85
24059,115,150,65,20
09112,*,15,10,*
15030,25140,32355,9955,6180
33020,1455,2205,660,535
39026,150,230,145,95
44085,*,5,5,*
42068,*,15,*,*
28049,7265,12715,3680,1735
27015,765,515,360,125
07017,85,130,35,40
12049,55,80,30,*
50088,30,55,20,*
49055,*,15,10,10
46100,35,65,10,*
02028,10,20,10,10
36012,195,435,205,245
42069,105,240,110,90
09113,30,65,20,50
36013,270,340,190,*
12050,260,265,45,50
03058,315,825,430,265
13037,50,180,100,35
40902,*,20,10,15
36014,120,320,165,175
43050,255,410,125,125
24060,50,75,60,*
17058,35,35,10,*
05065,25,65,30,45
44086,50,90,25,15
03059,1730,3495,1515,1185
06041,10,100,25,25
37112,10,30,10,*
44087,10,15,*,*
17901,95,160,50,25
10068,55,85,50,60
24061,150,215,65,80
32028,140,235,155,80
50089,880,1035,230,125
44088,*,*,*,*
28050,410,735,130,100
50090,5,30,10,10
08074,1215,1830,545,360
25079,40,65,20,*
42070,*,*,*,*
34066,*,10,5,*
24062,5,15,15,5
24063,20,45,50,40
47057,15,30,20,10
40062,*,*,*,*
19102,*,10,15,15
09114,*,15,*,*
49056,30,30,25,25
24064,160,220,50,110
44089,*,10,10,*
49057,*,20,10,*
09115,5,5,10,5
37113,15,70,25,40
42071,*,30,10,*
49058,20,40,30,20
44090,*,15,*,*
33021,715,750,255,160
49059,*,10,15,*
40063,780,1320,330,360
16078,3255,7705,2580,1690
47058,10,20,10,15
50091,*,10,*,*
45055,55,195,105,55
41903,330,990,470,485
44092,*,15,*,*
42073,*,*,*,*
09117,10,10,10,*
16079,*,*,*,*
29047,95,150,80,75
44093,15,20,*,*
40905,5,15,5,20
09119,*,10,*,10
29049,190,500,250,175
