Codigo Municipio,Sin Estudios,Con Estudios
20013,995,4620
05015,70,17
40021,5,17
05016,1725,4860
42027,15,55
13019,2510,3595
13020,2025,3000
28014,8290,35185
24007,325,445
49012,25,42
22036,45,52
19039,45,27
17010,100,245
12015,35,47
08008,25,80
44028,95,95
43017,30,95
08009,1910,7520
45016,800,3420
39005,350,1030
31032,780,1230
22037,30,80
16024,50,52
49013,145,145
31033,10,42
07901,330,455
31034,5,30
38005,2410,4190
09025,30,105
44029,245,500
50034,465,530
23006,2225,2535
23007,1350,1795
09026,110,222
19040,2,4
31035,20,27
17011,180,540
37035,90,220
18021,4135,13850
01006,30,160
40022,55,155
04018,130,175
19041,25,145
26017,110,315
26018,3145,8870
43018,160,250
32003,220,645
39006,505,1290
21008,1390,1325
38006,14820,49020
49014,60,65
23008,860,750
49015,145,97
01037,135,505
16025,10,4
48009,155,620
20055,4305,14140
48914,60,260
01008,165,635
09027,2,22
35004,12755,32200
39007,175,290
25031,2,22
29020,1025,2340
48010,100,345
48011,2195,8210
13021,290,152
31036,295,650
47010,975,11185
10021,2170,3325
19042,20,12
06012,1455,2010
23905,940,1155
10023,350,435
28015,1650,14890
10022,190,235
21009,365,525
31037,15,70
26019,105,310
25032,2,40
07006,2115,4095
31038,330,1065
12016,410,1245
31039,25,65
48023,145,490
15005,6990,18400
35005,505,655
08010,1160,3325
25033,345,875
25034,635,2430
50035,20,47
48008,145,450
01004,240,1235
35006,8220,22380
15006,2430,3210
43019,540,860
50036,30,42
25036,65,120
49016,100,152
01009,315,1045
03019,5360,11090
20014,310,835
20903,655,3235
39008,2650,12230
24008,2715,7000
34017,265,610
49017,155,77
29021,65,82
06013,130,145
16026,65,47
37037,90,27
19043,45,42
09029,40,150
47011,230,365
18022,3075,10105
20015,420,940
28016,20,42
50037,50,67
50038,415,1380
31040,35,155
19044,185,235
48091,340,865
46003,350,680
12001,470,705
48070,210,345
19045,85,67
31058,25,205
26020,275,550
42028,10,27
09030,35,100
34018,70,150
34019,40,90
26021,1220,2385
05017,35,37
05018,2,4
25037,135,270
09032,30,65
08011,435,1385
05019,8860,40215
33004,16160,56235
08012,435,1430
17012,185,950
08013,405,975
32004,1015,967
01010,495,1825
21010,4820,12040
31041,210,1335
22039,325,630
40024,380,765
02011,440,265
12017,90,105
49018,195,112
46044,1630,2925
34020,25,27
31042,1005,2180
44031,65,37
22040,60,105
22041,60,125
20017,2360,6845
22042,35,65
41012,1115,2290
41013,2230,2630
26022,85,127
20018,2700,9020
06014,2800,4065
50039,185,407
12018,115,195
31043,20,4
19046,5140,22530
45017,110,145
37038,255,575
04019,80,117
06015,28970,94940
08015,53555,128135
26023,185,350
44032,2,4
08904,3825,7255
41014,1155,1495
50040,25,47
22043,35,62
14007,5990,10030
23009,4490,9090
08016,480,1465
44033,155,142
50041,2,12
47012,85,55
09033,50,32
19047,20,52
23010,5710,9375
22044,65,210
36003,2680,7500
25039,100,195
31044,90,200
48012,160,2020
25040,3990,9700
02012,945,1035
09034,125,162
24009,220,100
50042,2,4
22045,50,47
27004,630,730
08017,720,2270
20904,25,70
02014,210,180
13022,200,200
22046,265,565
48090,1555,4950
03020,30,90
02013,55,67
08018,745,2240
34022,370,740
32005,645,340
22047,25,200
32006,765,835
07007,95,400
03021,2105,3795
43020,460,1890
17015,3360,11835
15007,1800,1830
26024,100,175
24010,2235,6700
37039,130,180
44034,60,72
01011,60,195
23011,1000,1265
32007,865,677
10024,215,440
26026,450,995
26025,20,47
19048,5,4
09035,170,150
19049,5,4
09036,5,12
34024,20,4
16027,395,447
48013,22250,64410
27901,1265,1325
31901,2295,15565
42029,70,82
31045,80,430
32008,1900,6150
37040,145,260
09037,2,77
09038,55,67
09039,2,67
37041,25,27
31046,10,32
22048,3680,10380
11007,7270,11345
25041,215,480
43021,115,305
08252,6240,20075
50043,65,210
40025,75,97
22049,30,42
22050,30,52
42030,45,42
22051,35,65
06016,1335,1710
08019,266400,1122935
34025,15,22
39009,460,2975
39010,180,520
37042,15,12
16029,50,27
47013,40,62
49019,90,157
45018,80,445
05021,510,1715
32009,4000,8060
42031,2,17
50044,110,162
39011,360,1335
45019,1950,5945
31047,105,185
31048,45,105
24011,145,72
38007,720,1040
25042,40,130
12020,55,75
44035,45,77
05022,670,1115
10025,190,215
02015,865,785
27005,1025,1845
48014,105,1050
09041,2,4
19050,10,4
09043,80,117
09044,5,37
24012,85,220
11008,5755,12325
36002,1030,2095
05023,75,100
37044,200,255
34027,495,780
47014,15,22
01013,130,590
46046,225,750
46045,575,815
31049,140,590
40026,5,115
48015,9815,26715
17016,170,625
09045,110,190
34028,55,100
09046,15,22
16030,10,4
25044,2,72
37045,25,7
43022,565,1225
06017,160,125
28017,145,1060
25045,2,4
04020,200,112
04021,90,100
42032,85,85
42033,20,22
18023,5380,12230
31050,1630,4960
44036,2,4
32010,150,310
16031,20,27
32011,495,567
21011,1120,2435
18024,300,575
18025,175,125
23012,2020,2745
20019,2130,9310
05024,125,112
05025,45,65
44037,160,345
27006,1140,1665
34029,315,460
28018,970,3155
47015,85,165
04022,335,450
48092,150,650
23902,1470,1100
23014,1015,1585
27007,1465,1620
08020,600,4430
17013,695,2620
31137,75,140
31051,70,195
04023,50,47
20020,30,100
37046,3645,8790
12022,160,215
14008,1315,1620
31052,15,85
20021,65,160
09047,2,47
50045,370,985
37047,70,47
46047,190,385
25046,105,370
16032,130,137
25170,90,195
17018,140,405
25047,270,865
25048,470,1505
43023,85,195
25049,55,110
44039,125,125
08021,2,37
25050,845,3160
46048,1145,2710
46049,100,172
43024,480,1140
25051,365,1555
25052,740,1310
14009,1090,1695
23015,815,690
16033,975,880
34031,2,22
50046,65,132
33005,760,830
44038,55,37
28019,410,865
16034,105,82
09048,555,1155
22052,455,660
49020,145,150
45020,855,660
10026,205,355
24014,2950,5480
22053,320,610
41015,1985,3490
29022,80,145
47016,45,32
12024,50,102
12025,85,60
46050,50,110
46051,3085,6150
04024,775,2490
29023,655,3210
29024,205,225
29025,8915,41825
18027,1285,1325
18028,640,560
11901,2295,3470
29026,640,700
18029,880,1120
14010,1775,2340
29027,1240,1320
11009,185,420
29028,600,690
29029,210,227
12026,335,710
03022,50,105
22054,225,1585
23016,260,215
25053,240,945
49021,3530,12075
24015,785,1660
46052,175,370
49022,140,185
03023,455,1065
46053,165,425
03024,1630,2680
46054,3810,8635
03025,455,1085
03026,435,1120
03027,50,115
46055,345,1085
03028,370,700
46056,35,52
12027,6325,15230
12028,1575,13425
46057,125,345
46904,205,600
03030,280,735
03031,15110,43280
30010,3570,5240
46060,2950,6975
46059,390,915
46058,635,1275
43025,300,385
03032,25,70
03033,45,87
46061,120,235
46062,1650,3550
03029,130,310
03034,670,2260
03035,230,485
03036,10,50
03037,100,340
03038,120,230
03039,25,65
03040,100,245
46063,585,1335
46064,190,370
46065,450,1195
46066,225,1070
46067,375,1430
03041,2235,7640
43026,310,765
46068,105,230
46069,70,90
03042,770,3070
04026,25,22
04027,110,107
12029,385,595
10027,35,40
06018,465,315
04028,90,160
24016,320,172
31250,540,2515
48016,815,4705
01014,80,310
22246,40,32
20022,220,610
42034,5,17
22055,110,260
09050,30,32
31053,215,395
26027,55,90
47017,75,115
47018,10,22
18030,360,330
40028,45,57
05026,105,110
24017,275,330
24018,60,112
40029,15,17
50047,2,32
08022,3440,10480
20074,2975,9335
26028,45,87
26029,15,4
44040,65,122
15008,1660,4190
31905,625,2380
04029,5220,7115
05027,120,165
06019,950,1250
42035,285,545
24019,125,245
09051,90,82
37049,85,47
48017,4165,10400
49023,365,675
40030,250,290
01016,105,385
19051,50,22
40031,95,485
05029,70,57
48018,310,700
31902,385,3830
31903,1830,5495
48019,1045,2950
20023,155,325
21012,95,220
37050,45,22
37051,25,42
10028,55,37
05030,2,20
47019,35,62
50048,2,17
28021,190,285
31054,145,385
10029,195,227
09052,25,12
28020,35,60
34032,10,17
17019,530,1445
17020,830,2935
35007,215,365
15009,3055,8400
31055,70,210
46070,2870,14245
16035,125,165
12021,1415,3410
17021,20,110
26030,15,4
44041,2,37
03043,950,2195
46071,200,285
31253,15,125
20024,70,197
50901,45,102
22057,115,275
02016,370,225
06020,740,1120
22058,80,135
22059,245,1000
03044,1640,3760
08023,1350,5610
50050,25,75
48020,61160,242080
33006,575,947
22060,365,920
22061,2335,5510
07008,1330,4680
25055,60,125
50051,325,600
22062,2,92
43027,55,145
43028,955,1840
17022,2465,6090
22063,40,145
50052,50,37
17234,55,155
31056,35,145
42036,25,12
30011,2090,3185
43029,110,255
44042,55,87
32012,540,385
17023,9345,23205
05033,75,70
05034,2,4
05035,40,42
14011,215,362
22064,55,120
44043,60,52
42037,20,12
37052,80,172
34033,2,12
17029,60,150
34035,45,75
34034,45,60
28022,2230,31950
33007,560,1075
28023,630,4725
26031,35,72
47020,130,155
32013,1335,1235
24020,125,335
46072,1010,2785
40032,150,455
47021,10,72
47022,20,27
19052,20,12
37054,145,125
06021,415,590
47023,265,2730
37055,45,77
02017,500,367
05036,50,60
10030,300,192
05037,185,107
15010,1045,945
15011,5515,10405
32014,665,402
13023,4215,5930
47024,110,195
46073,430,835
41016,2455,4960
21013,5025,6440
32015,520,430
22066,170,685
03045,80,270
17024,40,255
22067,2,65
21014,1970,3080
43030,145,345
02018,405,635
16036,60,52
05038,30,92
02019,1260,1280
46074,590,2200
24021,615,1235
15012,1485,2445
50053,225,615
22068,20,47
50054,40,17
25057,2,180
17025,275,1065
44044,55,57
29030,425,455
25058,1305,3625
43031,560,1085
50055,890,2995
42038,15,7
41017,2740,12460
11010,3335,3245
42039,75,190
45021,810,2050
17026,120,450
08024,155,320
24022,155,117
12032,7850,20565
12031,795,3525
11011,640,1095
25059,90,705
43032,230,380
43033,190,695
10031,75,102
50056,105,330
37056,45,17
27008,570,880
49024,395,360
37057,110,110
25056,130,157
09054,25,47
05039,15,22
43034,130,425
47025,75,37
34036,85,130
28024,45,105
09055,20,27
13024,430,535
24023,115,167
50057,625,935
28025,170,210
17027,860,2260
41018,3990,6230
38008,1580,4410
38009,690,3810
49025,75,105
49026,125,90
40033,2,60
26032,25,12
19053,755,1495
49027,70,92
49028,45,62
37058,15,37
26033,50,145
15013,1565,4755
26034,205,535
09056,1530,4660
44045,100,317
22069,130,320
10032,685,1085
08025,280,1295
08026,40,145
28026,885,6575
17028,75,265
42041,15,4
50058,15,57
18032,80,185
16038,35,4
19054,95,90
16039,305,190
16040,50,32
37059,50,60
45022,195,210
37060,35,185
34037,125,187
38010,1980,2220
16041,170,172
44046,25,27
36004,3940,6825
46075,65,100
46076,250,485
09057,30,125
07009,250,580
42042,10,17
28027,330,1240
14012,2725,3750
19055,15,42
50059,275,575
05040,45,17
50060,115,87
30012,3810,6205
09058,50,295
07010,585,4410
46077,2600,5560
31057,610,1395
44047,85,80
27902,2115,6110
50061,60,195
49029,370,312
50062,325,1550
42043,1280,2950
24024,285,430
29031,660,1050
05041,575,547
09059,29795,120480
31059,55,145
41019,1740,3280
45023,360,1755
06022,1165,1600
46078,9060,22340
31060,3370,11375
24025,90,202
45024,580,620
03046,390,2155
18033,125,145
19057,20,40
28028,360,1315
50063,35,17
47026,30,17
34038,125,160
49030,25,50
24026,535,760
34039,30,32
09060,75,92
31061,20,37
48021,290,1105
43035,70,205
37061,110,135
40034,30,42
15014,2225,2065
25060,25,17
15015,800,2010
17031,35,175
12033,815,1565
17030,215,555
31062,330,905
28029,75,505
19058,915,6320
08027,145,550
50064,165,310
45025,400,1095
40035,30,130
49031,80,57
45026,95,165
10033,280,120
24027,545,625
09061,65,112
37063,30,50
06023,2120,2430
37065,165,162
06024,590,640
10034,220,107
37062,40,47
45027,210,197
13025,165,137
13026,300,200
05042,75,82
41020,6650,6490
05043,30,47
05044,150,112
21015,375,342
26035,2,17
39012,1470,5245
09062,15,27
39013,165,470
47027,690,2115
47028,5,17
40036,200,385
10035,805,1255
05045,30,60
25061,30,42
50065,20,7
14013,6305,11180
44048,30,37
43036,210,690
23017,905,750
33008,945,835
33009,355,590
31063,45,45
42044,10,17
42045,135,230
08028,270,825
08029,405,3210
28030,505,1555
37067,310,2805
10036,185,127
47029,25,27
24028,175,260
24029,285,550
37068,175,200
08030,615,4885
39014,370,555
24030,1735,2910
10037,15170,63670
10038,35,40
18034,245,262
10039,270,150
28031,820,1535
17032,570,1730
18035,520,860
11012,26880,80060
31064,710,1115
50066,325,2200
18036,645,3075
21016,475,640
40037,20,12
44049,255,700
08031,1020,1870
43037,4815,15250
26036,6290,13960
34041,45,62
18114,295,405
44050,1115,2695
06025,1890,3420
44051,885,2480
21017,1225,2360
30013,3265,5530
42046,10,35
50067,4255,13165
50068,785,1655
50069,25,12
36005,2425,5930
22072,60,117
08034,175,585
17033,1150,4455
08033,2940,11065
08032,460,1760
08035,3465,11495
06026,385,490
45028,1390,2595
09064,155,260
45029,110,97
18037,145,345
12034,675,1115
08037,510,1365
46079,145,235
03049,6390,7900
03048,2295,4065
08038,400,1070
50070,50,12
44052,45,22
17034,2280,6560
08036,75,77
03047,4650,15230
42048,40,27
37069,230,745
37070,145,385
07011,7210,34445
32016,695,287
37071,45,42
13027,1750,1970
37072,65,115
34042,115,185
45030,225,235
37073,160,415
24031,75,145
10040,240,185
06027,285,475
49032,150,212
39015,315,585
44053,35,52
25062,235,585
45031,935,2155
44054,15,107
45032,160,315
39016,4205,21835
44055,45,42
15016,2685,2670
43903,1025,1915
28032,780,4360
49033,280,495
41021,6770,15200
36006,3565,8115
23018,1065,1285
15017,4415,15480
43038,5500,21055
10041,430,645
44056,180,455
17035,165,400
41022,2585,1935
06028,1865,2620
07012,555,1480
47030,395,730
24032,35,92
17036,900,1975
17037,20,70
03050,4080,17950
01017,240,740
16042,660,707
50071,65,72
09065,60,105
23019,825,920
37074,90,90
10042,30,27
19059,40,37
45033,190,187
06029,620,615
19060,50,120
21018,645,1225
47031,65,125
29032,2595,4485
16043,50,42
16044,25,12
08039,50,310
19061,15,47
17038,70,290
22074,65,220
13028,4590,7350
03051,170,205
37077,110,165
40039,95,180
24033,105,87
36007,690,1125
10043,370,490
28033,930,3385
21019,275,375
09066,20,22
24034,1065,2485
39027,810,2515
39017,185,420
47032,70,85
22075,55,100
46080,415,800
07013,2230,5875
16901,355,455
30014,710,1080
18038,520,600
17039,655,1375
26037,70,77
45034,725,850
22076,140,200
47033,80,155
16045,140,87
05046,15,32
26038,25,42
46081,3055,8745
33010,660,1245
22077,120,250
38011,3905,17790
37078,245,645
05047,2055,2440
42049,35,62
24036,155,120
25063,2,57
23020,710,1095
28034,160,222
17040,75,440
08040,2410,8790
46082,695,4215
12036,315,395
22078,75,370
36008,6545,15870
33012,1640,4080
33011,4870,7495
09067,120,375
18039,1765,2340
37079,10,42
29033,690,875
29034,280,485
47034,30,37
26039,15,7
04030,640,630
43907,1315,2855
08041,4055,8700
08042,515,1795
19064,45,40
09068,2,17
37080,80,170
37081,440,505
40040,960,2240
17041,75,200
19065,60,62
37082,440,445
37083,60,125
44059,170,435
41023,3510,5250
40041,320,830
05048,55,70
04031,1210,2130
08043,625,2650
03052,300,720
44060,15,17
13029,35,57
44061,20,42
16046,165,67
16047,155,102
41901,1185,1505
44062,20,22
42050,2,4
16048,190,255
10044,615,920
18040,160,150
26040,35,37
16049,95,42
10045,530,530
21020,225,157
16050,135,165
16051,85,67
16052,320,425
14014,1195,1505
29035,880,765
36009,1810,2915
49034,245,215
19066,40,25
44063,30,22
16053,175,257
49035,100,165
43039,35,67
31065,655,1655
43040,70,295
07014,1985,7540
22079,95,77
15018,410,815
22080,100,225
08044,1035,3455
18042,145,320
06030,85,77
34045,25,37
17042,120,385
08045,2,22
42051,15,4
28035,360,1230
42052,2,4
13030,55,77
18043,30,115
30015,7315,14045
33013,105,340
09070,2,17
49036,180,325
10046,90,105
37085,475,4200
32018,510,855
32017,995,605
27009,1140,1265
32019,3570,8540
15019,10620,16450
49037,60,135
04032,2655,3865
16055,345,350
40043,535,1595
23021,260,292
10047,400,585
14015,1000,1285
46083,5395,11650
31066,360,585
31067,675,1440
09071,2,17
09072,50,210
02020,355,112
46084,660,1055
23901,600,665
08046,2455,11365
26041,60,77
16056,275,220
14016,660,765
09073,135,790
09074,130,675
05049,135,305
34046,2,40
09075,20,90
45035,125,202
08047,1310,3000
19067,30,32
50072,70,105
50073,690,2290
15901,1725,2170
46085,3320,9045
14017,4335,6720
08048,170,545
45036,355,330
24037,140,260
41024,8960,14535
06031,235,237
15020,1670,2565
23024,4320,8605
47035,425,525
37086,30,62
45037,935,865
14018,1345,2480
24038,1405,1955
15021,1725,3555
45038,645,2795
37087,65,750
37088,60,125
40044,80,52
10048,180,110
06032,20,37
16057,45,47
42053,5,17
16058,60,45
42054,2,12
29036,360,385
33014,2500,6930
05051,60,127
09076,5,12
45039,130,107
46086,35,37
13031,900,1585
41025,745,1340
34047,530,1325
24039,665,1545
13032,720,490
24040,210,280
30016,49545,125645
29037,135,95
29038,5615,12565
21021,4510,10695
32020,1045,1750
39018,685,3725
24041,265,315
19070,25,57
29039,1255,1805
37089,20,27
26042,440,625
10049,1405,2625
45040,825,1035
