Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
05053,*,45
47036,20,100
10058,165,385
05054,255,430
22081,15,105
09077,*,15
09078,*,20
31068,860,720
44064,*,40
31069,235,220
43041,50,60
05055,90,270
10059,40,175
37091,30,55
46089,465,630
40045,25,35
33015,185,770
50074,1855,1670
19074,*,40
17044,2150,1680
08049,345,265
03053,1900,2340
10060,170,345
26043,80,140
39019,485,600
21022,30,70
18044,*,135
16067,10,60
31070,710,805
50075,*,40
19075,*,30
50076,10,50
22083,100,150
22084,165,125
44065,*,30
50077,25,90
22082,65,65
44066,20,30
22085,20,35
12037,*,*
03054,75,125
03075,45,50
08057,35,*
25904,25,65
07064,2120,1165
09079,*,15
37092,570,305
37185,115,145
05056,10,30
23025,620,800
11013,545,575
19076,*,20
25064,35,10
08052,45,40
13033,240,535
08050,15,60
08051,6060,2200
44070,10,15
08053,845,495
08054,3020,1235
08055,130,95
25067,185,215
08056,17050,6345
08058,485,370
17046,210,220
08060,45,40
08059,95,70
12038,35,70
08061,425,310
08062,305,115
25068,165,115
12039,145,275
25069,115,105
46090,385,525
17047,2570,1950
08063,150,70
12040,36215,32700
46091,35,30
44071,95,240
17048,2455,2090
25070,260,190
08064,565,370
43042,700,255
08065,375,210
08066,405,175
44067,20,50
44068,155,145
46092,20,130
22086,60,50
22087,10,30
09083,*,20
34048,5,25
06035,115,440
41027,700,1120
09082,10,10
24042,*,35
19078,*,25
42056,*,15
50078,40,105
22088,30,60
41028,705,150
41029,4045,1855
41030,135,125
18045,265,420
16068,20,50
37096,15,95
40046,25,40
42058,5,65
16070,*,10
45043,130,280
16072,20,70
41031,185,485
23026,460,1455
12041,*,60
16071,*,*
22089,70,70
31071,*,10
19079,*,*
42057,20,75
37097,*,30
34049,30,140
47037,15,70
32022,160,625
32021,40,445
18046,325,685
24043,10,65
34050,15,100
47038,15,40
49040,20,45
09084,15,95
24044,20,60
09085,120,150
34051,*,50
09088,*,30
34052,20,65
09086,135,120
09090,*,30
33016,5430,4180
47039,15,70
32023,190,385
04033,*,75
40047,*,25
27010,765,1185
14019,1420,1380
47040,5,25
24046,110,345
24047,75,335
47041,25,55
49041,75,135
09091,70,290
40048,*,15
47042,5,30
34053,30,65
47043,15,120
49042,15,95
47044,75,75
47045,150,280
24049,255,425
33017,680,645
47046,20,55
40049,*,30
40051,*,30
24050,*,50
39020,8050,5565
27011,200,775
49043,40,120
47047,25,75
26044,*,25
06036,985,1395
46093,525,540
46094,5960,4750
12042,125,215
43043,1095,435
36010,535,670
03055,1705,1505
02025,1510,2365
46095,95,225
12043,120,200
25071,*,30
09063,40,75
09093,35,50
45045,255,405
23027,100,210
41032,750,1090
23028,1115,2040
49044,10,25
24051,50,195
24052,10,80
45046,615,745
09094,*,15
05057,565,845
24053,50,190
10061,195,615
15022,1170,1480
10062,65,170
40052,20,35
45047,635,645
44074,95,110
15023,1155,1640
30017,2975,2575
47048,30,75
09095,5,35
44075,30,110
32024,760,1635
44076,460,665
17189,390,390
26045,*,*
17049,1070,720
31193,430,235
19080,*,40
19081,*,25
18047,1845,1045
26046,395,530
28037,255,570
02026,140,285
32025,90,535
08067,1695,1270
19082,25,40
42059,*,10
37098,35,115
05058,*,40
42060,*,25
15024,730,1110
28038,1470,1245
08268,265,320
46096,55,100
08266,14485,6835
36011,230,630
15025,155,300
37099,*,55
49046,45,90
49047,15,45
37100,*,50
10063,15,75
40053,20,50
40054,20,75
09098,80,175
49048,10,70
44077,*,40
37101,15,80
45048,70,120
09100,*,30
21023,235,690
37102,30,170
27012,*,550
34055,25,115
08068,2270,845
25072,2040,1520
28039,10,70
50079,35,110
45049,60,130
34056,465,500
16073,*,105
12044,110,170
26047,355,705
50080,*,20
25073,140,170
17050,220,105
47049,*,45
27013,885,935
37103,30,220
15026,*,355
50081,90,195
51001,15000,9905
30018,1560,2220
34057,60,110
34058,20,80
37114,*,40
22094,20,25
05067,10,30
32029,*,230
27016,1080,2195
40065,140,170
28051,415,370
18059,805,1070
19103,65,80
06042,115,340
46107,460,585
46106,185,485
19104,*,*
46108,85,180
04036,20,105
12052,145,245
46109,1775,1715
22095,*,40
11015,15590,12535
23029,160,290
12053,315,860
16023,155,130
19106,15,45
13038,250,565
23030,265,415
19105,795,415
18061,230,370
22096,85,50
02029,825,715
28052,1155,810
11016,2780,3575
50092,75,100
04037,240,565
46111,3180,2595
50093,20,45
12055,*,55
12056,40,105
24065,365,585
45056,765,650
21030,250,445
45057,20,75
46112,90,250
16081,*,20
18062,2810,2145
09101,*,30
26048,*,*
42061,45,120
28040,5250,2795
16074,*,25
30019,4645,7305
39021,70,175
19086,330,495
47050,1100,750
42062,*,*
47051,90,65
42063,*,35
26049,30,70
18048,640,425
05059,10,40
09102,*,25
10064,200,595
37104,*,15
09103,25,95
09104,*,20
40055,10,15
39022,190,300
24054,85,145
24055,50,315
50082,*,45
50083,15,30
19087,*,15
12045,75,120
31072,1570,1410
37106,25,105
12046,35,95
31074,85,125
42064,*,35
31075,30,10
19088,15,55
45050,95,140
09105,*,40
19089,*,20
26050,15,40
42065,*,15
05060,*,55
34059,75,115
17051,65,35
47052,2145,1125
24056,625,905
13034,18150,11535
37107,2325,3040
07015,7135,4175
25074,35,45
31076,750,330
50084,*,55
25075,35,*
26051,55,70
33018,545,600
04034,10,50
45051,395,435
28041,1820,395
19090,*,60
45052,1050,315
34060,15,60
40056,*,20
49050,50,225
40057,370,400
37108,*,45
03056,2135,2420
50085,20,80
44080,50,105
40058,50,110
50086,25,80
06037,170,790
46097,230,190
47053,15,60
47054,110,230
19091,*,15
09108,95,145
18049,85,225
18050,320,415
19092,105,155
25076,30,40
29042,3620,3840
15027,220,450
17054,105,115
32026,390,735
05061,55,85
39023,1755,1230
25077,125,120
05062,20,70
10065,25,50
05063,*,25
40059,30,50
28046,1730,665
28047,15080,6975
34061,*,55
08069,1040,430
43045,35,35
08070,75,50
29043,455,870
37109,10,75
28043,1310,1670
28042,320,270
28045,11175,4695
28044,2325,730
18051,175,355
17055,50,40
33019,595,980
22090,10,55
25163,40,80
29044,335,395
39024,455,545
29045,875,620
25161,90,100
40060,10,30
09109,250,365
19095,*,*
19096,*,75
43046,15,45
03057,40,90
24057,295,350
34062,5,80
19097,*,20
11014,3095,4330
14020,35,160
10066,20,80
07016,890,540
43047,1450,1050
41033,1010,1270
05064,10,45
45053,1910,1835
50087,*,10
09110,*,50
49052,30,80
19098,*,15
08071,75,50
44082,*,40
46098,525,855
08072,4025,1045
43048,205,210
24058,15,100
25078,285,225
47055,35,50
15028,290,400
17057,310,205
14021,73445,48380
06038,120,255
37110,10,30
34063,20,30
26052,30,60
19099,55,120
31077,1605,1660
26053,55,70
49053,120,345
27014,365,960
10067,1830,3490
41034,5635,5075
41035,170,435
15029,650,1765
26054,50,145
08073,19035,14385
17056,515,230
43049,200,255
06039,330,560
41036,740,1100
28048,150,110
26055,*,25
45054,855,1365
40061,10,30
13035,180,285
39025,2420,2085
47056,*,35
49054,145,360
41037,645,830
02027,*,125
06040,100,365
21024,70,155
32027,85,445
21025,455,1280
21026,50,90
31078,615,750
44084,5,25
12048,25,125
18053,270,620
29046,310,1045
46099,60,410
18054,125,340
13036,110,275
24059,105,385
09112,10,55
15030,60035,45550
33020,3580,3095
39026,270,605
44085,*,25
42068,*,35
28049,20125,10365
27015,730,975
07017,270,215
12049,120,125
50088,80,100
49055,15,30
46100,65,85
02028,15,55
36012,540,995
42069,290,455
09113,65,220
36013,180,990
12050,315,480
03058,1005,1375
13037,165,285
40902,20,55
36014,175,690
43050,755,655
24060,55,295
17058,55,45
05065,70,150
44086,115,105
03059,4110,6250
06041,50,145
37112,10,70
44087,15,20
17901,280,200
10068,140,245
24061,350,465
32028,30,840
50089,3130,950
44088,10,15
28050,1370,345
50090,25,55
08074,3760,2045
25079,70,75
42070,*,15
34066,*,25
24062,20,45
24063,35,175
47057,50,75
40062,*,50
19102,*,65
09114,20,25
49056,25,115
24064,290,420
44089,*,30
49057,10,50
09115,15,40
37113,70,115
42071,*,95
49058,40,145
44090,15,35
33021,890,1445
49059,5,40
40063,1835,1895
16078,11820,9655
47058,20,75
50091,*,30
45055,190,330
41903,1345,1640
44092,10,35
42073,*,40
09117,*,40
16079,*,20
29047,180,390
44093,15,35
40905,20,50
09119,*,30
29049,570,1000
04035,2245,2620
29048,275,455
18912,170,680
05066,85,155
44094,20,35
12051,30,220
18056,470,1300
18057,1510,995
46105,3725,5440
15031,6805,4640
10069,125,280
21027,*,30
21028,55,145
21029,210,500
43051,2760,2245
36015,740,1020
47059,15,45
15032,485,1060
29050,60,220
26056,100,150
28053,2530,685
13039,2795,3980
46113,460,760
04038,550,890
17060,115,120
50094,480,420
26057,*,25
18063,150,345
17061,50,45
03061,330,430
03062,200,105
20029,1205,965
33022,190,290
34067,10,55
34068,*,20
18064,60,125
18066,405,625
10070,85,290
43901,1770,2500
03063,9135,8110
48901,1140,1015
10071,15,95
31079,10,35
24066,45,225
42075,*,45
07018,180,135
42076,35,70
31080,120,155
05903,15,80
18067,70,215
18068,325,335
48026,280,225
37115,5,65
15033,440,575
18069,80,195
03064,1195,1395
46114,120,170
40068,5,10
45058,55,165
06043,100,185
06044,6930,6960
31081,85,60
31221,350,275
40069,10,40
05069,5,35
20069,48865,30420
05070,*,25
14022,805,985
37116,*,45
37117,425,185
46115,30,195
41038,28790,15505
14023,300,660
45059,380,485
08075,1480,475
36016,60,360
19107,55,110
18070,55,65
34069,515,640
43053,40,70
15034,300,735
48027,6320,4695
18071,1370,1225
19108,10,55
40070,20,70
42078,170,305
48028,155,220
31083,15,10
41039,6640,7885
31086,4910,1680
20030,6485,4980
07026,12915,6605
50095,3270,3090
37118,15,60
04902,11045,15195
44096,20,65
48031,60,145
01021,145,75
02030,500,1030
03065,40610,45510
01022,175,265
03066,9675,11130
20031,55,50
20033,225,235
20032,2580,1910
31087,45,30
46116,4305,1585
10072,110,400
48032,1595,1245
01023,80,60
19109,*,30
50096,*,20
46117,170,95
37120,*,45
37119,5,50
50098,15,100
40071,*,20
37121,110,140
37122,35,50
47060,35,90
14024,325,585
21031,145,485
37123,10,90
24067,80,250
40072,60,40
09120,*,20
26058,25,65
37124,25,80
31089,75,60
46118,875,1060
16082,30,150
04041,45,190
46119,155,235
49061,25,45
39028,890,1015
26059,165,480
32030,115,475
06045,80,200
50099,875,845
48902,5710,3915
31090,15,45
24068,50,190
48033,40,65
31091,35,135
50100,70,95
48034,3320,3120
20067,9150,7295
20066,100,85
01046,145,185
48079,85,115
31092,150,175
45060,25,75
21032,310,405
17062,2525,1550
39029,135,145
45061,550,755
40073,105,140
45062,265,280
19110,*,35
23031,120,250
40074,50,75
19111,10,85
50101,155,335
24069,*,20
40075,45,50
42079,*,15
19112,*,40
07019,45,50
28054,3670,1925
44097,10,75
44099,175,170
10073,90,245
37125,15,100
18072,130,165
32031,70,375
47061,40,90
20034,1005,540
31094,20,30
12057,110,270
37126,*,5
49062,5,60
12058,*,60
06046,180,380
06047,165,235
06048,120,290
08076,5655,2840
41040,3640,915
31095,*,40
37127,15,110
42080,*,100
14025,525,795
42081,15,70
23032,145,140
11017,505,995
14026,315,560
40076,2195,1405
17063,45,45
37128,20,105
34070,15,75
09122,*,45
19113,115,175
05072,20,35
09124,220,555
34071,25,70
09123,*,15
45063,35,240
40077,300,170
19114,*,*
25081,80,90
43054,850,645
08077,11380,6150
22099,110,140
17064,100,70
17065,105,40
07020,1265,565
25082,80,70
31096,15,40
08078,45,30
45064,1180,720
19115,*,20
22102,35,55
22103,190,125
25088,20,20
08079,75,75
25085,40,25
31097,2955,2665
07021,65,125
41041,2220,2290
42082,*,*
09125,85,250
29051,14310,9970
44100,25,70
31098,500,385
25086,190,190
25087,15,15
46120,235,335
26060,10,40
22105,25,45
36017,3535,4265
45065,30,140
28055,190,300
19116,*,10
46121,25,30
31099,5,20
31082,160,170
31084,475,590
31085,150,95
48029,2475,1410
48030,160,155
31100,60,70
31101,395,220
26061,390,485
31093,55,75
20035,115,120
31102,15,55
31103,10,10
50102,225,290
24070,715,1315
03067,15,35
22106,*,*
31104,440,570
43055,600,475
03068,*,25
22107,25,40
12059,30,120
17005,105,90
29052,40,90
49063,40,145
49064,35,215
50104,55,100
25089,35,20
38012,460,760
43056,200,240
46122,710,760
46123,375,530
50105,70,105
50106,5,60
43057,*,20
07022,3280,3700
04043,120,160
15035,2855,2595
02031,95,210
06049,170,330
49065,155,460
13040,145,260
14027,1485,1970
18074,30,110
49066,55,180
49067,25,175
07023,1125,595
49068,20,210
44101,*,25
15036,15240,15135
08134,260,115
08080,*,*
25908,35,70
43058,10,40
17066,9155,8440
43059,75,40
12060,105,135
49069,15,200
50107,260,230
04044,290,540
03069,1560,1325
04045,265,695
35008,1700,1025
22109,65,55
15037,505,1240
31105,340,490
17067,265,145
43060,950,660
05073,35,115
25092,35,35
37129,35,85
08082,340,205
08081,105,55
46126,1325,1400
17068,75,40
24071,195,325
27017,40,440
08083,535,245
47062,10,80
50108,*,25
47063,10,45
26062,15,30
25093,165,135
03077,675,580
04046,115,265
18076,90,335
44102,*,15
49071,50,355
08084,295,220
27018,255,1400
46128,355,525
46127,580,990
17069,95,140
19117,450,445
13041,40,115
46124,120,260
17070,40,20
17071,345,135
31106,215,130
47064,*,15
09127,*,20
05074,140,200
08085,310,210
22110,155,245
26063,10,60
25094,50,30
22111,30,35
17902,380,245
12061,75,115
36018,330,1080
43061,*,25
37130,10,70
07024,2480,1460
03070,805,825
44103,10,55
07025,145,145
17073,655,170
36019,195,465
44105,10,40
46125,200,240
44106,40,60
17074,140,95
30020,1565,1930
48906,195,160
27019,1605,2185
44107,50,70
15038,245,615
37131,10,90
22112,2810,2470
50109,*,45
23033,200,485
33023,560,1095
09128,20,25
08086,4460,2780
50110,70,160
34072,20,70
42083,*,10
06050,785,1185
37132,20,175
43062,90,75
18078,150,340
50111,35,55
16083,*,25
40078,35,35
16084,*,30
09129,*,55
44108,75,135
05075,10,40
28056,320,285
37133,15,35
10075,30,125
09130,*,35
09131,95,110
37134,25,95
40079,35,90
42084,*,10
40080,20,20
49075,10,65
49076,55,95
24073,55,215
09132,20,50
09133,*,15
49077,10,80
28057,490,315
34073,*,80
47065,125,275
05076,95,110
09134,40,90
44109,15,45
49078,15,70
29053,830,455
27020,175,1260
34074,145,170
38013,795,740
16085,20,70
48035,100,95
40081,20,60
19118,*,10
13042,120,350
38014,325,345
19119,15,50
50113,160,180
50114,25,50
44110,*,20
29054,16200,12220
28058,47350,19305
06051,245,615
13043,50,70
26064,705,555
47066,385,205
45066,1750,1940
02032,50,115
23034,495,715
30021,2230,3205
06052,810,960
16086,230,265
29055,565,440
37135,200,355
40082,25,40
06053,105,205
06054,875,1605
13044,370,880
40083,*,90
40084,10,30
05077,20,70
28059,1310,890
47067,20,55
49079,*,55
14028,25,165
12063,15,25
14029,795,1055
14030,1520,2590
18079,665,935
02033,360,620
02034,360,345
42085,10,95
09135,*,15
42086,*,20
42087,5,20
09136,30,85
37136,80,260
21033,90,130
19120,*,70
49080,90,260
09137,15,90
19121,30,115
16087,30,90
16088,*,55
37137,*,50
09138,10,35
42088,*,40
19122,20,40
42089,*,20
19123,*,20
09139,10,30
16904,115,115
09140,20,55
19124,70,180
47068,*,15
40086,170,190
42090,*,45
40087,10,40
40088,50,105
37138,40,60
46129,85,220
16089,80,105
44111,15,30
44112,85,170
41042,970,1610
05078,15,45
12064,10,65
37139,50,70
24074,10,40
50115,965,760
50116,30,105
06055,255,740
42092,*,40
34076,80,205
37140,125,310
49082,60,160
44113,10,45
34077,70,60
49081,310,450
40089,25,90
49083,*,35
40091,10,50
44114,45,90
09141,160,105
49084,30,100
42093,*,25
14031,65,265
40092,15,35
28060,435,335
23035,260,295
16091,10,35
22113,90,115
25096,230,240
25097,20,25
31107,420,500
31108,485,485
16092,25,45
18905,4355,2515
20038,90,75
04047,495,670
08090,15,45
03072,70,120
12065,20,70
20037,25,20
19125,*,20
37141,20,55
28061,8005,3185
19126,565,270
31109,430,245
21034,210,385
09143,*,*
26065,*,25
48036,7080,4385
48037,150,220
35009,4365,4050
49085,125,445
18082,145,360
43063,155,165
26066,55,105
37142,125,165
37143,40,180
37144,30,165
10076,115,260
04048,775,625
09144,*,25
40093,10,35
05079,*,30
37145,15,125
47069,15,35
05080,*,35
37146,10,60
49086,10,45
49087,*,275
08087,50,25
26067,*,*
31110,15,50
50117,15,45
31111,15,40
50118,535,620
44115,15,55
19127,10,50
45067,515,695
48038,230,230
49088,*,40
43064,675,475
46131,14515,15130
16093,10,40
38015,740,1055
38016,140,580
48039,60,50
31112,15,30
06056,45,170
43065,135,105
10077,70,295
37147,15,65
37148,60,120
40094,110,100
45068,10,70
37149,10,20
31113,20,65
44116,25,25
28062,70,110
05081,*,20
10079,130,290
10078,55,160
10080,35,155
28063,55,130
10081,10,55
43066,50,20
31114,110,65
06057,55,195
24076,230,345
31115,35,40
42094,115,145
08088,3940,2110
17075,85,65
17076,30,35
17077,230,125
41043,130,165
06058,330,590
10082,265,625
04049,1310,1735
10083,20,40
28064,35,40
16094,*,85
19129,*,40
11018,255,535
10084,155,595
03071,1035,1280
48040,365,240
47070,*,10
46902,45,155
29056,315,360
48041,195,155
08089,11615,6060
46130,140,285
25098,30,90
05082,90,190
20907,20,45
44117,60,110
37150,*,15
12067,105,155
08091,1755,1070
50119,195,280
41044,2335,870
49090,30,80
05083,15,60
29057,50,185
23037,105,175
31116,10,25
46132,520,485
17078,110,100
41045,1275,1240
04050,165,315
47071,120,85
45069,355,510
48046,3590,3330
46133,115,200
28065,38530,23980
20039,605,390
48044,20860,9340
21035,2160,2560
33024,69710,52805
05085,*,15
05084,*,40
41046,645,695
46134,825,475
25912,210,220
05086,5,35
26068,35,25
44118,30,65
41047,3475,890
43067,185,160
02035,415,530
17079,25715,12530
08092,1170,940
08093,*,*
22114,25,40
48047,35,35
18083,15,115
43068,100,185
46135,3070,1580
46136,475,785
50120,*,20
31117,135,190
18084,1220,620
42095,540,290
25099,385,250
02036,5,60
37151,20,40
42096,40,120
17080,35,50
37152,85,115
32033,50,335
40095,95,165
36021,2440,2120
31118,30,65
18085,40,365
18086,65,160
24077,30,105
48042,325,375
10085,50,125
24078,50,165
03073,25,80
48043,1235,945
42097,*,10
25100,50,45
05087,10,40
50121,55,95
33025,1990,2270
24079,75,415
33026,1885,2420
22115,75,100
16095,15,30
16096,65,95
24080,20,95
40097,40,50
18087,58405,38510
21036,20,80
08094,490,325
25101,125,170
38017,8970,6755
21037,55,190
13045,140,205
33027,140,235
05088,*,10
08095,*,*
46137,60,95
49091,*,95
03074,420,505
06059,320,560
25102,150,230
10086,35,110
14032,85,110
08096,14305,8525
49092,10,75
25103,25,50
25105,25,50
25104,15,40
22116,330,395
26069,40,105
43069,45,65
22117,735,730
26070,25,75
11019,245,650
44119,*,55
09148,*,35
34079,455,305
28066,2330,855
09149,*,15
50122,20,30
50123,125,95
36022,2060,1920
18088,150,635
19130,19345,13195
44120,30,75
41048,370,670
14033,205,370
28067,1395,705
13046,125,225
10087,305,545
45070,385,290
28068,4025,1945
46138,85,90
46139,1365,915
18089,3175,3865
37154,5,65
18906,120,395
08097,315,220
18093,615,1060
17081,80,75
38018,970,835
36023,1465,2445
46140,75,145
03076,3245,3330
23038,880,515
45071,330,605
08099,180,275
34080,1080,1670
06060,940,1710
29058,215,570
49093,60,95
23039,445,545
34081,10,15
44121,10,15
32034,100,490
18094,505,565
48045,1280,1295
31119,*,20
31120,60,135
18095,465,435
38019,3880,3090
43070,60,60
37155,15,35
10088,25,90
10089,170,485
10090,55,235
10091,30,125
14034,*,145
37156,1165,1065
41049,2170,2150
17082,85,140
38020,3505,3430
25109,50,85
25903,70,110
31121,*,35
05089,55,190
25110,1350,870
27022,545,1495
25111,15,30
09151,80,185
09152,45,100
27023,200,880
08100,535,220
39030,460,550
22119,305,390
24081,10,55
05090,10,15
06061,170,370
09154,15,70
01056,40,95
35010,1025,1025
26071,2380,2320
09155,*,10
39031,290,330
06062,80,260
02037,4895,6075
16097,5,90
19132,*,50
19133,40,60
12068,*,30
26072,65,105
13047,1325,1760
45072,70,270
10092,40,120
37157,*,35
37158,20,115
37159,*,60
39032,215,485
34082,*,50
38021,345,500
49094,10,140
20040,4440,3185
10093,65,130
05092,15,60
20041,65,50
05093,80,150
26073,15,45
41050,1090,1205
10094,40,90
50124,75,175
34083,310,665
42098,*,5
34084,*,65
06063,395,1020
02038,35,95
19134,*,15
39033,85,195
05094,15,65
10095,40,145
45073,55,120
47073,15,50
16098,110,195
10096,560,1065
26074,15,55
19135,20,50
10097,15,40
23041,100,170
06064,130,320
21038,125,435
05095,40,115
06065,50,110
06066,90,770
06067,280,695
12069,*,35
02039,110,360
46141,75,135
05096,*,35
44122,355,370
19136,*,15
49095,45,95
10098,50,145
21039,10,130
23042,60,155
21040,610,855
37160,80,200
44123,10,45
45074,25,175
42100,*,15
14035,540,2085
06068,50,165
16099,30,85
13048,75,185
16100,120,275
31256,30,20
28069,15,20
19138,55,125
16101,15,60
10099,100,220
19139,*,20
20036,3995,2315
03078,310,190
16102,250,455
40099,*,20
40100,60,90
45075,20,85
40101,255,190
09159,*,20
16103,25,125
09160,*,40
16104,10,30
19142,40,115
34086,20,30
09162,10,40
09164,15,85
09163,65,270
05097,45,215
28070,35,55
05099,60,200
13049,115,305
37161,10,65
16106,425,1005
37162,*,90
28071,15,25
19143,520,440
09166,15,30
45076,125,200
26075,85,115
26076,10,60
06069,420,1000
14036,675,1105
05100,35,130
26077,*,5
34087,*,55
47074,25,60
09167,*,25
23043,80,190
26078,10,35
09168,30,125
43071,225,220
19145,*,20
09169,15,35
24082,165,240
08101,57545,44490
08162,690,405
17083,880,735
37163,*,15
02040,80,210
09170,20,95
28072,2135,560
05102,325,630
05101,25,140
05103,*,45
10100,110,285
05106,*,20
05104,*,15
05105,55,115
22122,5,20
44124,*,35
22908,20,60
31122,1695,830
45077,130,110
04051,65,150
10101,15,70
18096,20,130
16107,*,65
23044,885,1335
21041,31455,23800
16108,10,25
18097,175,310
04052,3805,1765
04053,3080,3550
26079,135,225
19146,*,30
16109,*,20
09172,*,50
19147,*,25
37164,45,85
09173,*,50
16110,10,40
09174,120,305
45078,325,395
16111,10,80
19148,*,25
22124,25,70
40103,25,50
23045,260,710
44125,*,40
22125,12145,8640
18098,1090,1910
16112,335,520
18099,375,325
18100,1365,2260
18101,2995,1220
19150,20,45
41051,495,435
09175,*,75
19151,220,375
28073,4535,1895
29059,745,540
09176,*,20
05107,*,35
34088,45,70
10102,55,145
31124,40,55
20042,930,625
48048,105,175
50125,75,125
09177,250,285
03079,4465,4655
33028,145,610
22126,*,50
09178,*,25
23046,485,635
38022,3945,4130
20043,485,450
31259,105,110
26080,95,225
09179,*,15
09180,*,65
44126,65,125
45079,25,160
48094,980,710
22127,155,80
08102,9350,6335
29060,50,340
24083,130,495
31125,50,100
20044,85,75
22128,20,65
36901,505,1060
45080,*,*
19152,115,280
33029,25,180
04054,30,150
33030,190,235
45081,5840,3125
18102,1440,2860
50126,525,695
31126,85,80
07027,6195,5090
27024,140,525
35011,6390,4135
16113,635,1020
19153,*,*
04055,50,185
19154,*,45
31127,30,40
32035,125,585
15039,215,245
23047,325,400
37165,*,10
19155,*,40
20045,14365,9830
01901,735,465
20046,380,265
01027,110,65
31904,465,415
31128,95,125
22129,35,80
09181,45,105
47075,1155,1305
21042,2565,4715
41902,695,1590
25115,220,220
17084,60,90
48049,115,145
29061,245,280
50128,*,15
34089,15,65
09182,*,40
18103,155,275
20047,140,120
37166,15,90
40104,85,70
31129,90,85
31130,70,85
48910,790,705
25112,70,55
25113,300,315
25114,25,25
31131,290,130
31132,35,50
24084,15,75
31133,*,15
14037,605,1195
18105,845,1775
29062,85,280
23048,150,360
48050,60,45
44127,*,40
23049,360,535
21043,350,555
22130,2965,2330
03080,375,345
19156,295,380
23050,25555,17705
17085,100,70
46142,95,310
26081,*,10
49096,25,70
23051,390,895
12070,85,225
50129,60,80
46144,110,275
10103,65,165
10104,935,1590
09183,*,25
09184,*,*
10105,490,775
10106,10,70
50130,65,140
44128,5,30
22131,25,30
44129,5,15
50131,20,95
31134,25,70
03082,7935,4300
31135,25,20
18107,175,305
11020,45160,32220
06070,1680,2040
18108,205,230
12071,330,385
10107,180,360
18109,120,230
03083,1225,1805
23052,170,400
11021,1735,1980
29063,50,155
19157,*,30
24086,30,120
23053,1440,2855
17086,640,585
08103,175,135
44130,*,15
02041,45,155
44131,*,15
25910,25,40
50132,240,85
40105,*,20
40106,45,65
29064,75,235
17087,85,40
30022,3815,5185
18111,820,390
05108,*,35
25118,90,85
25119,660,565
09189,*,45
09190,10,30
09191,*,25
09192,10,25
31136,115,80
49097,*,55
18112,15,70
37167,20,50
29065,50,50
48022,380,740
48907,55,100
01019,25,50
01020,55,105
40107,10,60
01028,270,305
13050,85,175
22133,30,30
18115,465,645
10108,10,95
45082,180,385
34091,10,60
50133,10,60
01030,25,65
01031,280,380
44132,*,35
24087,75,240
26082,*,65
40108,5,50
47076,5730,2645
24088,110,390
16115,10,20
16116,*,*
37168,25,200
26083,20,135
23040,285,375
31138,270,220
36024,2495,4745
22135,35,50
22136,130,315
36025,500,480
39034,20,120
31139,25,55
22137,150,380
27026,315,615
01032,90,195
16117,210,355
48051,20,80
05109,85,100
42103,80,255
50134,*,70
47077,15,115
33031,9745,9195
40109,10,30
18116,515,885
34092,35,140
01902,155,270
18117,60,195
41052,460,985
31140,15,35
05110,160,175
44133,*,15
06071,15,115
22139,20,15
31141,25,35
01033,150,195
15041,1370,2945
26084,2100,1410
39035,2225,2480
32038,55,180
04056,*,75
48052,450,290
31142,300,485
31143,15,35
20048,45,55
31144,190,180
37169,20,80
23054,90,125
20902,3985,3125
22141,10,50
22142,20,35
22143,40,110
22144,50,70
40110,55,155
40111,*,35
40112,795,320
01036,4050,3490
04057,185,490
48053,260,120
33032,2700,3315
15040,310,945
50135,20,30
45083,135,90
32039,55,610
31145,30,45
20049,1305,730
20050,75,75
31146,*,20
41053,4690,4650
50136,100,230
50138,10,*
50137,285,235
18119,415,470
19159,*,40
16118,220,525
37170,240,490
26086,*,5
34094,*,35
37171,80,125
28074,41635,29315
16119,15,80
31147,30,30
31148,10,40
20051,1740,1765
20052,310,255
01058,380,360
20068,40,60
48054,7640,4060
32040,185,630
31149,520,620
26087,45,90
48057,1550,1505
31908,320,210
48055,740,660
48056,230,220
33033,2395,2920
18120,50,90
24089,30415,27075
31150,40,65
21044,3055,5555
31151,*,35
31152,330,415
09194,440,670
25121,300,115
31153,640,465
02042,140,320
50139,35,110
01034,40,55
26088,*,15
48081,535,390
31154,50,50
20053,1365,1045
02043,80,520
30023,755,1090
44135,10,70
42105,*,20
44136,*,20
31155,60,85
39036,300,195
39037,420,465
02044,75,495
04058,30,160
45084,395,715
39038,405,365
23055,12665,9670
21045,40,95
44137,25,95
37172,95,305
11022,13805,9900
25122,565,490
50140,20,65
50141,*,45
20054,130,155
31156,55,75
08104,210,165
17088,150,140
25123,45,50
25124,30,30
08105,3135,2085
17089,1850,1255
24092,90,335
17090,180,45
17091,120,110
17092,1220,845
33035,3120,2285
46154,150,250
33036,2840,2845
09195,*,30
47079,*,30
38024,4670,3250
05113,10,40
13904,120,120
25125,95,140
46155,195,370
25126,75,95
44141,25,40
25120,32245,23545
06073,70,310
06074,975,1125
17093,260,160
25127,50,75
03085,280,145
08107,3560,1375
08108,1540,630
25128,15,75
08106,2050,1325
46147,4820,4060
17094,340,360
43072,10,30
25129,40,20
46152,30,20
46153,90,150
46151,170,155
46156,450,585
43073,15,35
43074,505,325
17095,8355,7190
07028,265,230
46157,615,745
12074,165,215
