Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
25017,65,55
43010,85,65
19019,*,*
10018,200,610
42016,*,15
21002,4680,1945
06009,35,70
20006,70,60
33001,220,495
32001,980,1375
44021,15,35
33002,2240,3165
31011,165,160
31012,185,245
44022,100,205
44023,*,*
25019,1255,1180
29009,225,505
13011,935,1400
41009,185,435
13012,45,155
19020,*,35
13013,1375,1660
42017,30,55
42018,25,60
02009,5250,4405
24004,35,230
10019,270,295
49007,40,135
16015,75,150
29010,380,445
42019,90,155
26012,*,*
46032,1520,1305
25020,65,85
42020,1045,1145
12009,4250,5955
42021,*,40
12010,25,105
13014,110,145
14004,450,540
18016,35,175
49008,55,205
25021,630,655
42022,20,120
12011,960,1525
47008,*,10
37027,55,65
37028,*,85
06010,165,375
45011,30,140
06011,5725,6900
21003,105,255
16016,45,75
41010,1480,610
04013,39820,29360
46033,40,65
50021,*,15
04014,15,80
13015,1150,1445
16017,55,125
14005,1070,1810
29011,445,990
19021,145,465
44018,*,*
10020,200,560
46034,405,585
50022,75,135
50023,20,85
50024,110,255
45012,95,270
19022,120,190
16018,65,110
21004,165,610
21005,3515,4040
03015,3345,3800
45013,350,550
43011,375,105
03016,15,45
22021,525,410
50025,1355,1425
22022,115,150
22023,95,120
18017,5155,4965
13016,175,150
46035,1750,1565
44019,*,30
19023,20,45
48912,630,595
29012,2225,2615
25022,30,30
21006,485,1200
19024,3050,1070
29013,290,605
17006,385,385
29014,25,125
42023,10,30
50026,75,160
28010,3380,1530
08004,45,80
44020,*,10
02010,235,665
25023,1535,595
46036,50,265
18904,135,380
03017,70,135
46037,240,365
12901,745,980
22024,45,100
18018,130,140
04015,10,65
25024,85,115
09013,*,15
43012,1175,685
16019,*,100
03018,5350,3735
22025,275,295
09014,15,75
31010,1595,1530
12012,650,815
20906,40,25
20007,90,50
19027,35,75
46017,8630,8640
05012,15,60
34009,*,15
50027,45,65
28011,90,175
17007,505,445
15002,6960,4420
31013,130,200
43013,1525,1455
08005,2190,535
09016,10,35
20008,165,210
33003,120,200
32002,310,595
48003,3880,3330
48004,70,80
43906,530,890
43014,4315,3855
34010,85,175
39002,975,765
01002,2360,1505
34011,60,135
47009,15,35
44024,*,10
40017,15,40
37029,25,70
28012,265,195
13017,10,135
31014,75,75
49009,55,160
46038,25,105
20009,3470,2660
44025,1595,1545
31015,510,555
07005,2875,2005
23005,6805,7630
50028,*,40
17008,1250,905
25027,255,280
19031,*,*
26013,90,120
22027,70,75
26014,65,160
19032,30,85
09017,20,50
39003,45,75
50029,95,240
46039,385,605
20010,355,350
19033,*,45
19034,*,10
22028,105,100
31016,2730,1595
04016,510,670
27003,155,665
46040,215,335
29015,8175,6700
35003,2175,2210
24005,40,180
34012,25,135
22029,*,45
20011,510,340
31017,100,85
01049,15,60
40018,*,50
50030,30,65
14006,200,385
31018,135,105
45014,855,955
37030,*,35
31019,490,560
37031,45,135
21007,1210,1690
38004,955,980
22032,15,50
41011,2805,3545
40019,*,25
31020,70,150
48005,15,30
31025,185,200
20012,40,35
01003,315,260
31021,10,20
42024,*,55
09018,6750,6500
50031,25,75
50032,50,120
09019,20,60
16020,*,10
15003,90,610
31023,2215,375
28013,12525,7515
31024,15,35
