Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;02 Albacete;02039 Higueruela;Total;2020;68
Total Nacional;02 Albacete;02040 Hoya-Gonzalo;Total;2020;38
Total Nacional;02 Albacete;02041 Jorquera;Total;2020;11
Total Nacional;02 Albacete;02042 Letur;Total;2020;61
Total Nacional;02 Albacete;02043 Lezuza;Total;2020;76
Total Nacional;02 Albacete;02044 Liétor;Total;2020;51
Total Nacional;02 Albacete;02045 Madrigueras;Total;2020;341
Total Nacional;02 Albacete;02046 Mahora;Total;2020;76
Total Nacional;02 Albacete;02047 Masegoso;Total;2020;.
Total Nacional;02 Albacete;02048 Minaya;Total;2020;84
Total Nacional;02 Albacete;02049 Molinicos;Total;2020;56
Total Nacional;02 Albacete;02050 Montalvos;Total;2020;.
Total Nacional;02 Albacete;02051 Montealegre del Castillo;Total;2020;168
Total Nacional;02 Albacete;02052 Motilleja;Total;2020;20
Total Nacional;02 Albacete;02053 Munera;Total;2020;228
Total Nacional;02 Albacete;02054 Navas de Jorquera;Total;2020;15
Total Nacional;02 Albacete;02055 Nerpio;Total;2020;74
Total Nacional;02 Albacete;02056 Ontur;Total;2020;113
Total Nacional;02 Albacete;02057 Ossa de Montiel;Total;2020;164
Total Nacional;02 Albacete;02058 Paterna del Madera;Total;2020;16
Total Nacional;02 Albacete;02059 Peñascosa;Total;2020;13
Total Nacional;02 Albacete;02060 Peñas de San Pedro;Total;2020;51
Total Nacional;02 Albacete;02061 Pétrola;Total;2020;39
Total Nacional;02 Albacete;02062 Povedilla;Total;2020;17
Total Nacional;02 Albacete;02063 Pozohondo;Total;2020;97
Total Nacional;02 Albacete;02064 Pozo-Lorente;Total;2020;26
Total Nacional;02 Albacete;02065 Pozuelo;Total;2020;24
Total Nacional;02 Albacete;02066 Recueja, La;Total;2020;12
Total Nacional;02 Albacete;02067 Riópar;Total;2020;118
Total Nacional;02 Albacete;02068 Robledo;Total;2020;23
Total Nacional;02 Albacete;02069 Roda, La;Total;2020;1.154
Total Nacional;02 Albacete;02070 Salobre;Total;2020;20
Total Nacional;02 Albacete;02071 San Pedro;Total;2020;43
Total Nacional;02 Albacete;02072 Socovos;Total;2020;97
Total Nacional;02 Albacete;02073 Tarazona de la Mancha;Total;2020;397
Total Nacional;02 Albacete;02074 Tobarra;Total;2020;521
Total Nacional;02 Albacete;02075 Valdeganga;Total;2020;95
Total Nacional;02 Albacete;02076 Vianos;Total;2020;17
Total Nacional;02 Albacete;02077 Villa de Ves;Total;2020;.
Total Nacional;02 Albacete;02078 Villalgordo del Júcar;Total;2020;65
Total Nacional;02 Albacete;02079 Villamalea;Total;2020;242
Total Nacional;02 Albacete;02080 Villapalacios;Total;2020;17
Total Nacional;02 Albacete;02081 Villarrobledo;Total;2020;1.660
Total Nacional;02 Albacete;02082 Villatoya;Total;2020;4
Total Nacional;02 Albacete;02083 Villavaliente;Total;2020;12
Total Nacional;02 Albacete;02084 Villaverde de Guadalimar;Total;2020;19
Total Nacional;02 Albacete;02085 Viveros;Total;2020;19
Total Nacional;02 Albacete;02086 Yeste;Total;2020;152
Total Nacional;02 Albacete;02901 Pozo Cañada;Total;2020;196
Total Nacional;03 Alicante/Alacant;03001 Atzúbia, l';Total;2020;38
Total Nacional;03 Alicante/Alacant;03002 Agost;Total;2020;335
Total Nacional;03 Alicante/Alacant;03003 Agres;Total;2020;36
Total Nacional;03 Alicante/Alacant;03004 Aigües;Total;2020;69
Total Nacional;03 Alicante/Alacant;03005 Albatera;Total;2020;849
Total Nacional;03 Alicante/Alacant;03006 Alcalalí;Total;2020;99
Total Nacional;03 Alicante/Alacant;03007 Alcosser;Total;2020;19
Total Nacional;03 Alicante/Alacant;03008 Alcoleja;Total;2020;10
Total Nacional;03 Alicante/Alacant;03009 Alcoi/Alcoy;Total;2020;3.927
Total Nacional;03 Alicante/Alacant;03010 Alfafara;Total;2020;29
