Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;08 Barcelona;08105 Llagosta, La;Total;2020;758
Total Nacional;08 Barcelona;08106 Llinars del Vallès;Total;2020;899
Total Nacional;08 Barcelona;08107 Lliçà d'Amunt;Total;2020;1.124
Total Nacional;08 Barcelona;08108 Lliçà de Vall;Total;2020;829
Total Nacional;08 Barcelona;08109 Lluçà;Total;2020;37
Total Nacional;08 Barcelona;08110 Malgrat de Mar;Total;2020;1.242
Total Nacional;08 Barcelona;08111 Malla;Total;2020;35
Total Nacional;08 Barcelona;08112 Manlleu;Total;2020;1.293
Total Nacional;08 Barcelona;08113 Manresa;Total;2020;5.600
Total Nacional;08 Barcelona;08114 Martorell;Total;2020;1.504
Total Nacional;08 Barcelona;08115 Martorelles;Total;2020;367
Total Nacional;08 Barcelona;08116 Masies de Roda, Les;Total;2020;63
Total Nacional;08 Barcelona;08117 Masies de Voltregà, Les;Total;2020;239
Total Nacional;08 Barcelona;08118 Masnou, El;Total;2020;2.203
Total Nacional;08 Barcelona;08119 Masquefa;Total;2020;516
Total Nacional;08 Barcelona;08120 Matadepera;Total;2020;1.085
Total Nacional;08 Barcelona;08121 Mataró;Total;2020;9.772
Total Nacional;08 Barcelona;08122 Mediona;Total;2020;151
Total Nacional;08 Barcelona;08123 Molins de Rei;Total;2020;2.091
Total Nacional;08 Barcelona;08124 Mollet del Vallès;Total;2020;2.828
Total Nacional;08 Barcelona;08125 Montcada i Reixac;Total;2020;2.747
Total Nacional;08 Barcelona;08126 Montgat;Total;2020;974
Total Nacional;08 Barcelona;08127 Monistrol de Montserrat;Total;2020;189
Total Nacional;08 Barcelona;08128 Monistrol de Calders;Total;2020;50
Total Nacional;08 Barcelona;08129 Muntanyola;Total;2020;54
Total Nacional;08 Barcelona;08130 Montclar;Total;2020;12
Total Nacional;08 Barcelona;08131 Montesquiu;Total;2020;61
Total Nacional;08 Barcelona;08132 Montmajor;Total;2020;56
Total Nacional;08 Barcelona;08133 Montmaneu;Total;2020;11
Total Nacional;08 Barcelona;08134 Figaró-Montmany;Total;2020;86
Total Nacional;08 Barcelona;08135 Montmeló;Total;2020;562
Total Nacional;08 Barcelona;08136 Montornès del Vallès;Total;2020;1.020
Total Nacional;08 Barcelona;08137 Montseny;Total;2020;48
Total Nacional;08 Barcelona;08138 Moià;Total;2020;540
Total Nacional;08 Barcelona;08139 Mura;Total;2020;26
Total Nacional;08 Barcelona;08140 Navarcles;Total;2020;403
Total Nacional;08 Barcelona;08141 Navàs;Total;2020;459
Total Nacional;08 Barcelona;08142 Nou de Berguedà, La;Total;2020;16
Total Nacional;08 Barcelona;08143 Òdena;Total;2020;317
Total Nacional;08 Barcelona;08144 Olvan;Total;2020;79
Total Nacional;08 Barcelona;08145 Olèrdola;Total;2020;421
Total Nacional;08 Barcelona;08146 Olesa de Bonesvalls;Total;2020;136
Total Nacional;08 Barcelona;08147 Olesa de Montserrat;Total;2020;1.446
Total Nacional;08 Barcelona;08148 Olivella;Total;2020;324
Total Nacional;08 Barcelona;08149 Olost;Total;2020;98
Total Nacional;08 Barcelona;08150 Orís;Total;2020;32
Total Nacional;08 Barcelona;08151 Oristà;Total;2020;42
Total Nacional;08 Barcelona;08152 Orpí;Total;2020;17
Total Nacional;08 Barcelona;08153 Òrrius;Total;2020;64
Total Nacional;08 Barcelona;08154 Pacs del Penedès;Total;2020;94
Total Nacional;08 Barcelona;08155 Palafolls;Total;2020;659
Total Nacional;08 Barcelona;08156 Palau-solità i Plegamans;Total;2020;1.447
Total Nacional;08 Barcelona;08157 Pallejà;Total;2020;894
Total Nacional;08 Barcelona;08158 Papiol, El;Total;2020;440
Total Nacional;08 Barcelona;08159 Parets del Vallès;Total;2020;1.372
Total Nacional;08 Barcelona;08160 Perafita;Total;2020;42
Total Nacional;08 Barcelona;08161 Piera;Total;2020;953
Total Nacional;08 Barcelona;08162 Hostalets de Pierola, Els;Total;2020;200
Total Nacional;08 Barcelona;08163 Pineda de Mar;Total;2020;1.806
Total Nacional;08 Barcelona;08164 Pla del Penedès, El;Total;2020;80
Total Nacional;08 Barcelona;08165 Pobla de Claramunt, La;Total;2020;193
Total Nacional;08 Barcelona;08166 Pobla de Lillet, La;Total;2020;77
Total Nacional;08 Barcelona;08167 Polinyà;Total;2020;788
Total Nacional;08 Barcelona;08168 Pontons;Total;2020;27
Total Nacional;08 Barcelona;08169 Prat de Llobregat, El;Total;2020;3.463
Total Nacional;08 Barcelona;08170 Prats de Rei, Els;Total;2020;47
Total Nacional;08 Barcelona;08171 Prats de Lluçanès;Total;2020;241
Total Nacional;08 Barcelona;08172 Premià de Mar;Total;2020;2.065
Total Nacional;08 Barcelona;08174 Puigdàlber;Total;2020;32
Total Nacional;08 Barcelona;08175 Puig-reig;Total;2020;339
Total Nacional;08 Barcelona;08176 Pujalt;Total;2020;15
Total Nacional;08 Barcelona;08177 Quar, La;Total;2020;.
Total Nacional;08 Barcelona;08178 Rajadell;Total;2020;55
Total Nacional;08 Barcelona;08179 Rellinars;Total;2020;52
Total Nacional;08 Barcelona;08180 Ripollet;Total;2020;2.327
Total Nacional;08 Barcelona;08181 Roca del Vallès, La;Total;2020;981
Total Nacional;08 Barcelona;08182 Pont de Vilomara i Rocafort, El;Total;2020;175
Total Nacional;08 Barcelona;08183 Roda de Ter;Total;2020;410
Total Nacional;08 Barcelona;08184 Rubí;Total;2020;5.036
Total Nacional;08 Barcelona;08185 Rubió;Total;2020;16
Total Nacional;08 Barcelona;08187 Sabadell;Total;2020;14.804
Total Nacional;08 Barcelona;08188 Sagàs;Total;2020;14
Total Nacional;08 Barcelona;08189 Sant Pere Sallavinera;Total;2020;10
Total Nacional;08 Barcelona;08190 Saldes;Total;2020;40
Total Nacional;08 Barcelona;08191 Sallent;Total;2020;483
Total Nacional;08 Barcelona;08192 Santpedor;Total;2020;543
Total Nacional;08 Barcelona;08193 Sant Iscle de Vallalta;Total;2020;119
Total Nacional;08 Barcelona;08194 Sant Adrià de Besòs;Total;2020;2.124
Total Nacional;08 Barcelona;08195 Sant Agustí de Lluçanès;Total;2020;15
Total Nacional;08 Barcelona;08196 Sant Andreu de la Barca;Total;2020;1.620
Total Nacional;08 Barcelona;08197 Sant Andreu de Llavaneres;Total;2020;1.121
Total Nacional;08 Barcelona;08198 Sant Antoni de Vilamajor;Total;2020;549
Total Nacional;08 Barcelona;08199 Sant Bartomeu del Grau;Total;2020;62
Total Nacional;08 Barcelona;08200 Sant Boi de Llobregat;Total;2020;4.703
Total Nacional;08 Barcelona;08201 Sant Boi de Lluçanès;Total;2020;44
Total Nacional;08 Barcelona;08202 Sant Celoni;Total;2020;1.216
Total Nacional;08 Barcelona;08203 Sant Cebrià de Vallalta;Total;2020;315
Total Nacional;08 Barcelona;08204 Sant Climent de Llobregat;Total;2020;344
Total Nacional;08 Barcelona;08205 Sant Cugat del Vallès;Total;2020;10.630
Total Nacional;08 Barcelona;08206 Sant Cugat Sesgarrigues;Total;2020;104
Total Nacional;08 Barcelona;08207 Sant Esteve de Palautordera;Total;2020;280
Total Nacional;08 Barcelona;08208 Sant Esteve Sesrovires;Total;2020;638
Total Nacional;08 Barcelona;08209 Sant Fost de Campsentelles;Total;2020;773
Total Nacional;08 Barcelona;08210 Sant Feliu de Codines;Total;2020;499
Total Nacional;08 Barcelona;08211 Sant Feliu de Llobregat;Total;2020;2.973
Total Nacional;08 Barcelona;08212 Sant Feliu Sasserra;Total;2020;71
Total Nacional;08 Barcelona;08213 Sant Fruitós de Bages;Total;2020;899
Total Nacional;08 Barcelona;08214 Vilassar de Dalt;Total;2020;1.001
Total Nacional;08 Barcelona;08215 Sant Hipòlit de Voltregà;Total;2020;234
Total Nacional;08 Barcelona;08216 Sant Jaume de Frontanyà;Total;2020;.
Total Nacional;08 Barcelona;08217 Sant Joan Despí;Total;2020;2.367
Total Nacional;08 Barcelona;08218 Sant Joan de Vilatorrada;Total;2020;636
Total Nacional;08 Barcelona;08219 Vilassar de Mar;Total;2020;1.935
Total Nacional;08 Barcelona;08220 Sant Julià de Vilatorta;Total;2020;285
Total Nacional;08 Barcelona;08221 Sant Just Desvern;Total;2020;2.164
Total Nacional;08 Barcelona;08222 Sant Llorenç d'Hortons;Total;2020;171
Total Nacional;08 Barcelona;08223 Sant Llorenç Savall;Total;2020;198
Total Nacional;08 Barcelona;08224 Sant Martí de Centelles;Total;2020;81
Total Nacional;08 Barcelona;08225 Sant Martí d'Albars;Total;2020;15
Total Nacional;08 Barcelona;08226 Sant Martí de Tous;Total;2020;103
Total Nacional;08 Barcelona;08227 Sant Martí Sarroca;Total;2020;220
Total Nacional;08 Barcelona;08228 Sant Martí Sesgueioles;Total;2020;32
Total Nacional;08 Barcelona;08229 Sant Mateu de Bages;Total;2020;53
Total Nacional;08 Barcelona;08230 Premià de Dalt;Total;2020;1.059
Total Nacional;08 Barcelona;08231 Sant Pere de Ribes;Total;2020;2.416
Total Nacional;08 Barcelona;08232 Sant Pere de Riudebitlles;Total;2020;144
Total Nacional;08 Barcelona;08233 Sant Pere de Torelló;Total;2020;196
Total Nacional;08 Barcelona;08234 Sant Pere de Vilamajor;Total;2020;369
Total Nacional;08 Barcelona;08235 Sant Pol de Mar;Total;2020;476
Total Nacional;08 Barcelona;08236 Sant Quintí de Mediona;Total;2020;109
Total Nacional;08 Barcelona;08237 Sant Quirze de Besora;Total;2020;156
Total Nacional;08 Barcelona;08238 Sant Quirze del Vallès;Total;2020;2.061
Total Nacional;08 Barcelona;08239 Sant Quirze Safaja;Total;2020;82
Total Nacional;08 Barcelona;08240 Sant Sadurní d'Anoia;Total;2020;884
Total Nacional;08 Barcelona;08241 Sant Sadurní d'Osormort;Total;2020;.
Total Nacional;08 Barcelona;08242 Marganell;Total;2020;27
Total Nacional;08 Barcelona;08243 Santa Cecília de Voltregà;Total;2020;22
Total Nacional;08 Barcelona;08244 Santa Coloma de Cervelló;Total;2020;598
Total Nacional;08 Barcelona;08245 Santa Coloma de Gramenet;Total;2020;5.577
Total Nacional;08 Barcelona;08246 Santa Eugènia de Berga;Total;2020;167
Total Nacional;08 Barcelona;08247 Santa Eulàlia de Riuprimer;Total;2020;122
Total Nacional;08 Barcelona;08248 Santa Eulàlia de Ronçana;Total;2020;643
Total Nacional;08 Barcelona;08249 Santa Fe del Penedès;Total;2020;30
Total Nacional;08 Barcelona;08250 Santa Margarida de Montbui;Total;2020;441
Total Nacional;08 Barcelona;08251 Santa Margarida i els Monjos;Total;2020;385
Total Nacional;08 Barcelona;08252 Barberà del Vallès;Total;2020;2.558
Total Nacional;08 Barcelona;08253 Santa Maria de Besora;Total;2020;15
Total Nacional;08 Barcelona;08254 Esquirol, L';Total;2020;194
Total Nacional;08 Barcelona;08255 Santa Maria de Merlès;Total;2020;20
Total Nacional;08 Barcelona;08256 Santa Maria de Martorelles;Total;2020;68
Total Nacional;08 Barcelona;08257 Santa Maria de Miralles;Total;2020;19
Total Nacional;08 Barcelona;08258 Santa Maria d'Oló;Total;2020;73
Total Nacional;08 Barcelona;08259 Santa Maria de Palautordera;Total;2020;743
Total Nacional;08 Barcelona;08260 Santa Perpètua de Mogoda;Total;2020;2.003
Total Nacional;08 Barcelona;08261 Santa Susanna;Total;2020;325
Total Nacional;08 Barcelona;08262 Sant Vicenç de Castellet;Total;2020;550
Total Nacional;08 Barcelona;08263 Sant Vicenç dels Horts;Total;2020;1.619
Total Nacional;08 Barcelona;08264 Sant Vicenç de Montalt;Total;2020;712
Total Nacional;08 Barcelona;08265 Sant Vicenç de Torelló;Total;2020;166
Total Nacional;08 Barcelona;08266 Cerdanyola del Vallès;Total;2020;4.306
Total Nacional;08 Barcelona;08267 Sentmenat;Total;2020;855
Total Nacional;08 Barcelona;08268 Cercs;Total;2020;63
Total Nacional;08 Barcelona;08269 Seva;Total;2020;330
Total Nacional;08 Barcelona;08270 Sitges;Total;2020;3.376
Total Nacional;08 Barcelona;08271 Sobremunt;Total;2020;8
Total Nacional;08 Barcelona;08272 Sora;Total;2020;33
Total Nacional;08 Barcelona;08273 Subirats;Total;2020;278
Total Nacional;08 Barcelona;08274 Súria;Total;2020;310
Total Nacional;08 Barcelona;08275 Tavèrnoles;Total;2020;41
Total Nacional;08 Barcelona;08276 Tagamanent;Total;2020;45
Total Nacional;08 Barcelona;08277 Talamanca;Total;2020;15
Total Nacional;08 Barcelona;08278 Taradell;Total;2020;595
Total Nacional;08 Barcelona;08279 Terrassa;Total;2020;15.005
Total Nacional;08 Barcelona;08280 Tavertet;Total;2020;17
Total Nacional;08 Barcelona;08281 Teià;Total;2020;747
Total Nacional;08 Barcelona;08282 Tiana;Total;2020;864
Total Nacional;08 Barcelona;08283 Tona;Total;2020;667
Total Nacional;08 Barcelona;08284 Tordera;Total;2020;1.080
Total Nacional;08 Barcelona;08285 Torelló;Total;2020;942
Total Nacional;08 Barcelona;08286 Torre de Claramunt, La;Total;2020;207
Total Nacional;08 Barcelona;08287 Torrelavit;Total;2020;113
Total Nacional;08 Barcelona;08288 Torrelles de Foix;Total;2020;110
Total Nacional;08 Barcelona;08289 Torrelles de Llobregat;Total;2020;459
Total Nacional;08 Barcelona;08290 Ullastrell;Total;2020;166
Total Nacional;08 Barcelona;08291 Vacarisses;Total;2020;466
Total Nacional;08 Barcelona;08292 Vallbona d'Anoia;Total;2020;82
Total Nacional;08 Barcelona;08293 Vallcebre;Total;2020;22
Total Nacional;08 Barcelona;08294 Vallgorguina;Total;2020;237
Total Nacional;08 Barcelona;08295 Vallirana;Total;2020;1.131
Total Nacional;08 Barcelona;08296 Vallromanes;Total;2020;295
Total Nacional;08 Barcelona;08297 Veciana;Total;2020;14
Total Nacional;08 Barcelona;08298 Vic;Total;2020;3.947
Total Nacional;08 Barcelona;08299 Vilada;Total;2020;39
Total Nacional;08 Barcelona;08300 Viladecavalls;Total;2020;620
Total Nacional;08 Barcelona;08301 Viladecans;Total;2020;3.937
Total Nacional;08 Barcelona;08302 Vilanova del Camí;Total;2020;619
Total Nacional;08 Barcelona;08303 Vilanova de Sau;Total;2020;27
Total Nacional;08 Barcelona;08304 Vilobí del Penedès;Total;2020;102
Total Nacional;08 Barcelona;08305 Vilafranca del Penedès;Total;2020;2.943
Total Nacional;08 Barcelona;08306 Vilalba Sasserra;Total;2020;45
Total Nacional;08 Barcelona;08307 Vilanova i la Geltrú;Total;2020;4.805
Total Nacional;08 Barcelona;08308 Viver i Serrateix;Total;2020;16
Total Nacional;08 Barcelona;08901 Rupit i Pruit;Total;2020;47
Total Nacional;08 Barcelona;08902 Vilanova del Vallès;Total;2020;530
Total Nacional;08 Barcelona;08903 Sant Julià de Cerdanyola;Total;2020;19
Total Nacional;08 Barcelona;08904 Badia del Vallès;Total;2020;341
Total Nacional;08 Barcelona;08905 Palma de Cervelló, La;Total;2020;345
Total Nacional;09 Burgos;09001 Abajas;Total;2020;.
Total Nacional;09 Burgos;09003 Adrada de Haza;Total;2020;15
Total Nacional;09 Burgos;09006 Aguas Cándidas;Total;2020;.
Total Nacional;09 Burgos;09007 Aguilar de Bureba;Total;2020;.
Total Nacional;09 Burgos;09009 Albillos;Total;2020;20
Total Nacional;09 Burgos;09010 Alcocero de Mola;Total;2020;.
Total Nacional;09 Burgos;09011 Alfoz de Bricia;Total;2020;7
Total Nacional;09 Burgos;09012 Alfoz de Santa Gadea;Total;2020;6
Total Nacional;09 Burgos;09013 Altable;Total;2020;.
Total Nacional;09 Burgos;09014 Altos, Los;Total;2020;21
Total Nacional;09 Burgos;09016 Ameyugo;Total;2020;12
Total Nacional;09 Burgos;09017 Anguix;Total;2020;11
Total Nacional;09 Burgos;09018 Aranda de Duero;Total;2020;2.257
Total Nacional;09 Burgos;09019 Arandilla;Total;2020;10
Total Nacional;09 Burgos;09020 Arauzo de Miel;Total;2020;32
Total Nacional;09 Burgos;09021 Arauzo de Salce;Total;2020;5
Total Nacional;09 Burgos;09022 Arauzo de Torre;Total;2020;.
Total Nacional;09 Burgos;09023 Arcos;Total;2020;97
Total Nacional;09 Burgos;09024 Arenillas de Riopisuerga;Total;2020;12
Total Nacional;09 Burgos;09025 Arija;Total;2020;16
Total Nacional;09 Burgos;09026 Arlanzón;Total;2020;23
Total Nacional;09 Burgos;09027 Arraya de Oca;Total;2020;4
Total Nacional;09 Burgos;09029 Atapuerca;Total;2020;19
Total Nacional;09 Burgos;09030 Ausines, Los;Total;2020;4
Total Nacional;09 Burgos;09032 Avellanosa de Muñó;Total;2020;.
Total Nacional;09 Burgos;09033 Bahabón de Esgueva;Total;2020;9
Total Nacional;09 Burgos;09034 Balbases, Los;Total;2020;26
Total Nacional;09 Burgos;09035 Baños de Valdearados;Total;2020;19
Total Nacional;09 Burgos;09036 Bañuelos de Bureba;Total;2020;.
Total Nacional;09 Burgos;09037 Barbadillo de Herreros;Total;2020;7
Total Nacional;09 Burgos;09038 Barbadillo del Mercado;Total;2020;15
Total Nacional;09 Burgos;09039 Barbadillo del Pez;Total;2020;5
Total Nacional;09 Burgos;09041 Barrio de Muñó;Total;2020;.
Total Nacional;09 Burgos;09043 Barrios de Bureba, Los;Total;2020;10
Total Nacional;09 Burgos;09044 Barrios de Colina;Total;2020;.
Total Nacional;09 Burgos;09045 Basconcillos del Tozo;Total;2020;23
Total Nacional;09 Burgos;09046 Bascuñana;Total;2020;.
Total Nacional;09 Burgos;09047 Belbimbre;Total;2020;.
Total Nacional;09 Burgos;09048 Belorado;Total;2020;157
Total Nacional;09 Burgos;09050 Berberana;Total;2020;.
Total Nacional;09 Burgos;09051 Berlangas de Roa;Total;2020;8
Total Nacional;09 Burgos;09052 Berzosa de Bureba;Total;2020;.
Total Nacional;09 Burgos;09054 Bozoó;Total;2020;.
Total Nacional;09 Burgos;09055 Brazacorta;Total;2020;.
Total Nacional;09 Burgos;09056 Briviesca;Total;2020;456
Total Nacional;09 Burgos;09057 Bugedo;Total;2020;11
Total Nacional;09 Burgos;09058 Buniel;Total;2020;34
Total Nacional;09 Burgos;09059 Burgos;Total;2020;12.776
Total Nacional;09 Burgos;09060 Busto de Bureba;Total;2020;9
Total Nacional;09 Burgos;09061 Cabañes de Esgueva;Total;2020;8
Total Nacional;09 Burgos;09062 Cabezón de la Sierra;Total;2020;.
Total Nacional;09 Burgos;09063 Cavia;Total;2020;25
Total Nacional;09 Burgos;09064 Caleruega;Total;2020;27
Total Nacional;09 Burgos;09065 Campillo de Aranda;Total;2020;10
Total Nacional;09 Burgos;09066 Campolara;Total;2020;4
Total Nacional;09 Burgos;09067 Canicosa de la Sierra;Total;2020;33
Total Nacional;09 Burgos;09068 Cantabrana;Total;2020;.
Total Nacional;09 Burgos;09070 Carazo;Total;2020;6
Total Nacional;09 Burgos;09071 Carcedo de Bureba;Total;2020;.
Total Nacional;09 Burgos;09072 Carcedo de Burgos;Total;2020;32
Total Nacional;09 Burgos;09073 Cardeñadijo;Total;2020;110
Total Nacional;09 Burgos;09074 Cardeñajimeno;Total;2020;73
Total Nacional;09 Burgos;09075 Cardeñuela Riopico;Total;2020;7
Total Nacional;09 Burgos;09076 Carrias;Total;2020;.
Total Nacional;09 Burgos;09077 Cascajares de Bureba;Total;2020;.
Total Nacional;09 Burgos;09078 Cascajares de la Sierra;Total;2020;.
Total Nacional;09 Burgos;09079 Castellanos de Castro;Total;2020;.
Total Nacional;09 Burgos;09082 Castildelgado;Total;2020;5
Total Nacional;09 Burgos;09083 Castil de Peones;Total;2020;.
Total Nacional;09 Burgos;09084 Castrillo de la Reina;Total;2020;9
Total Nacional;09 Burgos;09085 Castrillo de la Vega;Total;2020;39
Total Nacional;09 Burgos;09086 Castrillo del Val;Total;2020;62
Total Nacional;09 Burgos;09088 Castrillo de Riopisuerga;Total;2020;.
Total Nacional;09 Burgos;09090 Castrillo Mota de Judíos;Total;2020;.
Total Nacional;09 Burgos;09091 Castrojeriz;Total;2020;79
Total Nacional;09 Burgos;09093 Cayuela;Total;2020;11
Total Nacional;09 Burgos;09094 Cebrecos;Total;2020;.
Total Nacional;09 Burgos;09095 Celada del Camino;Total;2020;5
Total Nacional;09 Burgos;09098 Cerezo de Río Tirón;Total;2020;33
Total Nacional;09 Burgos;09100 Cerratón de Juarros;Total;2020;.
Total Nacional;09 Burgos;09101 Ciadoncha;Total;2020;4
Total Nacional;09 Burgos;09102 Cillaperlata;Total;2020;.
Total Nacional;09 Burgos;09103 Cilleruelo de Abajo;Total;2020;5
Total Nacional;09 Burgos;09104 Cilleruelo de Arriba;Total;2020;.
Total Nacional;09 Burgos;09105 Ciruelos de Cervera;Total;2020;4
Total Nacional;09 Burgos;09108 Cogollos;Total;2020;24
Total Nacional;09 Burgos;09109 Condado de Treviño;Total;2020;75
Total Nacional;09 Burgos;09110 Contreras;Total;2020;.
Total Nacional;09 Burgos;09112 Coruña del Conde;Total;2020;5
Total Nacional;09 Burgos;09113 Covarrubias;Total;2020;65
Total Nacional;09 Burgos;09114 Cubillo del Campo;Total;2020;.
Total Nacional;09 Burgos;09115 Cubo de Bureba;Total;2020;8
Total Nacional;09 Burgos;09117 Cueva de Roa, La;Total;2020;5
Total Nacional;09 Burgos;09119 Cuevas de San Clemente;Total;2020;.
Total Nacional;09 Burgos;09120 Encío;Total;2020;.
Total Nacional;09 Burgos;09122 Espinosa de Cervera;Total;2020;5
Total Nacional;09 Burgos;09123 Espinosa del Camino;Total;2020;4
Total Nacional;09 Burgos;09124 Espinosa de los Monteros;Total;2020;162
Total Nacional;09 Burgos;09125 Estépar;Total;2020;24
Total Nacional;09 Burgos;09127 Fontioso;Total;2020;4
Total Nacional;09 Burgos;09128 Frandovínez;Total;2020;.
Total Nacional;09 Burgos;09129 Fresneda de la Sierra Tirón;Total;2020;4
Total Nacional;09 Burgos;09130 Fresneña;Total;2020;7
Total Nacional;09 Burgos;09131 Fresnillo de las Dueñas;Total;2020;47
Total Nacional;09 Burgos;09132 Fresno de Río Tirón;Total;2020;15
Total Nacional;09 Burgos;09133 Fresno de Rodilla;Total;2020;.
Total Nacional;09 Burgos;09134 Frías;Total;2020;45
Total Nacional;09 Burgos;09135 Fuentebureba;Total;2020;.
Total Nacional;09 Burgos;09136 Fuentecén;Total;2020;15
Total Nacional;09 Burgos;09137 Fuentelcésped;Total;2020;13
Total Nacional;09 Burgos;09138 Fuentelisendo;Total;2020;4
Total Nacional;09 Burgos;09139 Fuentemolinos;Total;2020;5
Total Nacional;09 Burgos;09140 Fuentenebro;Total;2020;5
Total Nacional;09 Burgos;09141 Fuentespina;Total;2020;43
Total Nacional;09 Burgos;09143 Galbarros;Total;2020;.
Total Nacional;09 Burgos;09144 Gallega, La;Total;2020;.
Total Nacional;09 Burgos;09148 Grijalba;Total;2020;.
Total Nacional;09 Burgos;09149 Grisaleña;Total;2020;.
Total Nacional;09 Burgos;09151 Gumiel de Izán;Total;2020;51
Total Nacional;09 Burgos;09152 Gumiel de Mercado;Total;2020;13
Total Nacional;09 Burgos;09154 Hacinas;Total;2020;14
Total Nacional;09 Burgos;09155 Haza;Total;2020;.
Total Nacional;09 Burgos;09159 Hontanas;Total;2020;5
Total Nacional;09 Burgos;09160 Hontangas;Total;2020;.
Total Nacional;09 Burgos;09162 Hontoria de la Cantera;Total;2020;11
Total Nacional;09 Burgos;09163 Hontoria del Pinar;Total;2020;50
Total Nacional;09 Burgos;09164 Hontoria de Valdearados;Total;2020;15
Total Nacional;09 Burgos;09166 Hormazas, Las;Total;2020;.
Total Nacional;09 Burgos;09167 Hornillos del Camino;Total;2020;5
Total Nacional;09 Burgos;09168 Horra, La;Total;2020;17
Total Nacional;09 Burgos;09169 Hortigüela;Total;2020;8
Total Nacional;09 Burgos;09170 Hoyales de Roa;Total;2020;4
Total Nacional;09 Burgos;09172 Huérmeces;Total;2020;10
Total Nacional;09 Burgos;09173 Huerta de Arriba;Total;2020;9
Total Nacional;09 Burgos;09174 Huerta de Rey;Total;2020;58
Total Nacional;09 Burgos;09175 Humada;Total;2020;4
Total Nacional;09 Burgos;09176 Hurones;Total;2020;7
Total Nacional;09 Burgos;09177 Ibeas de Juarros;Total;2020;118
Total Nacional;09 Burgos;09178 Ibrillos;Total;2020;.
Total Nacional;09 Burgos;09179 Iglesiarrubia;Total;2020;.
Total Nacional;09 Burgos;09180 Iglesias;Total;2020;5
Total Nacional;09 Burgos;09181 Isar;Total;2020;19
Total Nacional;09 Burgos;09182 Itero del Castillo;Total;2020;.
Total Nacional;09 Burgos;09183 Jaramillo de la Fuente;Total;2020;.
Total Nacional;09 Burgos;09184 Jaramillo Quemado;Total;2020;.
Total Nacional;09 Burgos;09189 Junta de Traslaloma;Total;2020;7
Total Nacional;09 Burgos;09190 Junta de Villalba de Losa;Total;2020;9
Total Nacional;09 Burgos;09191 Jurisdicción de Lara;Total;2020;.
Total Nacional;09 Burgos;09192 Jurisdicción de San Zadornil;Total;2020;.
Total Nacional;09 Burgos;09194 Lerma;Total;2020;264
Total Nacional;09 Burgos;09195 Llano de Bureba;Total;2020;.
Total Nacional;09 Burgos;09196 Madrigal del Monte;Total;2020;5
Total Nacional;09 Burgos;09197 Madrigalejo del Monte;Total;2020;23
Total Nacional;09 Burgos;09198 Mahamud;Total;2020;4
Total Nacional;09 Burgos;09199 Mambrilla de Castrejón;Total;2020;6
Total Nacional;09 Burgos;09200 Mambrillas de Lara;Total;2020;5
Total Nacional;09 Burgos;09201 Mamolar;Total;2020;.
Total Nacional;09 Burgos;09202 Manciles;Total;2020;.
Total Nacional;09 Burgos;09206 Mazuela;Total;2020;.
Total Nacional;09 Burgos;09208 Mecerreyes;Total;2020;10
Total Nacional;09 Burgos;09209 Medina de Pomar;Total;2020;649
Total Nacional;09 Burgos;09211 Melgar de Fernamental;Total;2020;126
Total Nacional;09 Burgos;09213 Merindad de Cuesta-Urria;Total;2020;28
Total Nacional;09 Burgos;09214 Merindad de Montija;Total;2020;61
Total Nacional;09 Burgos;09215 Merindad de Sotoscueva;Total;2020;39
Total Nacional;09 Burgos;09216 Merindad de Valdeporres;Total;2020;46
Total Nacional;09 Burgos;09217 Merindad de Valdivielso;Total;2020;41
Total Nacional;09 Burgos;09218 Milagros;Total;2020;32
Total Nacional;09 Burgos;09219 Miranda de Ebro;Total;2020;1.982
Total Nacional;09 Burgos;09220 Miraveche;Total;2020;.
Total Nacional;09 Burgos;09221 Modúbar de la Emparedada;Total;2020;38
Total Nacional;09 Burgos;09223 Monasterio de la Sierra;Total;2020;4
Total Nacional;09 Burgos;09224 Monasterio de Rodilla;Total;2020;13
Total Nacional;09 Burgos;09225 Moncalvillo;Total;2020;.
Total Nacional;09 Burgos;09226 Monterrubio de la Demanda;Total;2020;.
Total Nacional;09 Burgos;09227 Montorio;Total;2020;15
Total Nacional;09 Burgos;09228 Moradillo de Roa;Total;2020;11
Total Nacional;09 Burgos;09229 Nava de Roa;Total;2020;10
Total Nacional;09 Burgos;09230 Navas de Bureba;Total;2020;.
Total Nacional;09 Burgos;09231 Nebreda;Total;2020;.
Total Nacional;09 Burgos;09232 Neila;Total;2020;6
Total Nacional;09 Burgos;09235 Olmedillo de Roa;Total;2020;16
Total Nacional;09 Burgos;09236 Olmillos de Muñó;Total;2020;.
Total Nacional;09 Burgos;09238 Oña;Total;2020;57
Total Nacional;09 Burgos;09239 Oquillas;Total;2020;5
Total Nacional;09 Burgos;09241 Orbaneja Riopico;Total;2020;16
Total Nacional;09 Burgos;09242 Padilla de Abajo;Total;2020;.
Total Nacional;09 Burgos;09243 Padilla de Arriba;Total;2020;.
Total Nacional;09 Burgos;09244 Padrones de Bureba;Total;2020;.
Total Nacional;09 Burgos;09246 Palacios de la Sierra;Total;2020;50
Total Nacional;09 Burgos;09247 Palacios de Riopisuerga;Total;2020;.
